scientific,common,acronym,spcd,pft,PalEON,scientific_name,Class_2,Proposed,counts,Justification
Acer rubrum,red maple  ,ACRU,316,LH,Maple,Acer_rubrum,316,,40279,
Acer saccharum,sugar maple  ,ACSA3,318,LH,Maple,Acer_saccharum,318,,29290,
Thuja occidentalis,northern white-cedar,THOC2,241,LC,Cedar/juniper,Thuja_occidentalis,241,,15332,
Quercus rubra,northern red oak ,QURU,833,NMH,Oak,Quercus_rubra,833,,14594,
Populus tremuloides,quaking aspen  ,POTR5,746,EH,Poplar,Populus_tremuloides,746,,14324,
Tsuga canadensis,eastern hemlock  ,TSCA,261,LC,Hemlock,Tsuga_canadensis,261,,13690,
Pinus strobus,white pine  ,PIST,129,NP,Pine,Pinus_strobus,129,,13210,
Pinus resinosa,red pine  ,PIRE,125,NP,Pine,Pinus_resinosa,125,,11587,
Prunus serotina,black cherry  ,PRSE2,762,EH,Cherry,Prunus_serotina,762,,9470,
Betula papyrifera,paper birch  ,BEPA,375,EH,Birch,Betula_papyrifera,375,,7952,
Fraxinus americana,white ash,FRAM2,541,NMH,Ash,Fraxinus_americana,541,,7939,
Betula alleganiensis,yellow birch,BEAL2,371,EH,Birch,Betula_alleganiensis,371,,7599,
Fagus grandifolia,beech   ,FAGR,531,LH,Beech,Fagus_grandifolia,531,,7531,
Quercus alba,white oak  ,QUAL,802,NMH,Oak,Quercus_alba,802,,7514,
Abies balsamea,Balsam fir,ABBA,12,LC,Fir,Abies_balsamea,12,,7277,
Tilia americana,american basswood  ,TIAM,951,LH,Basswood,Tilia_americana,951,,6844,
Picea rubens,red spruce,PIRU,97,MC,Spruce,Picea_rubens,97,,5963,
Populus grandidentata,bigtooth aspen  ,POGR4,743,EH,Poplar,Populus_grandidentata,743,,4734,
Quercus velutina,black oak  ,QUVE,837,NMH,Oak,Quercus_velutina,837,,4670,
Fraxinus nigra,black ash,FRNI,543,NMH,Ash,Fraxinus_nigra,543,,4586,
Quercus prinus,chestnut oak  ,QUPR2,832,SMH,Oak,Quercus_prinus,832,,4280,
Fraxinus pennsylvanica,green ash,FRPE,544,NMH,Ash,Fraxinus_pennsylvanica,,541;543,3676,
Betula lenta,sweet birch,BELE,372,EH,Birch,Betula_lenta,372,,3594,
Liriodendron tulipifera,yellow-poplar   ,LITU,621,SMH,Tulip poplar,Liriodendron_tulipifera,621,,3409,
Picea glauca,white spruce  ,PIGL,94,MC,Spruce,Picea_glauca,94,,3238,
Quercus macrocarpa,bur oak  ,QUMA2,823,NMH,Oak,Quercus_macrocarpa,,802;806;812;814;832;833;835;837;843,3113,all oaks
Ulmus americana,American elm  ,ULAM,972,NMH,Elm,Ulmus_americana,,1000,2910,
Picea mariana,black spruce  ,PIMA,95,MC,Spruce,Picea_mariana,95,,2696,
