"STATECD","CN","x","y","cell"
27,15739121020004,141000,1486000,323
27,169104109010661,141000,1486000,323
27,221348846010661,141000,1486000,323
27,242379294010661,149000,1486000,324
27,221343742010661,141000,1478000,619
27,15741750020004,141000,1478000,619
27,108298687010661,141000,1478000,619
27,242381752010661,141000,1478000,619
27,15741751020004,141000,1478000,619
27,221349978010661,141000,1478000,619
27,169104111010661,141000,1478000,619
27,169107395010661,149000,1478000,620
27,108298423010661,149000,1478000,620
27,221348848010661,149000,1478000,620
27,242381678010661,149000,1478000,620
27,15739122020004,149000,1478000,620
27,108303910010661,149000,1478000,620
27,169108157010661,5000,1470000,898
27,15742191020004,141000,1470000,915
27,108303913010661,141000,1470000,915
27,15739123020004,141000,1470000,915
27,221343744010661,141000,1470000,915
27,108298696010661,141000,1470000,915
27,221348850010661,149000,1470000,916
27,242381753010661,149000,1470000,916
27,169103893010661,149000,1470000,916
27,108298690010661,149000,1470000,916
27,169108709010661,149000,1470000,916
27,221349378010661,5000,1462000,1194
27,108304727010661,13000,1462000,1195
27,15741723020004,13000,1462000,1195
27,169108105010661,13000,1462000,1195
27,221349318010661,21000,1462000,1196
27,221349600010661,29000,1462000,1197
27,15741693020004,37000,1462000,1198
27,221349256010661,45000,1462000,1199
27,242379166010661,141000,1462000,1211
27,242378919010661,13000,1454000,1491
27,221343254010661,21000,1454000,1492
27,169104599010661,21000,1454000,1492
27,108299962010661,21000,1454000,1492
27,242382154010661,21000,1454000,1492
27,221349316010661,29000,1454000,1493
27,169104595010661,29000,1454000,1493
27,169108103010661,37000,1454000,1494
27,242382153010661,37000,1454000,1494
27,169108101010661,45000,1454000,1495
27,221349314010661,45000,1454000,1495
27,15739281020004,45000,1454000,1495
27,15742052020004,53000,1454000,1496
27,169108001010661,69000,1454000,1498
27,15742227020004,77000,1454000,1499
27,108304340010661,77000,1454000,1499
27,221343454010661,77000,1454000,1499
27,221349148010661,85000,1454000,1500
27,15739306020004,85000,1454000,1500
