"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Ash",323,3,141000,1486000,20.0058121707186,2
"2","Ash",324,1,149000,1486000,NA,0
"3","Ash",619,7,141000,1478000,7.02775476784688,1
"4","Ash",620,6,149000,1478000,NA,0
"5","Ash",898,1,5000,1470000,NA,0
"6","Ash",915,5,141000,1470000,19.4944041447627,1
"7","Ash",916,5,149000,1470000,25.690867024569,1
"8","Ash",1194,1,5000,1462000,NA,0
"9","Ash",1195,3,13000,1462000,NA,0
"10","Ash",1196,1,21000,1462000,NA,0
"11","Ash",1197,1,29000,1462000,NA,0
"12","Ash",1198,1,37000,1462000,NA,0
"13","Ash",1199,1,45000,1462000,2.6394804305798,1
"14","Ash",1211,1,141000,1462000,NA,0
"15","Ash",1491,1,13000,1454000,NA,0
"16","Ash",1492,4,21000,1454000,NA,0
"17","Ash",1493,2,29000,1454000,NA,0
"18","Ash",1494,2,37000,1454000,NA,0
"19","Ash",1495,3,45000,1454000,NA,0
"20","Ash",1496,1,53000,1454000,NA,0
"21","Ash",1498,1,69000,1454000,NA,0
"22","Ash",1499,3,77000,1454000,NA,0
"23","Ash",1500,2,85000,1454000,NA,0
"24","Ash",1502,1,101000,1454000,NA,0
"25","Ash",1786,1,5000,1446000,NA,0
"26","Ash",1788,2,21000,1446000,NA,0
"27","Ash",1789,2,29000,1446000,NA,0
"28","Ash",1791,2,45000,1446000,NA,0
"29","Ash",1792,1,53000,1446000,NA,0
"30","Ash",1794,1,69000,1446000,NA,0
"31","Ash",1795,1,77000,1446000,NA,0
"32","Ash",1796,3,85000,1446000,NA,0
"33","Ash",1797,2,93000,1446000,NA,0
"34","Ash",1798,2,101000,1446000,NA,0
"35","Ash",1799,2,109000,1446000,NA,0
"36","Ash",2083,1,13000,1438000,NA,0
"37","Ash",2084,4,21000,1438000,NA,0
"38","Ash",2085,1,29000,1438000,NA,0
"39","Ash",2087,1,45000,1438000,NA,0
"40","Ash",2091,2,77000,1438000,NA,0
"41","Ash",2095,2,109000,1438000,NA,0
"42","Ash",2096,1,117000,1438000,NA,0
"43","Ash",2098,1,133000,1438000,129.148357995981,1
"44","Ash",2100,1,149000,1438000,NA,0
"45","Ash",2379,2,13000,1430000,6.03723619820096,1
"46","Ash",2380,2,21000,1430000,2.34502914765798,1
"47","Ash",2381,3,29000,1430000,NA,0
"48","Ash",2382,2,37000,1430000,NA,0
"49","Ash",2383,1,45000,1430000,NA,0
"50","Ash",2385,2,61000,1430000,25.0793969121885,1
"51","Ash",2386,2,69000,1430000,NA,0
"52","Ash",2387,1,77000,1430000,NA,0
"53","Ash",2388,2,85000,1430000,20.3596560364133,2
"54","Ash",2389,1,93000,1430000,NA,0
"55","Ash",2391,3,109000,1430000,NA,0
"56","Ash",2392,2,117000,1430000,NA,0
"57","Ash",2393,2,125000,1430000,NA,0
"58","Ash",2395,5,141000,1430000,NA,0
"59","Ash",2396,1,149000,1430000,NA,0
"60","Ash",2397,1,157000,1430000,NA,0
"61","Ash",2676,2,21000,1422000,NA,0
"62","Ash",2678,1,37000,1422000,NA,0
"63","Ash",2679,2,45000,1422000,NA,0
"64","Ash",2680,1,53000,1422000,NA,0
"65","Ash",2682,1,69000,1422000,4.64728641926072,1
"66","Ash",2683,1,77000,1422000,NA,0
"67","Ash",2684,1,85000,1422000,NA,0
"68","Ash",2686,1,101000,1422000,NA,0
"69","Ash",2687,3,109000,1422000,NA,0
"70","Ash",2688,4,117000,1422000,NA,0
"71","Ash",2689,3,125000,1422000,NA,0
"72","Ash",2690,6,133000,1422000,2.95496822314181,1
"73","Ash",2691,3,141000,1422000,NA,0
"74","Ash",2692,2,149000,1422000,NA,0
"75","Ash",2693,1,157000,1422000,NA,0
"76","Ash",2694,1,165000,1422000,NA,0
"77","Ash",2971,1,13000,1414000,NA,0
"78","Ash",2973,1,29000,1414000,NA,0
"79","Ash",2974,3,37000,1414000,NA,0
"80","Ash",2975,2,45000,1414000,NA,0
"81","Ash",2977,1,61000,1414000,NA,0
"82","Ash",2978,2,69000,1414000,NA,0
"83","Ash",2979,2,77000,1414000,NA,0
"84","Ash",2981,3,93000,1414000,NA,0
"85","Ash",2982,5,101000,1414000,NA,0
"86","Ash",2983,5,109000,1414000,NA,0
"87","Ash",2984,3,117000,1414000,19.8603406938465,1
"88","Ash",2985,3,125000,1414000,NA,0
"89","Ash",2986,4,133000,1414000,NA,0
"90","Ash",2987,6,141000,1414000,NA,0
"91","Ash",2988,3,149000,1414000,23.6580960506035,1
"92","Ash",2989,3,157000,1414000,NA,0
"93","Ash",3270,3,37000,1406000,NA,0
"94","Ash",3271,2,45000,1406000,NA,0
