"","x","y","cell","sd"
"1",-11000,1070000,15696,2.20657644762312
"2",-11000,1238000,9480,1.47230331025149
"3",-11000,1278000,8000,1.43768694357181
"4",-11000,998000,18360,2.57848970010251
"5",-19000,1038000,16879,2.51175211391812
"6",-19000,1062000,15991,2.51485182352514
"7",-19000,1086000,15103,2.25896023393587
"8",-19000,1222000,10071,1.61196581768666
"9",-19000,1270000,8295,1.55420042410257
"10",-19000,1278000,7999,1.55517152891144
"11",-19000,1334000,5927,1.30256587108605
"12",-19000,1350000,5335,1.13411521387216
"13",-19000,1374000,4447,1.00689195429799
"14",-27000,1038000,16878,2.73855424867478
"15",-27000,1046000,16582,2.74146270399663
"16",-27000,1062000,15990,2.73196378731675
"17",-3000,1006000,18065,2.29183051303154
"18",-3000,1038000,16881,2.15492017571004
"19",-3000,1230000,9777,1.3148447863767
"20",-35000,950000,20133,4.51866192555524
"21",1005000,622000,32399,0.456151137507277
"22",1005000,678000,30327,0.391131156500294
"23",1005000,686000,30031,0.425315294136736
"24",1005000,694000,29735,0.471494005310621
"25",1005000,710000,29143,0.551337983012506
"26",1005000,718000,28847,0.605783752319896
"27",1005000,726000,28551,0.663738884143071
"28",1005000,734000,28255,0.739904714632908
"29",1005000,742000,27959,0.825324949086758
"30",1005000,758000,27367,0.95051981362627
"31",1005000,766000,27071,1.01369839790172
"32",1005000,774000,26775,1.06765896541305
"33",1005000,790000,26183,1.17551047629576
"34",1005000,798000,25887,1.18630471087612
"35",1005000,814000,25295,1.2216520529242
"36",101000,1078000,15414,1.15480619777445
"37",101000,1086000,15118,1.12051426624261
"38",101000,1102000,14526,0.896252408383413
"39",101000,1110000,14230,0.8235377882248
"40",101000,1118000,13934,0.713123701555714
"41",101000,1126000,13638,0.64292148089568
"42",101000,1134000,13342,0.602139373999336
"43",101000,1142000,13046,0.541308541768466
"44",101000,1166000,12158,0.408232197832496
"45",101000,1174000,11862,0.360791182388298
"46",101000,1182000,11566,0.329265978512966
"47",101000,1190000,11270,0.314486037894548
"48",101000,1198000,10974,0.304925074386336
"49",101000,1206000,10678,0.279579232633358
"50",101000,1214000,10382,0.25598528817205
"51",101000,1222000,10086,0.2539001519405
"52",101000,1230000,9790,0.250932849764916
"53",101000,1238000,9494,0.253529172757476
"54",101000,1246000,9198,0.263825239072657
"55",101000,1254000,8902,0.260854324098245
"56",101000,1262000,8606,0.273883380641827
"57",101000,1270000,8310,0.2993444442935
"58",101000,1278000,8014,0.324072101492523
"59",101000,1286000,7718,0.361121740987991
"60",101000,1294000,7422,0.409498488206558
"61",101000,1302000,7126,0.453730273117102
"62",101000,1310000,6830,0.482380769210866
"63",101000,1318000,6534,0.483915201219196
"64",101000,1326000,6238,0.485170411510474
"65",101000,1334000,5942,0.481893927778269
"66",101000,1342000,5646,0.46256180727015
"67",101000,1350000,5350,0.430475862317845
"68",101000,1358000,5054,0.369845637528348
"69",101000,1366000,4758,0.310585307586479
"70",101000,1374000,4462,0.266352424984961
"71",101000,1382000,4166,0.236509080392921
"72",101000,1390000,3870,0.222430587736271
"73",101000,1398000,3574,0.220052674217554
"74",101000,1406000,3278,0.221108928854672
"75",101000,1414000,2982,0.228348852435971
"76",101000,1422000,2686,0.248256300147828
"77",101000,1446000,1798,0.386750714964328
"78",101000,894000,22222,1.78842469698041
"79",101000,926000,21038,1.67621694170861
"80",101000,934000,20742,1.68652115177589
"81",1013000,694000,29736,0.522903683646622
"82",1013000,702000,29440,0.569503764204316
"83",1013000,710000,29144,0.59014935897768
"84",1013000,726000,28552,0.710198938829694
"85",1013000,734000,28256,0.774136318484677
"86",1013000,742000,27960,0.854447992446011
"87",1013000,758000,27368,1.0243363131562
"88",1013000,774000,26776,1.08741206674092
"89",1013000,782000,26480,1.12836262930884
"90",1013000,798000,25888,1.21138956280854
"91",1021000,686000,30033,0.532655470000312
"92",1021000,694000,29737,0.563557755454545
"93",1021000,702000,29441,0.595915921678823
"94",1021000,718000,28849,0.669760249621939
"95",1021000,782000,26481,1.18388238812496
"96",1021000,790000,26185,1.22755560137153
"97",1021000,798000,25889,1.2587813620349
"98",1021000,814000,25297,1.42369447351712
"99",1021000,822000,25001,1.45799240181883
"100",1029000,686000,30034,0.606275750921951
"101",1029000,694000,29738,0.616900992730082
"102",1029000,758000,27370,1.12143772563899
"103",1029000,782000,26482,1.26849982973664
"104",1029000,790000,26186,1.2975487224396
"105",1029000,798000,25890,1.33284981070706
"106",1029000,806000,25594,1.40273051838213
"107",1029000,830000,24706,1.59427601916376
"108",1037000,686000,30035,0.712315957045075
"109",1037000,718000,28851,0.788828707722887
"110",1037000,726000,28555,0.876341614456601
"111",1037000,734000,28259,0.983922899137841
"112",1037000,742000,27963,1.10552502584725
"113",1037000,782000,26483,1.36125612002775
"114",1037000,798000,25891,1.44948232904322
"115",1045000,694000,29740,0.838452845755188
