"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Basswood",323,3,141000,1486000,NA,0
"2","Basswood",324,1,149000,1486000,NA,0
"3","Basswood",619,7,141000,1478000,NA,0
"4","Basswood",620,6,149000,1478000,NA,0
"5","Basswood",898,1,5000,1470000,NA,0
"6","Basswood",915,5,141000,1470000,NA,0
"7","Basswood",916,5,149000,1470000,NA,0
"8","Basswood",1194,1,5000,1462000,NA,0
"9","Basswood",1195,3,13000,1462000,NA,0
"10","Basswood",1196,1,21000,1462000,NA,0
"11","Basswood",1197,1,29000,1462000,NA,0
"12","Basswood",1198,1,37000,1462000,NA,0
"13","Basswood",1199,1,45000,1462000,NA,0
"14","Basswood",1211,1,141000,1462000,NA,0
"15","Basswood",1491,1,13000,1454000,NA,0
"16","Basswood",1492,4,21000,1454000,NA,0
"17","Basswood",1493,2,29000,1454000,NA,0
"18","Basswood",1494,2,37000,1454000,NA,0
"19","Basswood",1495,3,45000,1454000,NA,0
"20","Basswood",1496,1,53000,1454000,NA,0
"21","Basswood",1498,1,69000,1454000,NA,0
"22","Basswood",1499,3,77000,1454000,NA,0
"23","Basswood",1500,2,85000,1454000,NA,0
"24","Basswood",1502,1,101000,1454000,NA,0
"25","Basswood",1786,1,5000,1446000,NA,0
"26","Basswood",1788,2,21000,1446000,NA,0
"27","Basswood",1789,2,29000,1446000,NA,0
"28","Basswood",1791,2,45000,1446000,NA,0
"29","Basswood",1792,1,53000,1446000,NA,0
"30","Basswood",1794,1,69000,1446000,NA,0
"31","Basswood",1795,1,77000,1446000,NA,0
"32","Basswood",1796,3,85000,1446000,NA,0
"33","Basswood",1797,2,93000,1446000,NA,0
"34","Basswood",1798,2,101000,1446000,NA,0
"35","Basswood",1799,2,109000,1446000,NA,0
"36","Basswood",2083,1,13000,1438000,NA,0
"37","Basswood",2084,4,21000,1438000,NA,0
"38","Basswood",2085,1,29000,1438000,NA,0
"39","Basswood",2087,1,45000,1438000,NA,0
"40","Basswood",2091,2,77000,1438000,NA,0
"41","Basswood",2095,2,109000,1438000,NA,0
"42","Basswood",2096,1,117000,1438000,NA,0
"43","Basswood",2098,1,133000,1438000,NA,0
"44","Basswood",2100,1,149000,1438000,NA,0
"45","Basswood",2379,2,13000,1430000,NA,0
"46","Basswood",2380,2,21000,1430000,NA,0
"47","Basswood",2381,3,29000,1430000,NA,0
"48","Basswood",2382,2,37000,1430000,NA,0
"49","Basswood",2383,1,45000,1430000,NA,0
"50","Basswood",2385,2,61000,1430000,NA,0
"51","Basswood",2386,2,69000,1430000,NA,0
"52","Basswood",2387,1,77000,1430000,NA,0
"53","Basswood",2388,2,85000,1430000,40.0284707743506,1
"54","Basswood",2389,1,93000,1430000,NA,0
"55","Basswood",2391,3,109000,1430000,NA,0
"56","Basswood",2392,2,117000,1430000,NA,0
"57","Basswood",2393,2,125000,1430000,NA,0
"58","Basswood",2395,5,141000,1430000,NA,0
"59","Basswood",2396,1,149000,1430000,NA,0
"60","Basswood",2397,1,157000,1430000,NA,0
"61","Basswood",2676,2,21000,1422000,NA,0
"62","Basswood",2678,1,37000,1422000,NA,0
"63","Basswood",2679,2,45000,1422000,NA,0
"64","Basswood",2680,1,53000,1422000,NA,0
"65","Basswood",2682,1,69000,1422000,NA,0
"66","Basswood",2683,1,77000,1422000,NA,0
"67","Basswood",2684,1,85000,1422000,NA,0
"68","Basswood",2686,1,101000,1422000,NA,0
"69","Basswood",2687,3,109000,1422000,NA,0
"70","Basswood",2688,4,117000,1422000,NA,0
"71","Basswood",2689,3,125000,1422000,NA,0
"72","Basswood",2690,6,133000,1422000,NA,0
"73","Basswood",2691,3,141000,1422000,NA,0
"74","Basswood",2692,2,149000,1422000,NA,0
"75","Basswood",2693,1,157000,1422000,NA,0
"76","Basswood",2694,1,165000,1422000,NA,0
"77","Basswood",2971,1,13000,1414000,NA,0
"78","Basswood",2973,1,29000,1414000,NA,0
"79","Basswood",2974,3,37000,1414000,NA,0
"80","Basswood",2975,2,45000,1414000,NA,0
"81","Basswood",2977,1,61000,1414000,NA,0
"82","Basswood",2978,2,69000,1414000,NA,0
