"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Beech",323,3,141000,1486000,NA,0
"2","Beech",324,1,149000,1486000,NA,0
"3","Beech",619,7,141000,1478000,NA,0
"4","Beech",620,6,149000,1478000,NA,0
"5","Beech",898,1,5000,1470000,NA,0
"6","Beech",915,5,141000,1470000,NA,0
"7","Beech",916,5,149000,1470000,NA,0
"8","Beech",1194,1,5000,1462000,NA,0
"9","Beech",1195,3,13000,1462000,NA,0
"10","Beech",1196,1,21000,1462000,NA,0
"11","Beech",1197,1,29000,1462000,NA,0
"12","Beech",1198,1,37000,1462000,NA,0
"13","Beech",1199,1,45000,1462000,NA,0
"14","Beech",1211,1,141000,1462000,NA,0
"15","Beech",1491,1,13000,1454000,NA,0
"16","Beech",1492,4,21000,1454000,NA,0
"17","Beech",1493,2,29000,1454000,NA,0
"18","Beech",1494,2,37000,1454000,NA,0
"19","Beech",1495,3,45000,1454000,NA,0
"20","Beech",1496,1,53000,1454000,NA,0
"21","Beech",1498,1,69000,1454000,NA,0
"22","Beech",1499,3,77000,1454000,NA,0
"23","Beech",1500,2,85000,1454000,NA,0
"24","Beech",1502,1,101000,1454000,NA,0
"25","Beech",1786,1,5000,1446000,NA,0
"26","Beech",1788,2,21000,1446000,NA,0
"27","Beech",1789,2,29000,1446000,NA,0
"28","Beech",1791,2,45000,1446000,NA,0
"29","Beech",1792,1,53000,1446000,NA,0
"30","Beech",1794,1,69000,1446000,NA,0
"31","Beech",1795,1,77000,1446000,NA,0
"32","Beech",1796,3,85000,1446000,NA,0
"33","Beech",1797,2,93000,1446000,NA,0
"34","Beech",1798,2,101000,1446000,NA,0
"35","Beech",1799,2,109000,1446000,NA,0
"36","Beech",2083,1,13000,1438000,NA,0
"37","Beech",2084,4,21000,1438000,NA,0
"38","Beech",2085,1,29000,1438000,NA,0
"39","Beech",2087,1,45000,1438000,NA,0
"40","Beech",2091,2,77000,1438000,NA,0
"41","Beech",2095,2,109000,1438000,NA,0
"42","Beech",2096,1,117000,1438000,NA,0
"43","Beech",2098,1,133000,1438000,NA,0
"44","Beech",2100,1,149000,1438000,NA,0
"45","Beech",2379,2,13000,1430000,NA,0
"46","Beech",2380,2,21000,1430000,NA,0
"47","Beech",2381,3,29000,1430000,NA,0
"48","Beech",2382,2,37000,1430000,NA,0
"49","Beech",2383,1,45000,1430000,NA,0
"50","Beech",2385,2,61000,1430000,NA,0
"51","Beech",2386,2,69000,1430000,NA,0
"52","Beech",2387,1,77000,1430000,NA,0
"53","Beech",2388,2,85000,1430000,NA,0
"54","Beech",2389,1,93000,1430000,NA,0
"55","Beech",2391,3,109000,1430000,NA,0
"56","Beech",2392,2,117000,1430000,NA,0
"57","Beech",2393,2,125000,1430000,NA,0
"58","Beech",2395,5,141000,1430000,NA,0
"59","Beech",2396,1,149000,1430000,NA,0
"60","Beech",2397,1,157000,1430000,NA,0
"61","Beech",2676,2,21000,1422000,NA,0
"62","Beech",2678,1,37000,1422000,NA,0
"63","Beech",2679,2,45000,1422000,NA,0
"64","Beech",2680,1,53000,1422000,NA,0
"65","Beech",2682,1,69000,1422000,NA,0
"66","Beech",2683,1,77000,1422000,NA,0
"67","Beech",2684,1,85000,1422000,NA,0
"68","Beech",2686,1,101000,1422000,NA,0
"69","Beech",2687,3,109000,1422000,NA,0
"70","Beech",2688,4,117000,1422000,NA,0
"71","Beech",2689,3,125000,1422000,NA,0
"72","Beech",2690,6,133000,1422000,NA,0
"73","Beech",2691,3,141000,1422000,NA,0
"74","Beech",2692,2,149000,1422000,NA,0
"75","Beech",2693,1,157000,1422000,NA,0
"76","Beech",2694,1,165000,1422000,NA,0
"77","Beech",2971,1,13000,1414000,NA,0
"78","Beech",2973,1,29000,1414000,NA,0
"79","Beech",2974,3,37000,1414000,NA,0
"80","Beech",2975,2,45000,1414000,NA,0
"81","Beech",2977,1,61000,1414000,NA,0
"82","Beech",2978,2,69000,1414000,NA,0
"83","Beech",2979,2,77000,1414000,NA,0
"84","Beech",2981,3,93000,1414000,NA,0
"85","Beech",2982,5,101000,1414000,NA,0
"86","Beech",2983,5,109000,1414000,NA,0
"87","Beech",2984,3,117000,1414000,NA,0
"88","Beech",2985,3,125000,1414000,NA,0
"89","Beech",2986,4,133000,1414000,NA,0
"90","Beech",2987,6,141000,1414000,NA,0
"91","Beech",2988,3,149000,1414000,NA,0
"92","Beech",2989,3,157000,1414000,NA,0
"93","Beech",3270,3,37000,1406000,NA,0
"94","Beech",3271,2,45000,1406000,NA,0
"95","Beech",3272,1,53000,1406000,NA,0
"96","Beech",3273,1,61000,1406000,NA,0
"97","Beech",3274,2,69000,1406000,NA,0
"98","Beech",3275,2,77000,1406000,NA,0
"99","Beech",3276,2,85000,1406000,NA,0
"100","Beech",3277,1,93000,1406000,NA,0
"101","Beech",3278,4,101000,1406000,NA,0
"102","Beech",3279,4,109000,1406000,NA,0
"103","Beech",3280,3,117000,1406000,NA,0
"104","Beech",3281,5,125000,1406000,NA,0
"105","Beech",3282,4,133000,1406000,NA,0
"106","Beech",3283,3,141000,1406000,NA,0
"107","Beech",3284,3,149000,1406000,NA,0
"108","Beech",3285,4,157000,1406000,NA,0
"109","Beech",3286,3,165000,1406000,NA,0
"110","Beech",3287,2,173000,1406000,NA,0
"111","Beech",3289,2,189000,1406000,NA,0
"112","Beech",3564,1,21000,1398000,NA,0
"113","Beech",3565,3,29000,1398000,NA,0
"114","Beech",3566,4,37000,1398000,NA,0
"115","Beech",3567,4,45000,1398000,NA,0
"116","Beech",3568,3,53000,1398000,NA,0
"117","Beech",3569,2,61000,1398000,NA,0
"118","Beech",3570,1,69000,1398000,NA,0
"119","Beech",3571,1,77000,1398000,NA,0
"120","Beech",3572,3,85000,1398000,NA,0
"121","Beech",3573,3,93000,1398000,NA,0
"122","Beech",3574,4,101000,1398000,NA,0
"123","Beech",3575,5,109000,1398000,NA,0
"124","Beech",3576,4,117000,1398000,NA,0
"125","Beech",3577,3,125000,1398000,NA,0
"126","Beech",3578,3,133000,1398000,NA,0
"127","Beech",3579,4,141000,1398000,NA,0
"128","Beech",3580,4,149000,1398000,NA,0
"129","Beech",3581,3,157000,1398000,NA,0
"130","Beech",3582,3,165000,1398000,NA,0
"131","Beech",3583,3,173000,1398000,NA,0
"132","Beech",3584,4,181000,1398000,NA,0
"133","Beech",3585,5,189000,1398000,NA,0
"134","Beech",3586,1,197000,1398000,NA,0
"135","Beech",3587,1,205000,1398000,NA,0
"136","Beech",3588,1,213000,1398000,NA,0
"137","Beech",3858,1,5000,1390000,NA,0
"138","Beech",3860,1,21000,1390000,NA,0
"139","Beech",3861,1,29000,1390000,NA,0
"140","Beech",3862,2,37000,1390000,NA,0
"141","Beech",3863,1,45000,1390000,NA,0
"142","Beech",3864,2,53000,1390000,NA,0
"143","Beech",3866,1,69000,1390000,NA,0
"144","Beech",3867,1,77000,1390000,NA,0
"145","Beech",3868,2,85000,1390000,NA,0
"146","Beech",3869,3,93000,1390000,NA,0
"147","Beech",3870,2,101000,1390000,NA,0
"148","Beech",3871,4,109000,1390000,NA,0
"149","Beech",3872,5,117000,1390000,NA,0
"150","Beech",3873,4,125000,1390000,NA,0
"151","Beech",3874,3,133000,1390000,NA,0
"152","Beech",3875,5,141000,1390000,NA,0
"153","Beech",3876,7,149000,1390000,NA,0
"154","Beech",3877,2,157000,1390000,NA,0
"155","Beech",3878,3,165000,1390000,NA,0
"156","Beech",3879,1,173000,1390000,NA,0
"157","Beech",3880,2,181000,1390000,NA,0
"158","Beech",3881,4,189000,1390000,NA,0
"159","Beech",3882,4,197000,1390000,NA,0
"160","Beech",3883,3,205000,1390000,NA,0
"161","Beech",3884,5,213000,1390000,NA,0
"162","Beech",3885,2,221000,1390000,NA,0
"163","Beech",4155,1,13000,1382000,NA,0
"164","Beech",4157,2,29000,1382000,NA,0
"165","Beech",4162,1,69000,1382000,NA,0
"166","Beech",4163,2,77000,1382000,NA,0
"167","Beech",4164,1,85000,1382000,NA,0
"168","Beech",4165,3,93000,1382000,NA,0
"169","Beech",4166,2,101000,1382000,NA,0
"170","Beech",4167,2,109000,1382000,NA,0
"171","Beech",4168,4,117000,1382000,NA,0
"172","Beech",4169,1,125000,1382000,NA,0
"173","Beech",4170,5,133000,1382000,NA,0
"174","Beech",4171,4,141000,1382000,NA,0
"175","Beech",4172,4,149000,1382000,NA,0
"176","Beech",4173,5,157000,1382000,NA,0
"177","Beech",4174,4,165000,1382000,NA,0
"178","Beech",4175,3,173000,1382000,NA,0
"179","Beech",4176,4,181000,1382000,NA,0
"180","Beech",4177,4,189000,1382000,NA,0
"181","Beech",4178,6,197000,1382000,NA,0
