"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Birch",323,3,141000,1486000,13.8938172530485,1
"2","Birch",324,1,149000,1486000,NA,0
"3","Birch",619,7,141000,1478000,NA,0
"4","Birch",620,6,149000,1478000,NA,0
"5","Birch",898,1,5000,1470000,NA,0
"6","Birch",915,5,141000,1470000,NA,0
"7","Birch",916,5,149000,1470000,NA,0
"8","Birch",1194,1,5000,1462000,NA,0
"9","Birch",1195,3,13000,1462000,NA,0
"10","Birch",1196,1,21000,1462000,NA,0
"11","Birch",1197,1,29000,1462000,NA,0
"12","Birch",1198,1,37000,1462000,NA,0
"13","Birch",1199,1,45000,1462000,NA,0
"14","Birch",1211,1,141000,1462000,NA,0
"15","Birch",1491,1,13000,1454000,NA,0
"16","Birch",1492,4,21000,1454000,NA,0
"17","Birch",1493,2,29000,1454000,NA,0
"18","Birch",1494,2,37000,1454000,NA,0
"19","Birch",1495,3,45000,1454000,NA,0
"20","Birch",1496,1,53000,1454000,NA,0
"21","Birch",1498,1,69000,1454000,NA,0
"22","Birch",1499,3,77000,1454000,NA,0
"23","Birch",1500,2,85000,1454000,NA,0
"24","Birch",1502,1,101000,1454000,NA,0
"25","Birch",1786,1,5000,1446000,NA,0
"26","Birch",1788,2,21000,1446000,NA,0
"27","Birch",1789,2,29000,1446000,NA,0
"28","Birch",1791,2,45000,1446000,NA,0
"29","Birch",1792,1,53000,1446000,NA,0
"30","Birch",1794,1,69000,1446000,NA,0
"31","Birch",1795,1,77000,1446000,NA,0
"32","Birch",1796,3,85000,1446000,NA,0
"33","Birch",1797,2,93000,1446000,NA,0
"34","Birch",1798,2,101000,1446000,NA,0
"35","Birch",1799,2,109000,1446000,NA,0
"36","Birch",2083,1,13000,1438000,NA,0
"37","Birch",2084,4,21000,1438000,NA,0
"38","Birch",2085,1,29000,1438000,NA,0
"39","Birch",2087,1,45000,1438000,NA,0
"40","Birch",2091,2,77000,1438000,NA,0
"41","Birch",2095,2,109000,1438000,NA,0
"42","Birch",2096,1,117000,1438000,NA,0
"43","Birch",2098,1,133000,1438000,NA,0
"44","Birch",2100,1,149000,1438000,NA,0
"45","Birch",2379,2,13000,1430000,NA,0
"46","Birch",2380,2,21000,1430000,NA,0
"47","Birch",2381,3,29000,1430000,NA,0
"48","Birch",2382,2,37000,1430000,NA,0
"49","Birch",2383,1,45000,1430000,NA,0
"50","Birch",2385,2,61000,1430000,NA,0
"51","Birch",2386,2,69000,1430000,NA,0
"52","Birch",2387,1,77000,1430000,NA,0
"53","Birch",2388,2,85000,1430000,NA,0
"54","Birch",2389,1,93000,1430000,NA,0
"55","Birch",2391,3,109000,1430000,NA,0
"56","Birch",2392,2,117000,1430000,NA,0
"57","Birch",2393,2,125000,1430000,10.61207445511,1
"58","Birch",2395,5,141000,1430000,NA,0
"59","Birch",2396,1,149000,1430000,NA,0
"60","Birch",2397,1,157000,1430000,NA,0
"61","Birch",2676,2,21000,1422000,NA,0
"62","Birch",2678,1,37000,1422000,NA,0
"63","Birch",2679,2,45000,1422000,NA,0
"64","Birch",2680,1,53000,1422000,NA,0
"65","Birch",2682,1,69000,1422000,NA,0
"66","Birch",2683,1,77000,1422000,NA,0
"67","Birch",2684,1,85000,1422000,NA,0
"68","Birch",2686,1,101000,1422000,NA,0
"69","Birch",2687,3,109000,1422000,5.7811761597713,1
"70","Birch",2688,4,117000,1422000,2.80521483056152,1
"71","Birch",2689,3,125000,1422000,NA,0
"72","Birch",2690,6,133000,1422000,5.61181007330924,1
"73","Birch",2691,3,141000,1422000,NA,0
"74","Birch",2692,2,149000,1422000,NA,0
"75","Birch",2693,1,157000,1422000,NA,0
"76","Birch",2694,1,165000,1422000,NA,0
"77","Birch",2971,1,13000,1414000,NA,0
"78","Birch",2973,1,29000,1414000,NA,0
"79","Birch",2974,3,37000,1414000,NA,0
"80","Birch",2975,2,45000,1414000,NA,0
"81","Birch",2977,1,61000,1414000,NA,0
"82","Birch",2978,2,69000,1414000,NA,0
"83","Birch",2979,2,77000,1414000,NA,0
"84","Birch",2981,3,93000,1414000,NA,0
"85","Birch",2982,5,101000,1414000,NA,0
"86","Birch",2983,5,109000,1414000,7.53429788806696,1
"87","Birch",2984,3,117000,1414000,NA,0
"88","Birch",2985,3,125000,1414000,4.95187334650063,1
"89","Birch",2986,4,133000,1414000,NA,0
"90","Birch",2987,6,141000,1414000,2.80521483056152,1
"91","Birch",2988,3,149000,1414000,NA,0
"92","Birch",2989,3,157000,1414000,NA,0
"93","Birch",3270,3,37000,1406000,NA,0
"94","Birch",3271,2,45000,1406000,NA,0
"95","Birch",3272,1,53000,1406000,NA,0
"96","Birch",3273,1,61000,1406000,NA,0
"97","Birch",3274,2,69000,1406000,8.39096822730728,1
"98","Birch",3275,2,77000,1406000,NA,0
"99","Birch",3276,2,85000,1406000,NA,0
"100","Birch",3277,1,93000,1406000,NA,0
"101","Birch",3278,4,101000,1406000,NA,0
"102","Birch",3279,4,109000,1406000,NA,0
"103","Birch",3280,3,117000,1406000,29.7546102861553,1
"104","Birch",3281,5,125000,1406000,NA,0
"105","Birch",3282,4,133000,1406000,NA,0
"106","Birch",3283,3,141000,1406000,NA,0
"107","Birch",3284,3,149000,1406000,NA,0
"108","Birch",3285,4,157000,1406000,NA,0
"109","Birch",3286,3,165000,1406000,NA,0
"110","Birch",3287,2,173000,1406000,NA,0
"111","Birch",3289,2,189000,1406000,NA,0
"112","Birch",3564,1,21000,1398000,NA,0
"113","Birch",3565,3,29000,1398000,NA,0
"114","Birch",3566,4,37000,1398000,NA,0
"115","Birch",3567,4,45000,1398000,NA,0
"116","Birch",3568,3,53000,1398000,NA,0
"117","Birch",3569,2,61000,1398000,NA,0
"118","Birch",3570,1,69000,1398000,NA,0
"119","Birch",3571,1,77000,1398000,NA,0
"120","Birch",3572,3,85000,1398000,NA,0
"121","Birch",3573,3,93000,1398000,NA,0
"122","Birch",3574,4,101000,1398000,NA,0
"123","Birch",3575,5,109000,1398000,NA,0
"124","Birch",3576,4,117000,1398000,NA,0
"125","Birch",3577,3,125000,1398000,NA,0
"126","Birch",3578,3,133000,1398000,NA,0
"127","Birch",3579,4,141000,1398000,NA,0
"128","Birch",3580,4,149000,1398000,NA,0
"129","Birch",3581,3,157000,1398000,NA,0
"130","Birch",3582,3,165000,1398000,NA,0
"131","Birch",3583,3,173000,1398000,NA,0
"132","Birch",3584,4,181000,1398000,NA,0
"133","Birch",3585,5,189000,1398000,NA,0
"134","Birch",3586,1,197000,1398000,NA,0
"135","Birch",3587,1,205000,1398000,NA,0
"136","Birch",3588,1,213000,1398000,3.32173660574206,1
"137","Birch",3858,1,5000,1390000,NA,0
"138","Birch",3860,1,21000,1390000,NA,0
"139","Birch",3861,1,29000,1390000,NA,0
"140","Birch",3862,2,37000,1390000,NA,0
"141","Birch",3863,1,45000,1390000,NA,0
"142","Birch",3864,2,53000,1390000,NA,0
"143","Birch",3866,1,69000,1390000,NA,0
"144","Birch",3867,1,77000,1390000,NA,0
"145","Birch",3868,2,85000,1390000,NA,0
"146","Birch",3869,3,93000,1390000,NA,0
"147","Birch",3870,2,101000,1390000,NA,0
"148","Birch",3871,4,109000,1390000,NA,0
"149","Birch",3872,5,117000,1390000,NA,0
"150","Birch",3873,4,125000,1390000,4.50039203157097,2
"151","Birch",3874,3,133000,1390000,NA,0
"152","Birch",3875,5,141000,1390000,4.50904954009594,1
"153","Birch",3876,7,149000,1390000,12.4471391840245,1
"154","Birch",3877,2,157000,1390000,NA,0
"155","Birch",3878,3,165000,1390000,NA,0
"156","Birch",3879,1,173000,1390000,NA,0
"157","Birch",3880,2,181000,1390000,NA,0
"158","Birch",3881,4,189000,1390000,NA,0
"159","Birch",3882,4,197000,1390000,NA,0
"160","Birch",3883,3,205000,1390000,7.67997551938238,1
"161","Birch",3884,5,213000,1390000,NA,0
"162","Birch",3885,2,221000,1390000,NA,0
"163","Birch",4155,1,13000,1382000,NA,0
"164","Birch",4157,2,29000,1382000,NA,0
"165","Birch",4162,1,69000,1382000,NA,0
"166","Birch",4163,2,77000,1382000,NA,0
"167","Birch",4164,1,85000,1382000,NA,0
"168","Birch",4165,3,93000,1382000,NA,0
"169","Birch",4166,2,101000,1382000,NA,0
"170","Birch",4167,2,109000,1382000,NA,0
"171","Birch",4168,4,117000,1382000,NA,0
"172","Birch",4169,1,125000,1382000,NA,0
"173","Birch",4170,5,133000,1382000,14.3428391579763,1
"174","Birch",4171,4,141000,1382000,NA,0
"175","Birch",4172,4,149000,1382000,NA,0
"176","Birch",4173,5,157000,1382000,NA,0
"177","Birch",4174,4,165000,1382000,NA,0
"178","Birch",4175,3,173000,1382000,NA,0
"179","Birch",4176,4,181000,1382000,NA,0
"180","Birch",4177,4,189000,1382000,NA,0
"181","Birch",4178,6,197000,1382000,7.20382633395321,1
"182","Birch",4179,3,205000,1382000,NA,0
"183","Birch",4180,2,213000,1382000,NA,0
"184","Birch",4181,3,221000,1382000,NA,0
"185","Birch",4182,1,229000,1382000,NA,0
"186","Birch",4184,2,245000,1382000,NA,0
"187","Birch",4185,2,253000,1382000,NA,0
"188","Birch",4186,1,261000,1382000,NA,0
"189","Birch",4188,2,277000,1382000,NA,0
"190","Birch",4189,1,285000,1382000,NA,0
"191","Birch",4447,1,-19000,1374000,NA,0
"192","Birch",4450,1,5000,1374000,NA,0
"193","Birch",4452,1,21000,1374000,NA,0
"194","Birch",4453,1,29000,1374000,NA,0
"195","Birch",4454,1,37000,1374000,NA,0
"196","Birch",4456,2,53000,1374000,NA,0
"197","Birch",4458,1,69000,1374000,NA,0
"198","Birch",4460,4,85000,1374000,NA,0
"199","Birch",4461,1,93000,1374000,NA,0
"200","Birch",4462,3,101000,1374000,NA,0
"201","Birch",4463,2,109000,1374000,NA,0
"202","Birch",4464,4,117000,1374000,NA,0
"203","Birch",4465,2,125000,1374000,NA,0
"204","Birch",4466,2,133000,1374000,NA,0
"205","Birch",4467,3,141000,1374000,NA,0
"206","Birch",4468,6,149000,1374000,6.67889356958094,1
"207","Birch",4469,3,157000,1374000,NA,0
"208","Birch",4470,2,165000,1374000,NA,0
"209","Birch",4471,2,173000,1374000,NA,0
