"","x","y","cell","sd"
"1",-11000,1070000,15696,0
"2",-11000,1238000,9480,0.178657429300501
"3",-11000,1278000,8000,0.132914309406009
"4",-11000,998000,18360,0
"5",-19000,1038000,16879,0
"6",-19000,1062000,15991,0
"7",-19000,1086000,15103,0
"8",-19000,1222000,10071,0.169319551782114
"9",-19000,1270000,8295,0
"10",-19000,1278000,7999,0
"11",-19000,1334000,5927,0
"12",-19000,1350000,5335,0
"13",-19000,1374000,4447,0
"14",-27000,1038000,16878,0
"15",-27000,1046000,16582,0
"16",-27000,1062000,15990,0
"17",-3000,1006000,18065,0
"18",-3000,1038000,16881,0
"19",-3000,1230000,9777,0.196236254274852
"20",-35000,950000,20133,0
"21",1005000,622000,32399,0.145936443237444
"22",1005000,678000,30327,0.147152421593388
"23",1005000,686000,30031,0.154309787060625
"24",1005000,694000,29735,0.163382777176295
"25",1005000,710000,29143,0.179750274789079
"26",1005000,718000,28847,0.190932008290641
"27",1005000,726000,28551,0.201457037407343
"28",1005000,734000,28255,0.213426198619466
"29",1005000,742000,27959,0.224553418297253
"30",1005000,758000,27367,0.237789751960024
"31",1005000,766000,27071,0.245872051088253
"32",1005000,774000,26775,0.252211012539936
"33",1005000,790000,26183,0.262313884286557
"34",1005000,798000,25887,0.257909385509841
"35",1005000,814000,25295,0.25196645258817
"36",101000,1078000,15414,0.160397767157975
"37",101000,1086000,15118,0.172430246815839
"38",101000,1102000,14526,0.184575262644618
"39",101000,1110000,14230,0.193569879362503
"40",101000,1118000,13934,0.194605119488771
"41",101000,1126000,13638,0.198165467174727
"42",101000,1134000,13342,0.204369894459599
"43",101000,1142000,13046,0.203194823736873
"44",101000,1166000,12158,0.216419002170091
"45",101000,1174000,11862,0.224464245026363
"46",101000,1182000,11566,0.241519787376162
"47",101000,1190000,11270,0.271772422367789
"48",101000,1198000,10974,0.310127386920555
"49",101000,1206000,10678,0.332011726092264
"50",101000,1214000,10382,0.345251890880703
"51",101000,1222000,10086,0.375590857773841
"52",101000,1230000,9790,0.393082479231528
"53",101000,1238000,9494,0.406595385663913
"54",101000,1246000,9198,0.422835734118625
"55",101000,1254000,8902,0.408239992698367
"56",101000,1262000,8606,0.40220142988986
"57",101000,1270000,8310,0.394499734620633
"58",101000,1278000,8014,0.373517125897805
"59",101000,1286000,7718,0.35992998628804
"60",101000,1294000,7422,0.351882488717877
"61",101000,1302000,7126,0.337273294608969
"62",101000,1310000,6830,0.309219072116316
"63",101000,1318000,6534,0.266604034270358
"64",101000,1326000,6238,0.227250024518536
"65",101000,1334000,5942,0.192056589822268
"66",101000,1342000,5646,0.160641802578234
"67",101000,1350000,5350,0.136535895131343
"68",101000,1358000,5054,0.117326478624344
"69",101000,1366000,4758,0.104777396466457
"70",101000,1374000,4462,0.0979349605698822
"71",101000,1382000,4166,0.0952258076817859
"72",101000,1390000,3870,0.0965337958752045
"73",101000,1398000,3574,0.100202447959609
"74",101000,1406000,3278,0.102694271277831
"75",101000,1414000,2982,0.104409804348929
"76",101000,1422000,2686,0.107763063186781
"77",101000,1446000,1798,0.128756554125089
"78",101000,894000,22222,0
"79",101000,926000,21038,0
"80",101000,934000,20742,0
"81",1013000,694000,29736,0.181243824417556
"82",1013000,702000,29440,0.189765344672583
"83",1013000,710000,29144,0.193509024879787
"84",1013000,726000,28552,0.213301155390595
"85",1013000,734000,28256,0.220624900314547
"86",1013000,742000,27960,0.229502427261382
"87",1013000,758000,27368,0.250317908558215
"88",1013000,774000,26776,0.259053140382385
"89",1013000,782000,26480,0.264928793284765
"90",1013000,798000,25888,0.273751008054311
"91",1021000,686000,30033,0.193049057277281
"92",1021000,694000,29737,0.198328593654235
"93",1021000,702000,29441,0.203022074629727
"94",1021000,718000,28849,0.212021621131853
"95",1021000,782000,26481,0.282917590320063
"96",1021000,790000,26185,0.291300391112715
"97",1021000,798000,25889,0.295705841055784
"98",1021000,814000,25297,0.323310897346879
"99",1021000,822000,25001,0.329396197707497
"100",1029000,686000,30034,0.218638846513046
"101",1029000,694000,29738,0.219602775785949
"102",1029000,758000,27370,0.273574533171984
"103",1029000,782000,26482,0.310915034262798
"104",1029000,790000,26186,0.319279506244374
"105",1029000,798000,25890,0.327186404188782
"106",1029000,806000,25594,0.341636918552518
"107",1029000,830000,24706,0.388949896644131
"108",1037000,686000,30035,0.251938605145987
"109",1037000,718000,28851,0.24797700659785
"110",1037000,726000,28555,0.255332370311163
"111",1037000,734000,28259,0.266176648536915
"112",1037000,742000,27963,0.281322204418328
"113",1037000,782000,26483,0.346324234751074
"114",1037000,798000,25891,0.374562736249191
"115",1045000,694000,29740,0.288767379826418
"116",1045000,702000,29444,0.283411597255609
"117",1045000,726000,28556,0.289296989277401
"118",1045000,742000,27964,0.312980928904093
"119",1045000,758000,27372,0.349564267714192
"120",1045000,774000,26780,0.37852597139177
"121",1045000,782000,26484,0.400247416701368
"122",1045000,790000,26188,0.42534323360935
"123",1053000,678000,30333,0.334571859688646
"124",1053000,686000,30037,0.329705084302674
"125",1053000,694000,29741,0.326210058697337
"126",1053000,702000,29445,0.323662331266645
"127",1053000,710000,29149,0.323098935743537
"128",1053000,718000,28853,0.323571736016906
"129",1053000,734000,28261,0.346223734471024
