"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Cherry",323,3,141000,1486000,NA,0
"2","Cherry",324,1,149000,1486000,NA,0
"3","Cherry",619,7,141000,1478000,NA,0
"4","Cherry",620,6,149000,1478000,NA,0
"5","Cherry",898,1,5000,1470000,NA,0
"6","Cherry",915,5,141000,1470000,NA,0
"7","Cherry",916,5,149000,1470000,NA,0
"8","Cherry",1194,1,5000,1462000,NA,0
"9","Cherry",1195,3,13000,1462000,NA,0
"10","Cherry",1196,1,21000,1462000,NA,0
"11","Cherry",1197,1,29000,1462000,NA,0
"12","Cherry",1198,1,37000,1462000,NA,0
"13","Cherry",1199,1,45000,1462000,NA,0
"14","Cherry",1211,1,141000,1462000,NA,0
"15","Cherry",1491,1,13000,1454000,NA,0
"16","Cherry",1492,4,21000,1454000,NA,0
"17","Cherry",1493,2,29000,1454000,NA,0
"18","Cherry",1494,2,37000,1454000,NA,0
"19","Cherry",1495,3,45000,1454000,NA,0
"20","Cherry",1496,1,53000,1454000,NA,0
"21","Cherry",1498,1,69000,1454000,NA,0
"22","Cherry",1499,3,77000,1454000,NA,0
"23","Cherry",1500,2,85000,1454000,NA,0
"24","Cherry",1502,1,101000,1454000,NA,0
"25","Cherry",1786,1,5000,1446000,NA,0
"26","Cherry",1788,2,21000,1446000,NA,0
"27","Cherry",1789,2,29000,1446000,NA,0
"28","Cherry",1791,2,45000,1446000,NA,0
"29","Cherry",1792,1,53000,1446000,NA,0
"30","Cherry",1794,1,69000,1446000,NA,0
"31","Cherry",1795,1,77000,1446000,NA,0
"32","Cherry",1796,3,85000,1446000,NA,0
"33","Cherry",1797,2,93000,1446000,NA,0
"34","Cherry",1798,2,101000,1446000,NA,0
"35","Cherry",1799,2,109000,1446000,NA,0
"36","Cherry",2083,1,13000,1438000,NA,0
"37","Cherry",2084,4,21000,1438000,NA,0
"38","Cherry",2085,1,29000,1438000,NA,0
"39","Cherry",2087,1,45000,1438000,NA,0
"40","Cherry",2091,2,77000,1438000,NA,0
"41","Cherry",2095,2,109000,1438000,NA,0
"42","Cherry",2096,1,117000,1438000,NA,0
"43","Cherry",2098,1,133000,1438000,NA,0
"44","Cherry",2100,1,149000,1438000,NA,0
"45","Cherry",2379,2,13000,1430000,NA,0
"46","Cherry",2380,2,21000,1430000,NA,0
"47","Cherry",2381,3,29000,1430000,NA,0
"48","Cherry",2382,2,37000,1430000,NA,0
"49","Cherry",2383,1,45000,1430000,NA,0
"50","Cherry",2385,2,61000,1430000,NA,0
"51","Cherry",2386,2,69000,1430000,NA,0
"52","Cherry",2387,1,77000,1430000,NA,0
"53","Cherry",2388,2,85000,1430000,NA,0
"54","Cherry",2389,1,93000,1430000,NA,0
"55","Cherry",2391,3,109000,1430000,NA,0
"56","Cherry",2392,2,117000,1430000,NA,0
"57","Cherry",2393,2,125000,1430000,NA,0
"58","Cherry",2395,5,141000,1430000,NA,0
"59","Cherry",2396,1,149000,1430000,NA,0
"60","Cherry",2397,1,157000,1430000,NA,0
"61","Cherry",2676,2,21000,1422000,NA,0
"62","Cherry",2678,1,37000,1422000,NA,0
"63","Cherry",2679,2,45000,1422000,NA,0
"64","Cherry",2680,1,53000,1422000,NA,0
"65","Cherry",2682,1,69000,1422000,NA,0
"66","Cherry",2683,1,77000,1422000,NA,0
"67","Cherry",2684,1,85000,1422000,NA,0
"68","Cherry",2686,1,101000,1422000,NA,0
"69","Cherry",2687,3,109000,1422000,NA,0
"70","Cherry",2688,4,117000,1422000,NA,0
"71","Cherry",2689,3,125000,1422000,NA,0
"72","Cherry",2690,6,133000,1422000,NA,0
"73","Cherry",2691,3,141000,1422000,NA,0
"74","Cherry",2692,2,149000,1422000,NA,0
"75","Cherry",2693,1,157000,1422000,NA,0
"76","Cherry",2694,1,165000,1422000,NA,0
"77","Cherry",2971,1,13000,1414000,NA,0
"78","Cherry",2973,1,29000,1414000,NA,0
"79","Cherry",2974,3,37000,1414000,NA,0
"80","Cherry",2975,2,45000,1414000,NA,0
"81","Cherry",2977,1,61000,1414000,NA,0
"82","Cherry",2978,2,69000,1414000,NA,0
"83","Cherry",2979,2,77000,1414000,NA,0
"84","Cherry",2981,3,93000,1414000,NA,0
"85","Cherry",2982,5,101000,1414000,NA,0
