"","x","y","cell","sd"
"1",-11000,1070000,15696,0
"2",-11000,1238000,9480,0
"3",-11000,1278000,8000,0
"4",-11000,998000,18360,0
"5",-19000,1038000,16879,0
"6",-19000,1062000,15991,0
"7",-19000,1086000,15103,0
"8",-19000,1222000,10071,0
"9",-19000,1270000,8295,0
"10",-19000,1278000,7999,0
"11",-19000,1334000,5927,0
"12",-19000,1350000,5335,0
"13",-19000,1374000,4447,0
"14",-27000,1038000,16878,0
"15",-27000,1046000,16582,0
"16",-27000,1062000,15990,0
"17",-3000,1006000,18065,0
"18",-3000,1038000,16881,0
"19",-3000,1230000,9777,0
"20",-35000,950000,20133,0
"21",1005000,622000,32399,0.95157350253481
"22",1005000,678000,30327,0.692346104703384
"23",1005000,686000,30031,0.660294020780496
"24",1005000,694000,29735,0.633460299780866
"25",1005000,710000,29143,0.556463045965865
"26",1005000,718000,28847,0.524269993289612
"27",1005000,726000,28551,0.483238185164316
"28",1005000,734000,28255,0.442066210714607
"29",1005000,742000,27959,0.40005460144632
"30",1005000,758000,27367,0.318952014944788
"31",1005000,766000,27071,0.289977090209922
"32",1005000,774000,26775,0.266347777057305
"33",1005000,790000,26183,0.235416981586175
"34",1005000,798000,25887,0.218392685576772
"35",1005000,814000,25295,0.190636133071582
"36",101000,1078000,15414,0.0720340072828082
"37",101000,1086000,15118,0.0700889578864799
"38",101000,1102000,14526,0.0618732366159434
"39",101000,1110000,14230,0.0584735908256255
"40",101000,1118000,13934,0.0541999532913286
"41",101000,1126000,13638,0.050499032888949
"42",101000,1134000,13342,0.0470392515011735
"43",101000,1142000,13046,0.0427938980867463
"44",101000,1166000,12158,0.0311535458562791
"45",101000,1174000,11862,0.0273871076202685
"46",101000,1182000,11566,0.0241397240538948
"47",101000,1190000,11270,0.0214156215014739
"48",101000,1198000,10974,0.0189897621522337
"49",101000,1206000,10678,0.0165198268440098
"50",101000,1214000,10382,0.0143133736753756
"51",101000,1222000,10086,0.012609590699193
