"","x","y","cell","sd"
"1",-11000,1070000,15696,0
"2",-11000,1238000,9480,0
"3",-11000,1278000,8000,0
"4",-11000,998000,18360,0
"5",-19000,1038000,16879,0
"6",-19000,1062000,15991,0
"7",-19000,1086000,15103,0
"8",-19000,1222000,10071,0
"9",-19000,1270000,8295,0
"10",-19000,1278000,7999,0
"11",-19000,1334000,5927,0
"12",-19000,1350000,5335,0
"13",-19000,1374000,4447,0
"14",-27000,1038000,16878,0
"15",-27000,1046000,16582,0
"16",-27000,1062000,15990,0
"17",-3000,1006000,18065,0
"18",-3000,1038000,16881,0
"19",-3000,1230000,9777,0
"20",-35000,950000,20133,0
"21",1005000,622000,32399,0.915994867303682
"22",1005000,678000,30327,0.675812865370181
"23",1005000,686000,30031,0.646893881719183
"24",1005000,694000,29735,0.621938189293645
"25",1005000,710000,29143,0.544867205453753
"26",1005000,718000,28847,0.512732233453487
"27",1005000,726000,28551,0.471994406620482
"28",1005000,734000,28255,0.431703516665885
"29",1005000,742000,27959,0.39036811153409
"30",1005000,758000,27367,0.31011130005645
"31",1005000,766000,27071,0.282682040586819
"32",1005000,774000,26775,0.26040545247442
"33",1005000,790000,26183,0.232866947195518
"34",1005000,798000,25887,0.217837286263734
"35",1005000,814000,25295,0.192030347920936
"36",101000,1078000,15414,0.0712137009963815
"37",101000,1086000,15118,0.0686537004515055
"38",101000,1102000,14526,0.0604767569456868
"39",101000,1110000,14230,0.0571536296298256
"40",101000,1118000,13934,0.0525592237182298
"41",101000,1126000,13638,0.0486288798215843
"42",101000,1134000,13342,0.0452423571009173
"43",101000,1142000,13046,0.0413210670745796
"44",101000,1166000,12158,0.0300425243222154
"45",101000,1174000,11862,0.026342994676394
"46",101000,1182000,11566,0.0232319239160593
"47",101000,1190000,11270,0.0206675938363084
"48",101000,1198000,10974,0.0183793414613076
"49",101000,1206000,10678,0.0160296560612541
"50",101000,1214000,10382,0.0139650196288657
"51",101000,1222000,10086,0.0124174098396942
