"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Elm",323,3,141000,1486000,NA,0
"2","Elm",324,1,149000,1486000,NA,0
"3","Elm",619,7,141000,1478000,NA,0
"4","Elm",620,6,149000,1478000,NA,0
"5","Elm",898,1,5000,1470000,NA,0
"6","Elm",915,5,141000,1470000,NA,0
"7","Elm",916,5,149000,1470000,NA,0
"8","Elm",1194,1,5000,1462000,NA,0
"9","Elm",1195,3,13000,1462000,NA,0
"10","Elm",1196,1,21000,1462000,NA,0
"11","Elm",1197,1,29000,1462000,NA,0
"12","Elm",1198,1,37000,1462000,NA,0
"13","Elm",1199,1,45000,1462000,NA,0
"14","Elm",1211,1,141000,1462000,NA,0
"15","Elm",1491,1,13000,1454000,NA,0
"16","Elm",1492,4,21000,1454000,NA,0
"17","Elm",1493,2,29000,1454000,NA,0
"18","Elm",1494,2,37000,1454000,NA,0
"19","Elm",1495,3,45000,1454000,NA,0
"20","Elm",1496,1,53000,1454000,NA,0
"21","Elm",1498,1,69000,1454000,NA,0
"22","Elm",1499,3,77000,1454000,NA,0
"23","Elm",1500,2,85000,1454000,NA,0
"24","Elm",1502,1,101000,1454000,NA,0
"25","Elm",1786,1,5000,1446000,NA,0
"26","Elm",1788,2,21000,1446000,NA,0
"27","Elm",1789,2,29000,1446000,NA,0
"28","Elm",1791,2,45000,1446000,NA,0
"29","Elm",1792,1,53000,1446000,NA,0
"30","Elm",1794,1,69000,1446000,NA,0
"31","Elm",1795,1,77000,1446000,NA,0
"32","Elm",1796,3,85000,1446000,NA,0
"33","Elm",1797,2,93000,1446000,NA,0
"34","Elm",1798,2,101000,1446000,NA,0
"35","Elm",1799,2,109000,1446000,NA,0
"36","Elm",2083,1,13000,1438000,NA,0
"37","Elm",2084,4,21000,1438000,NA,0
"38","Elm",2085,1,29000,1438000,NA,0
"39","Elm",2087,1,45000,1438000,NA,0
"40","Elm",2091,2,77000,1438000,NA,0
"41","Elm",2095,2,109000,1438000,NA,0
"42","Elm",2096,1,117000,1438000,NA,0
"43","Elm",2098,1,133000,1438000,NA,0
"44","Elm",2100,1,149000,1438000,NA,0
"45","Elm",2379,2,13000,1430000,NA,0
"46","Elm",2380,2,21000,1430000,NA,0
"47","Elm",2381,3,29000,1430000,NA,0
"48","Elm",2382,2,37000,1430000,NA,0
"49","Elm",2383,1,45000,1430000,NA,0
"50","Elm",2385,2,61000,1430000,3.74413542344963,1
"51","Elm",2386,2,69000,1430000,NA,0
"52","Elm",2387,1,77000,1430000,NA,0
"53","Elm",2388,2,85000,1430000,NA,0
"54","Elm",2389,1,93000,1430000,NA,0
"55","Elm",2391,3,109000,1430000,NA,0
"56","Elm",2392,2,117000,1430000,NA,0
"57","Elm",2393,2,125000,1430000,NA,0
"58","Elm",2395,5,141000,1430000,NA,0
"59","Elm",2396,1,149000,1430000,NA,0
"60","Elm",2397,1,157000,1430000,NA,0
"61","Elm",2676,2,21000,1422000,NA,0
"62","Elm",2678,1,37000,1422000,NA,0
"63","Elm",2679,2,45000,1422000,NA,0
"64","Elm",2680,1,53000,1422000,NA,0
"65","Elm",2682,1,69000,1422000,NA,0
"66","Elm",2683,1,77000,1422000,NA,0
"67","Elm",2684,1,85000,1422000,NA,0
"68","Elm",2686,1,101000,1422000,NA,0
"69","Elm",2687,3,109000,1422000,NA,0
"70","Elm",2688,4,117000,1422000,3.20567097870474,1
"71","Elm",2689,3,125000,1422000,NA,0
"72","Elm",2690,6,133000,1422000,NA,0
"73","Elm",2691,3,141000,1422000,NA,0
"74","Elm",2692,2,149000,1422000,NA,0
"75","Elm",2693,1,157000,1422000,NA,0
"76","Elm",2694,1,165000,1422000,NA,0
"77","Elm",2971,1,13000,1414000,NA,0
"78","Elm",2973,1,29000,1414000,NA,0
"79","Elm",2974,3,37000,1414000,NA,0
"80","Elm",2975,2,45000,1414000,NA,0
"81","Elm",2977,1,61000,1414000,NA,0
"82","Elm",2978,2,69000,1414000,NA,0
"83","Elm",2979,2,77000,1414000,NA,0
"84","Elm",2981,3,93000,1414000,11.7681536349319,1
"85","Elm",2982,5,101000,1414000,NA,0
"86","Elm",2983,5,109000,1414000,NA,0
"87","Elm",2984,3,117000,1414000,NA,0
"88","Elm",2985,3,125000,1414000,NA,0
"89","Elm",2986,4,133000,1414000,NA,0
"90","Elm",2987,6,141000,1414000,NA,0
"91","Elm",2988,3,149000,1414000,NA,0
"92","Elm",2989,3,157000,1414000,NA,0
"93","Elm",3270,3,37000,1406000,NA,0
"94","Elm",3271,2,45000,1406000,NA,0
"95","Elm",3272,1,53000,1406000,NA,0
"96","Elm",3273,1,61000,1406000,NA,0
"97","Elm",3274,2,69000,1406000,NA,0
"98","Elm",3275,2,77000,1406000,NA,0
"99","Elm",3276,2,85000,1406000,NA,0
"100","Elm",3277,1,93000,1406000,NA,0
"101","Elm",3278,4,101000,1406000,NA,0
"102","Elm",3279,4,109000,1406000,NA,0
"103","Elm",3280,3,117000,1406000,NA,0
"104","Elm",3281,5,125000,1406000,NA,0
"105","Elm",3282,4,133000,1406000,NA,0
"106","Elm",3283,3,141000,1406000,NA,0
"107","Elm",3284,3,149000,1406000,NA,0
"108","Elm",3285,4,157000,1406000,NA,0
"109","Elm",3286,3,165000,1406000,NA,0
"110","Elm",3287,2,173000,1406000,NA,0
"111","Elm",3289,2,189000,1406000,NA,0
"112","Elm",3564,1,21000,1398000,7.08675636419333,1
"113","Elm",3565,3,29000,1398000,NA,0
"114","Elm",3566,4,37000,1398000,NA,0
"115","Elm",3567,4,45000,1398000,NA,0
"116","Elm",3568,3,53000,1398000,2.8740983428294,1
"117","Elm",3569,2,61000,1398000,NA,0
"118","Elm",3570,1,69000,1398000,NA,0
"119","Elm",3571,1,77000,1398000,NA,0
"120","Elm",3572,3,85000,1398000,NA,0
"121","Elm",3573,3,93000,1398000,NA,0
"122","Elm",3574,4,101000,1398000,NA,0
"123","Elm",3575,5,109000,1398000,NA,0
"124","Elm",3576,4,117000,1398000,NA,0
"125","Elm",3577,3,125000,1398000,NA,0
"126","Elm",3578,3,133000,1398000,NA,0
"127","Elm",3579,4,141000,1398000,NA,0
"128","Elm",3580,4,149000,1398000,NA,0
"129","Elm",3581,3,157000,1398000,NA,0
"130","Elm",3582,3,165000,1398000,NA,0
"131","Elm",3583,3,173000,1398000,NA,0
"132","Elm",3584,4,181000,1398000,NA,0
"133","Elm",3585,5,189000,1398000,NA,0
"134","Elm",3586,1,197000,1398000,NA,0
"135","Elm",3587,1,205000,1398000,NA,0
"136","Elm",3588,1,213000,1398000,NA,0
"137","Elm",3858,1,5000,1390000,NA,0
"138","Elm",3860,1,21000,1390000,NA,0
"139","Elm",3861,1,29000,1390000,NA,0
"140","Elm",3862,2,37000,1390000,NA,0
"141","Elm",3863,1,45000,1390000,NA,0
"142","Elm",3864,2,53000,1390000,3.74413542344963,1
"143","Elm",3866,1,69000,1390000,NA,0
"144","Elm",3867,1,77000,1390000,NA,0
"145","Elm",3868,2,85000,1390000,NA,0
"146","Elm",3869,3,93000,1390000,NA,0
"147","Elm",3870,2,101000,1390000,NA,0
"148","Elm",3871,4,109000,1390000,NA,0
"149","Elm",3872,5,117000,1390000,NA,0
"150","Elm",3873,4,125000,1390000,NA,0
"151","Elm",3874,3,133000,1390000,NA,0
"152","Elm",3875,5,141000,1390000,NA,0
"153","Elm",3876,7,149000,1390000,NA,0
"154","Elm",3877,2,157000,1390000,NA,0
"155","Elm",3878,3,165000,1390000,NA,0
"156","Elm",3879,1,173000,1390000,NA,0
"157","Elm",3880,2,181000,1390000,NA,0
"158","Elm",3881,4,189000,1390000,NA,0
"159","Elm",3882,4,197000,1390000,NA,0
"160","Elm",3883,3,205000,1390000,NA,0
"161","Elm",3884,5,213000,1390000,NA,0
"162","Elm",3885,2,221000,1390000,NA,0
"163","Elm",4155,1,13000,1382000,6.03723619820096,1
"164","Elm",4157,2,29000,1382000,NA,0
"165","Elm",4162,1,69000,1382000,NA,0
"166","Elm",4163,2,77000,1382000,NA,0
"167","Elm",4164,1,85000,1382000,NA,0
"168","Elm",4165,3,93000,1382000,NA,0
"169","Elm",4166,2,101000,1382000,NA,0
"170","Elm",4167,2,109000,1382000,NA,0
"171","Elm",4168,4,117000,1382000,NA,0
"172","Elm",4169,1,125000,1382000,NA,0
"173","Elm",4170,5,133000,1382000,NA,0
"174","Elm",4171,4,141000,1382000,NA,0
"175","Elm",4172,4,149000,1382000,NA,0
"176","Elm",4173,5,157000,1382000,7.97563050998148,1
