"","x","y","cell","sd"
"1",-11000,1070000,15696,0.606288000784906
"2",-11000,1238000,9480,0.593090063505202
"3",-11000,1278000,8000,0.537737376212264
"4",-11000,998000,18360,0.716786143173853
"5",-19000,1038000,16879,0.671675432029558
"6",-19000,1062000,15991,0.672594182023604
"7",-19000,1086000,15103,0.649419074747949
"8",-19000,1222000,10071,0.662260431324053
"9",-19000,1270000,8295,0.605550724152451
"10",-19000,1278000,7999,0.596866849318533
"11",-19000,1334000,5927,0.48526675210917
"12",-19000,1350000,5335,0.430953074044326
"13",-19000,1374000,4447,0.373417645286105
"14",-27000,1038000,16878,0.721168037254557
"15",-27000,1046000,16582,0.721628714918739
"16",-27000,1062000,15990,0.728465302967741
"17",-3000,1006000,18065,0.660943284126752
"18",-3000,1038000,16881,0.598883318045439
"19",-3000,1230000,9777,0.52905641400699
"20",-35000,950000,20133,1.16738518043251
"21",1005000,622000,32399,0.338833540366608
"22",1005000,678000,30327,0.267628395990739
"23",1005000,686000,30031,0.270438375769896
"24",1005000,694000,29735,0.275991908496236
"25",1005000,710000,29143,0.277441523340779
"26",1005000,718000,28847,0.281841437589657
"27",1005000,726000,28551,0.285232808713704
"28",1005000,734000,28255,0.29103866242453
"29",1005000,742000,27959,0.297154266823404
"30",1005000,758000,27367,0.300192657759142
"31",1005000,766000,27071,0.301367593206849
"32",1005000,774000,26775,0.299889517733483
"33",1005000,790000,26183,0.292021974049462
"34",1005000,798000,25887,0.274935574914007
"35",1005000,814000,25295,0.23441190656016
"36",101000,1078000,15414,0.328913078851025
"37",101000,1086000,15118,0.315993559522562
"38",101000,1102000,14526,0.259889573546465
"39",101000,1110000,14230,0.239113025128157
"40",101000,1118000,13934,0.211176328262681
"41",101000,1126000,13638,0.190755629903468
"42",101000,1134000,13342,0.17624561623308
"43",101000,1142000,13046,0.158174627563859
"44",101000,1166000,12158,0.12104898187319
"45",101000,1174000,11862,0.110487150933624
"46",101000,1182000,11566,0.103303274581981
"47",101000,1190000,11270,0.0993135078889587
"48",101000,1198000,10974,0.0959854127304942
"49",101000,1206000,10678,0.0887117991797782
"50",101000,1214000,10382,0.080852130354568
"51",101000,1222000,10086,0.0766726537554234
"52",101000,1230000,9790,0.0724027701382829
"53",101000,1238000,9494,0.0701951456092966
"54",101000,1246000,9198,0.0708597597057631
"55",101000,1254000,8902,0.0711647141217459
"56",101000,1262000,8606,0.0740462943377364
"57",101000,1270000,8310,0.0777185734392015
"58",101000,1278000,8014,0.0801130108126669
"59",101000,1286000,7718,0.0836296259711751
"60",101000,1294000,7422,0.0882641890493205
"61",101000,1302000,7126,0.0918792572456045
"62",101000,1310000,6830,0.0927709950788688
"63",101000,1318000,6534,0.0897820516211976
"64",101000,1326000,6238,0.0860740022655718
"65",101000,1334000,5942,0.0816766059443521
"66",101000,1342000,5646,0.0760534581949573
"67",101000,1350000,5350,0.0698962318021036
"68",101000,1358000,5054,0.0620269154769618
"69",101000,1366000,4758,0.054422261317518
"70",101000,1374000,4462,0.0481199284281459
"71",101000,1382000,4166,0.0431429846271752
"72",101000,1390000,3870,0.0395135667200551
"73",101000,1398000,3574,0.0367530806427839
"74",101000,1406000,3278,0.0341702957567982
"75",101000,1414000,2982,0.0320065535295818
"76",101000,1422000,2686,0.0306242045021213
"77",101000,1446000,1798,0.0297006594280237
"78",101000,894000,22222,0.799273655777564
"79",101000,926000,21038,0.650366951789293
"80",101000,934000,20742,0.635783752640961
"81",1013000,694000,29736,0.289192133806145
"82",1013000,702000,29440,0.292887986778029
"83",1013000,710000,29144,0.286912501009602
"84",1013000,726000,28552,0.297997981009979
"85",1013000,734000,28256,0.299703666476176
"86",1013000,742000,27960,0.304373337971869
"87",1013000,758000,27368,0.316780719957112
"88",1013000,774000,26776,0.307374414994624
"89",1013000,782000,26480,0.304444353608926
"90",1013000,798000,25888,0.290071661062662
"91",1021000,686000,30033,0.298461115821202
"92",1021000,694000,29737,0.298062890215168
"93",1021000,702000,29441,0.297572057116228
"94",1021000,718000,28849,0.297825295454821
"95",1021000,782000,26481,0.319971982054651
"96",1021000,790000,26185,0.316541986928634
"97",1021000,798000,25889,0.306940243014726
"98",1021000,814000,25297,0.290147671314403
