cell,x,y,Ash,Basswood,Beech,Birch,Cedar.juniper,Cherry,Elm,Fir,Hemlock,Hickory,Maple,Oak,Other.hardwood,Pine,Poplar,Spruce,Tamarack,Tulip.poplar,Walnut,Total
323,141000,1486000,20.00581217,NA,NA,13.89381725,40.38913407,NA,NA,9.810012374,NA,NA,NA,NA,NA,NA,9.556353361,68.61469917,NA,NA,NA,26.03937722
324,149000,1486000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.43635358,NA,NA,NA,NA,NA
619,141000,1478000,7.027754768,NA,NA,NA,8.337345423,NA,NA,5.66805717,NA,NA,NA,NA,NA,NA,NA,5.841601602,7.748508683,NA,NA,7.23462704
620,149000,1478000,NA,NA,NA,NA,13.01539647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.06985858,14.84737688,NA,NA,13.95116838
898,5000,1470000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7087387,NA,NA,NA,NA,NA
915,141000,1470000,19.49440414,NA,NA,NA,2.969745579,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.40847277,11.63248805,31.83500465,NA,NA,21.02918664
916,149000,1470000,25.69086702,NA,NA,NA,20.95505333,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.029658915,10.57031453,24.49582152,NA,NA,18.28795911
1194,5000,1462000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.12436729,NA,NA,NA,NA,NA,NA,NA,31.12436729
1195,13000,1462000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.746487666,NA,NA,NA,NA,3.746487666
1196,21000,1462000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1197,29000,1462000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1198,37000,1462000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.07790018,NA,NA,4.922750114,NA,NA,NA,NA,NA
1199,45000,1462000,2.639480431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.14182296,NA,NA,NA,NA,NA
1211,141000,1462000,NA,NA,NA,NA,8.892903754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.31037353,NA,NA,12.10163864
1491,13000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.58455858,NA,NA,NA,NA,48.58455858
1492,21000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.24227446,NA,NA,32.8374352,NA,NA,NA,NA,20.03985483
1493,29000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41632902,NA,NA,20.04004172,NA,NA,NA,NA,14.49880415
1494,37000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.29508865,NA,NA,NA,NA,10.29508865
1495,45000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1496,53000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.37937073,NA,NA,NA,NA,60.37937073
1498,69000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1499,77000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.034838235,NA,NA,NA,NA,6.034838235
1500,85000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.982757635,NA,NA,NA
1502,101000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1786,5000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1788,21000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1789,29000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.48854229,NA,NA,NA,NA,23.48854229
1791,45000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1792,53000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1794,69000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1795,77000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1796,85000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.07242319,NA,NA,NA,NA,11.07242319
1797,93000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.821613345,4.561050045,NA,NA,NA,4.691331695
1798,101000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.52522197,NA,NA,NA,NA,19.52522197
1799,109000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.73151293,NA,NA,NA,NA,45.73151293
2083,13000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.87520818,NA,NA,NA,NA,NA,NA,NA,14.87520818
2084,21000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.39938825,NA,NA,NA,NA,16.39938825
2085,29000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.638604666,NA,NA,NA,NA,2.638604666
2087,45000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.553054144,NA,NA,NA,NA,6.553054144
2091,77000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.87323111,NA,NA,NA,NA,19.87323111
2095,109000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2096,117000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.80683152,22.94194599,NA,NA,NA,NA,17.87438875
2098,133000,1438000,129.148358,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.23186996,8.816295089,NA,NA,NA,NA,NA,NA,NA,58.06550768
2100,149000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.68618706,NA,NA,NA,NA,44.68618706
2379,13000,1430000,6.037236198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.03735491,NA,NA,NA,NA,16.03731534
2380,21000,1430000,2.345029148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.345029148
2381,29000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.88452105,NA,NA,NA,NA,15.88452105
2382,37000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2383,45000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.566794969,NA,NA,NA,NA,2.566794969
2385,61000,1430000,25.07939691,NA,NA,NA,NA,NA,3.744135423,NA,NA,NA,NA,NA,NA,NA,15.81673124,NA,NA,NA,NA,15.1142487
2386,69000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2387,77000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.72939533,NA,NA,NA,NA,27.72939533
2388,85000,1430000,20.35965604,40.02847077,NA,NA,NA,NA,NA,NA,NA,NA,5.340304665,47.80297422,NA,NA,NA,NA,NA,NA,NA,26.71919152
2389,93000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2391,109000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2392,117000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8398473,NA,NA,NA,NA,11.8398473
2393,125000,1430000,NA,NA,NA,10.61207446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.52451269,NA,1.803872142,NA,NA,11.31348643
2395,141000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.65417266,NA,NA,NA,NA,42.65417266
2396,149000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
