"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Fir",323,3,141000,1486000,9.81001237422667,1
"2","Fir",324,1,149000,1486000,NA,0
"3","Fir",619,7,141000,1478000,5.66805716959191,1
"4","Fir",620,6,149000,1478000,NA,0
"5","Fir",898,1,5000,1470000,NA,0
"6","Fir",915,5,141000,1470000,NA,0
"7","Fir",916,5,149000,1470000,NA,0
"8","Fir",1194,1,5000,1462000,NA,0
"9","Fir",1195,3,13000,1462000,NA,0
"10","Fir",1196,1,21000,1462000,NA,0
"11","Fir",1197,1,29000,1462000,NA,0
"12","Fir",1198,1,37000,1462000,NA,0
"13","Fir",1199,1,45000,1462000,NA,0
"14","Fir",1211,1,141000,1462000,NA,0
"15","Fir",1491,1,13000,1454000,NA,0
"16","Fir",1492,4,21000,1454000,NA,0
"17","Fir",1493,2,29000,1454000,NA,0
"18","Fir",1494,2,37000,1454000,NA,0
"19","Fir",1495,3,45000,1454000,NA,0
"20","Fir",1496,1,53000,1454000,NA,0
"21","Fir",1498,1,69000,1454000,NA,0
"22","Fir",1499,3,77000,1454000,NA,0
"23","Fir",1500,2,85000,1454000,NA,0
"24","Fir",1502,1,101000,1454000,NA,0
"25","Fir",1786,1,5000,1446000,NA,0
"26","Fir",1788,2,21000,1446000,NA,0
"27","Fir",1789,2,29000,1446000,NA,0
"28","Fir",1791,2,45000,1446000,NA,0
"29","Fir",1792,1,53000,1446000,NA,0
"30","Fir",1794,1,69000,1446000,NA,0
"31","Fir",1795,1,77000,1446000,NA,0
"32","Fir",1796,3,85000,1446000,NA,0
"33","Fir",1797,2,93000,1446000,NA,0
"34","Fir",1798,2,101000,1446000,NA,0
"35","Fir",1799,2,109000,1446000,NA,0
"36","Fir",2083,1,13000,1438000,NA,0
"37","Fir",2084,4,21000,1438000,NA,0
"38","Fir",2085,1,29000,1438000,NA,0
"39","Fir",2087,1,45000,1438000,NA,0
"40","Fir",2091,2,77000,1438000,NA,0
"41","Fir",2095,2,109000,1438000,NA,0
"42","Fir",2096,1,117000,1438000,NA,0
"43","Fir",2098,1,133000,1438000,NA,0
"44","Fir",2100,1,149000,1438000,NA,0
"45","Fir",2379,2,13000,1430000,NA,0
"46","Fir",2380,2,21000,1430000,NA,0
"47","Fir",2381,3,29000,1430000,NA,0
"48","Fir",2382,2,37000,1430000,NA,0
"49","Fir",2383,1,45000,1430000,NA,0
"50","Fir",2385,2,61000,1430000,NA,0
"51","Fir",2386,2,69000,1430000,NA,0
"52","Fir",2387,1,77000,1430000,NA,0
"53","Fir",2388,2,85000,1430000,NA,0
"54","Fir",2389,1,93000,1430000,NA,0
"55","Fir",2391,3,109000,1430000,NA,0
"56","Fir",2392,2,117000,1430000,NA,0
"57","Fir",2393,2,125000,1430000,NA,0
"58","Fir",2395,5,141000,1430000,NA,0
"59","Fir",2396,1,149000,1430000,NA,0
"60","Fir",2397,1,157000,1430000,NA,0
"61","Fir",2676,2,21000,1422000,NA,0
"62","Fir",2678,1,37000,1422000,NA,0
"63","Fir",2679,2,45000,1422000,NA,0
"64","Fir",2680,1,53000,1422000,NA,0
"65","Fir",2682,1,69000,1422000,NA,0
"66","Fir",2683,1,77000,1422000,NA,0
"67","Fir",2684,1,85000,1422000,NA,0
"68","Fir",2686,1,101000,1422000,NA,0
"69","Fir",2687,3,109000,1422000,4.87659404649069,1
"70","Fir",2688,4,117000,1422000,NA,0
"71","Fir",2689,3,125000,1422000,NA,0
"72","Fir",2690,6,133000,1422000,24.1738273649301,1
"73","Fir",2691,3,141000,1422000,NA,0
"74","Fir",2692,2,149000,1422000,2.13203004258788,1
"75","Fir",2693,1,157000,1422000,NA,0
"76","Fir",2694,1,165000,1422000,NA,0
"77","Fir",2971,1,13000,1414000,NA,0
"78","Fir",2973,1,29000,1414000,NA,0
"79","Fir",2974,3,37000,1414000,NA,0
"80","Fir",2975,2,45000,1414000,NA,0
"81","Fir",2977,1,61000,1414000,NA,0
"82","Fir",2978,2,69000,1414000,NA,0
"83","Fir",2979,2,77000,1414000,NA,0
"84","Fir",2981,3,93000,1414000,NA,0
"85","Fir",2982,5,101000,1414000,45.8562804519275,1
"86","Fir",2983,5,109000,1414000,NA,0
"87","Fir",2984,3,117000,1414000,17.7961019491344,1
"88","Fir",2985,3,125000,1414000,4.15597157290321,1
"89","Fir",2986,4,133000,1414000,NA,0
"90","Fir",2987,6,141000,1414000,NA,0
"91","Fir",2988,3,149000,1414000,NA,0
"92","Fir",2989,3,157000,1414000,NA,0
"93","Fir",3270,3,37000,1406000,NA,0
"94","Fir",3271,2,45000,1406000,NA,0
"95","Fir",3272,1,53000,1406000,NA,0
"96","Fir",3273,1,61000,1406000,NA,0
"97","Fir",3274,2,69000,1406000,10.8014850907807,1
"98","Fir",3275,2,77000,1406000,NA,0
"99","Fir",3276,2,85000,1406000,NA,0
"100","Fir",3277,1,93000,1406000,NA,0
"101","Fir",3278,4,101000,1406000,NA,0
"102","Fir",3279,4,109000,1406000,NA,0
"103","Fir",3280,3,117000,1406000,2.13203004258788,1
"104","Fir",3281,5,125000,1406000,5.89076744518151,1
"105","Fir",3282,4,133000,1406000,3.68639315613383,1
"106","Fir",3283,3,141000,1406000,NA,0
"107","Fir",3284,3,149000,1406000,NA,0
"108","Fir",3285,4,157000,1406000,NA,0
"109","Fir",3286,3,165000,1406000,NA,0
"110","Fir",3287,2,173000,1406000,NA,0
"111","Fir",3289,2,189000,1406000,NA,0
"112","Fir",3564,1,21000,1398000,NA,0
"113","Fir",3565,3,29000,1398000,NA,0
"114","Fir",3566,4,37000,1398000,NA,0
"115","Fir",3567,4,45000,1398000,NA,0
"116","Fir",3568,3,53000,1398000,NA,0
"117","Fir",3569,2,61000,1398000,NA,0
"118","Fir",3570,1,69000,1398000,NA,0
"119","Fir",3571,1,77000,1398000,NA,0
"120","Fir",3572,3,85000,1398000,NA,0
"121","Fir",3573,3,93000,1398000,NA,0
"122","Fir",3574,4,101000,1398000,NA,0
"123","Fir",3575,5,109000,1398000,NA,0
"124","Fir",3576,4,117000,1398000,5.71233117335341,1
"125","Fir",3577,3,125000,1398000,NA,0
"126","Fir",3578,3,133000,1398000,NA,0
"127","Fir",3579,4,141000,1398000,NA,0
"128","Fir",3580,4,149000,1398000,NA,0
"129","Fir",3581,3,157000,1398000,NA,0
"130","Fir",3582,3,165000,1398000,NA,0
"131","Fir",3583,3,173000,1398000,NA,0
"132","Fir",3584,4,181000,1398000,NA,0
"133","Fir",3585,5,189000,1398000,NA,0
"134","Fir",3586,1,197000,1398000,NA,0
"135","Fir",3587,1,205000,1398000,2.06731229695897,1
"136","Fir",3588,1,213000,1398000,9.70573352539074,1
"137","Fir",3858,1,5000,1390000,NA,0
"138","Fir",3860,1,21000,1390000,NA,0
"139","Fir",3861,1,29000,1390000,NA,0
"140","Fir",3862,2,37000,1390000,NA,0
"141","Fir",3863,1,45000,1390000,NA,0
"142","Fir",3864,2,53000,1390000,NA,0
"143","Fir",3866,1,69000,1390000,NA,0
"144","Fir",3867,1,77000,1390000,NA,0
"145","Fir",3868,2,85000,1390000,NA,0
"146","Fir",3869,3,93000,1390000,NA,0
"147","Fir",3870,2,101000,1390000,NA,0
"148","Fir",3871,4,109000,1390000,NA,0
"149","Fir",3872,5,117000,1390000,NA,0
"150","Fir",3873,4,125000,1390000,38.0241390486544,1
"151","Fir",3874,3,133000,1390000,11.0205971741236,1
"152","Fir",3875,5,141000,1390000,NA,0
"153","Fir",3876,7,149000,1390000,27.0425485516569,1
"154","Fir",3877,2,157000,1390000,NA,0
"155","Fir",3878,3,165000,1390000,NA,0
"156","Fir",3879,1,173000,1390000,NA,0
"157","Fir",3880,2,181000,1390000,NA,0
"158","Fir",3881,4,189000,1390000,NA,0
"159","Fir",3882,4,197000,1390000,5.77296068776207,1
"160","Fir",3883,3,205000,1390000,4.05936142983363,1
"161","Fir",3884,5,213000,1390000,NA,0
"162","Fir",3885,2,221000,1390000,NA,0
"163","Fir",4155,1,13000,1382000,NA,0
"164","Fir",4157,2,29000,1382000,NA,0
"165","Fir",4162,1,69000,1382000,NA,0
"166","Fir",4163,2,77000,1382000,NA,0
"167","Fir",4164,1,85000,1382000,NA,0
"168","Fir",4165,3,93000,1382000,NA,0
"169","Fir",4166,2,101000,1382000,NA,0
"170","Fir",4167,2,109000,1382000,NA,0
"171","Fir",4168,4,117000,1382000,NA,0
"172","Fir",4169,1,125000,1382000,NA,0
"173","Fir",4170,5,133000,1382000,2.19794230160954,1
"174","Fir",4171,4,141000,1382000,NA,0
"175","Fir",4172,4,149000,1382000,NA,0
"176","Fir",4173,5,157000,1382000,9.57437682884659,1
"177","Fir",4174,4,165000,1382000,NA,0
"178","Fir",4175,3,173000,1382000,NA,0
"179","Fir",4176,4,181000,1382000,7.19933602848763,1
"180","Fir",4177,4,189000,1382000,NA,0
"181","Fir",4178,6,197000,1382000,4.32997234419742,1
"182","Fir",4179,3,205000,1382000,NA,0
"183","Fir",4180,2,213000,1382000,NA,0
"184","Fir",4181,3,221000,1382000,NA,0
"185","Fir",4182,1,229000,1382000,NA,0
"186","Fir",4184,2,245000,1382000,NA,0
"187","Fir",4185,2,253000,1382000,NA,0
"188","Fir",4186,1,261000,1382000,NA,0
"189","Fir",4188,2,277000,1382000,NA,0
"190","Fir",4189,1,285000,1382000,NA,0
"191","Fir",4447,1,-19000,1374000,NA,0
"192","Fir",4450,1,5000,1374000,NA,0
"193","Fir",4452,1,21000,1374000,NA,0
"194","Fir",4453,1,29000,1374000,NA,0
"195","Fir",4454,1,37000,1374000,NA,0
"196","Fir",4456,2,53000,1374000,NA,0
"197","Fir",4458,1,69000,1374000,NA,0
"198","Fir",4460,4,85000,1374000,NA,0
"199","Fir",4461,1,93000,1374000,NA,0
"200","Fir",4462,3,101000,1374000,NA,0
"201","Fir",4463,2,109000,1374000,NA,0
"202","Fir",4464,4,117000,1374000,NA,0
"203","Fir",4465,2,125000,1374000,NA,0
"204","Fir",4466,2,133000,1374000,NA,0
"205","Fir",4467,3,141000,1374000,29.4209223885124,1
"206","Fir",4468,6,149000,1374000,NA,0
"207","Fir",4469,3,157000,1374000,NA,0
"208","Fir",4470,2,165000,1374000,NA,0
"209","Fir",4471,2,173000,1374000,NA,0
"210","Fir",4472,2,181000,1374000,NA,0
"211","Fir",4473,2,189000,1374000,NA,0
"212","Fir",4474,5,197000,1374000,2.40291670426255,1
"213","Fir",4475,6,205000,1374000,5.04400134213189,1
"214","Fir",4476,4,213000,1374000,NA,0
"215","Fir",4477,5,221000,1374000,NA,0
"216","Fir",4478,4,229000,1374000,NA,0
"217","Fir",4479,3,237000,1374000,NA,0
"218","Fir",4480,3,245000,1374000,NA,0
"219","Fir",4481,3,253000,1374000,NA,0
"220","Fir",4482,5,261000,1374000,5.4879492135046,1
"221","Fir",4483,6,269000,1374000,NA,0
"222","Fir",4484,2,277000,1374000,NA,0
"223","Fir",4485,5,285000,1374000,NA,0
"224","Fir",4487,1,301000,1374000,NA,0
"225","Fir",4749,1,29000,1366000,NA,0
"226","Fir",4756,1,85000,1366000,NA,0
"227","Fir",4757,3,93000,1366000,NA,0
"228","Fir",4758,2,101000,1366000,NA,0
"229","Fir",4759,2,109000,1366000,NA,0
"230","Fir",4760,3,117000,1366000,NA,0
"231","Fir",4761,3,125000,1366000,NA,0
"232","Fir",4764,2,149000,1366000,NA,0
"233","Fir",4765,2,157000,1366000,NA,0
"234","Fir",4766,3,165000,1366000,NA,0
"235","Fir",4767,1,173000,1366000,NA,0
"236","Fir",4768,3,181000,1366000,NA,0
"237","Fir",4769,5,189000,1366000,NA,0
"238","Fir",4770,3,197000,1366000,NA,0
"239","Fir",4771,7,205000,1366000,25.8018012123082,1
"240","Fir",4772,3,213000,1366000,NA,0
"241","Fir",4773,6,221000,1366000,6.34819507016344,3
"242","Fir",4774,3,229000,1366000,NA,0
"243","Fir",4775,3,237000,1366000,NA,0
"244","Fir",4776,4,245000,1366000,NA,0
"245","Fir",4777,5,253000,1366000,NA,0
"246","Fir",4778,4,261000,1366000,NA,0
"247","Fir",4779,5,269000,1366000,NA,0
"248","Fir",4780,2,277000,1366000,NA,0
"249","Fir",4781,4,285000,1366000,3.0845942888303,1
"250","Fir",4782,4,293000,1366000,2.54566743917883,1
"251","Fir",4783,2,301000,1366000,4.53132092382567,1
"252","Fir",4784,1,309000,1366000,NA,0
"253","Fir",5038,1,-27000,1358000,NA,0
"254","Fir",5045,2,29000,1358000,NA,0
"255","Fir",5046,1,37000,1358000,NA,0
"256","Fir",5051,1,77000,1358000,NA,0
"257","Fir",5052,1,85000,1358000,NA,0
"258","Fir",5053,2,93000,1358000,NA,0
"259","Fir",5054,4,101000,1358000,NA,0
"260","Fir",5055,4,109000,1358000,NA,0
"261","Fir",5056,5,117000,1358000,4.45398454998474,1
"262","Fir",5057,5,125000,1358000,NA,0
"263","Fir",5058,5,133000,1358000,NA,0
"264","Fir",5059,2,141000,1358000,NA,0
"265","Fir",5060,3,149000,1358000,NA,0
"266","Fir",5061,1,157000,1358000,NA,0
"267","Fir",5062,3,165000,1358000,NA,0
"268","Fir",5063,3,173000,1358000,NA,0
"269","Fir",5064,5,181000,1358000,NA,0
"270","Fir",5065,5,189000,1358000,2.19794230160954,1
"271","Fir",5066,5,197000,1358000,NA,0
"272","Fir",5067,6,205000,1358000,NA,0
"273","Fir",5068,5,213000,1358000,NA,0
"274","Fir",5069,6,221000,1358000,NA,0
"275","Fir",5070,4,229000,1358000,5.71088131134236,2
"276","Fir",5071,5,237000,1358000,6.4210277236779,1
"277","Fir",5072,3,245000,1358000,NA,0
"278","Fir",5073,4,253000,1358000,NA,0
"279","Fir",5074,5,261000,1358000,2.61889385667609,1
"280","Fir",5075,3,269000,1358000,NA,0
"281","Fir",5076,3,277000,1358000,NA,0
"282","Fir",5077,5,285000,1358000,3.85820712046685,3
"283","Fir",5078,5,293000,1358000,NA,0
"284","Fir",5079,3,301000,1358000,2.33337862221613,1
"285","Fir",5080,3,309000,1358000,NA,0
"286","Fir",5081,2,317000,1358000,2.33337862221613,1
"287","Fir",5335,1,-19000,1350000,NA,0
"288","Fir",5339,1,13000,1350000,NA,0
"289","Fir",5340,3,21000,1350000,NA,0
"290","Fir",5341,2,29000,1350000,NA,0
"291","Fir",5344,1,53000,1350000,NA,0
"292","Fir",5346,2,69000,1350000,NA,0
"293","Fir",5347,1,77000,1350000,NA,0
"294","Fir",5349,4,93000,1350000,NA,0
"295","Fir",5350,4,101000,1350000,NA,0
"296","Fir",5351,2,109000,1350000,12.175748195941,1
"297","Fir",5352,6,117000,1350000,NA,0
"298","Fir",5353,2,125000,1350000,NA,0
"299","Fir",5354,2,133000,1350000,NA,0
"300","Fir",5358,1,165000,1350000,NA,0
"301","Fir",5359,2,173000,1350000,NA,0
"302","Fir",5360,2,181000,1350000,NA,0
"303","Fir",5361,3,189000,1350000,8.85627385938653,1
"304","Fir",5362,6,197000,1350000,8.4393776823142,1
"305","Fir",5363,5,205000,1350000,2.06731229695897,1
"306","Fir",5364,4,213000,1350000,NA,0
"307","Fir",5365,5,221000,1350000,4.99161084754736,1
"308","Fir",5366,3,229000,1350000,10.066149727767,1
"309","Fir",5367,5,237000,1350000,NA,0
"310","Fir",5368,4,245000,1350000,7.02870938966776,1
"311","Fir",5369,6,253000,1350000,NA,0
"312","Fir",5370,4,261000,1350000,2.50967239070348,2
