"","x","y","cell","sd"
"1",-11000,1070000,15696,0
"2",-11000,1238000,9480,0.0473117222586874
"3",-11000,1278000,8000,0.0581588559280372
"4",-11000,998000,18360,0
"5",-19000,1038000,16879,0
"6",-19000,1062000,15991,0
"7",-19000,1086000,15103,0
"8",-19000,1222000,10071,0
"9",-19000,1270000,8295,0
"10",-19000,1278000,7999,0
"11",-19000,1334000,5927,0
"12",-19000,1350000,5335,0
"13",-19000,1374000,4447,0
"14",-27000,1038000,16878,0
"15",-27000,1046000,16582,0
"16",-27000,1062000,15990,0
"17",-3000,1006000,18065,0
"18",-3000,1038000,16881,0
"19",-3000,1230000,9777,0.0456037504594689
"20",-35000,950000,20133,0
"21",1005000,622000,32399,0
"22",1005000,678000,30327,0
"23",1005000,686000,30031,0
"24",1005000,694000,29735,0
"25",1005000,710000,29143,0
"26",1005000,718000,28847,0
"27",1005000,726000,28551,0
"28",1005000,734000,28255,0
"29",1005000,742000,27959,0
"30",1005000,758000,27367,0
"31",1005000,766000,27071,0
"32",1005000,774000,26775,0.0281572524120844
"33",1005000,790000,26183,0.0351447321720441
"34",1005000,798000,25887,0.0394287645965813
"35",1005000,814000,25295,0.0495287993774698
"36",101000,1078000,15414,0
"37",101000,1086000,15118,0.00898897184860366
"38",101000,1102000,14526,0.0102980188427429
"39",101000,1110000,14230,0.011324949969009
"40",101000,1118000,13934,0.0125647544969938
"41",101000,1126000,13638,0.014209519152506
"42",101000,1134000,13342,0.0163174158153968
"43",101000,1142000,13046,0.0187235746303687
"44",101000,1166000,12158,0.0289510195301115
"45",101000,1174000,11862,0.0330745409962642
"46",101000,1182000,11566,0.0380593553743185
"47",101000,1190000,11270,0.0444559248331076
"48",101000,1198000,10974,0.0520687330975765
"49",101000,1206000,10678,0.0585169738689306
"50",101000,1214000,10382,0.0640692240787318
"51",101000,1222000,10086,0.0717001111188371
"52",101000,1230000,9790,0.0795623807592927
"53",101000,1238000,9494,0.0892608752626356
"54",101000,1246000,9198,0.101726681609966
"55",101000,1254000,8902,0.111983238895161
"56",101000,1262000,8606,0.124952511969667
"57",101000,1270000,8310,0.1376264222378
"58",101000,1278000,8014,0.144010107923706
"59",101000,1286000,7718,0.148554428219143
"60",101000,1294000,7422,0.151768138098113
"61",101000,1302000,7126,0.149959198496681
"62",101000,1310000,6830,0.141213392928787
"63",101000,1318000,6534,0.127171946101355
"64",101000,1326000,6238,0.115438485961338
"65",101000,1334000,5942,0.105860277860117
"66",101000,1342000,5646,0.0971732799792005
"67",101000,1350000,5350,0.0904445762045706
"68",101000,1358000,5054,0.0838319878967715
"69",101000,1366000,4758,0.0788341044628457
"70",101000,1374000,4462,0.0762409839623511
"71",101000,1382000,4166,0.0758369170929897
"72",101000,1390000,3870,0.0778096311574895
"73",101000,1398000,3574,0.0811319526853612
"74",101000,1406000,3278,0.0834204126456603
"75",101000,1414000,2982,0.0851361509377398
"76",101000,1422000,2686,0.0882063098158062
"77",101000,1446000,1798,0.108992264542918
"78",101000,894000,22222,0
"79",101000,926000,21038,0
"80",101000,934000,20742,0
"81",1013000,694000,29736,0
"82",1013000,702000,29440,0
"83",1013000,710000,29144,0
"84",1013000,726000,28552,0
"85",1013000,734000,28256,0
"86",1013000,742000,27960,0
"87",1013000,758000,27368,0
"88",1013000,774000,26776,0
"89",1013000,782000,26480,0.0337205536009725
"90",1013000,798000,25888,0.042451795647851
"91",1021000,686000,30033,0
"92",1021000,694000,29737,0
"93",1021000,702000,29441,0
"94",1021000,718000,28849,0
"95",1021000,782000,26481,0
"96",1021000,790000,26185,0.0412839283730409
"97",1021000,798000,25889,0.0460504277954816
"98",1021000,814000,25297,0.0583742299639287
"99",1021000,822000,25001,0.0642477810175037
"100",1029000,686000,30034,0
"101",1029000,694000,29738,0
"102",1029000,758000,27370,0
"103",1029000,782000,26482,0
"104",1029000,790000,26186,0
"105",1029000,798000,25890,0.0503224119044528
"106",1029000,806000,25594,0.0560894515393529
"107",1029000,830000,24706,0.0756985399893901
"108",1037000,686000,30035,0
"109",1037000,718000,28851,0
"110",1037000,726000,28555,0
"111",1037000,734000,28259,0
"112",1037000,742000,27963,0
"113",1037000,782000,26483,0
"114",1037000,798000,25891,0
"115",1045000,694000,29740,0
"116",1045000,702000,29444,0
"117",1045000,726000,28556,0
"118",1045000,742000,27964,0
"119",1045000,758000,27372,0
"120",1045000,774000,26780,0
"121",1045000,782000,26484,0
"122",1045000,790000,26188,0
"123",1053000,678000,30333,0
"124",1053000,686000,30037,0
"125",1053000,694000,29741,0
"126",1053000,702000,29445,0
"127",1053000,710000,29149,0
"128",1053000,718000,28853,0
"129",1053000,734000,28261,0
"130",1053000,742000,27965,0
"131",1053000,758000,27373,0
"132",1053000,774000,26781,0
"133",1061000,686000,30038,0
"134",1061000,710000,29150,0
"135",1061000,718000,28854,0
"136",1061000,726000,28558,0
"137",109000,1014000,17783,0
"138",109000,1038000,16895,0
"139",109000,1070000,15711,0
"140",109000,1110000,14231,0.0115581571159615
"141",109000,1118000,13935,0.0128717170783825
"142",109000,1134000,13343,0.0166021137834085
"143",109000,1142000,13047,0.0190129629468458
"144",109000,1150000,12751,0.0220272114636963
"145",109000,1158000,12455,0.0257066117741919
"146",109000,1166000,12159,0.0297171153738158
"147",109000,1174000,11863,0.0339215218069884
"148",109000,1182000,11567,0.0390239830302783
"149",109000,1190000,11271,0.0453144929040199
"150",109000,1198000,10975,0.0517009618102929
"151",109000,1206000,10679,0.0575872190151861
"152",109000,1214000,10383,0.0640104859456638
"153",109000,1222000,10087,0.0723242982225922
"154",109000,1230000,9791,0.0792854180710506
"155",109000,1238000,9495,0.0874378622479537
"156",109000,1246000,9199,0.0983502421586812
"157",109000,1254000,8903,0.110550055220343
"158",109000,1262000,8607,0.125385075285325
"159",109000,1270000,8311,0.136395040230133
"160",109000,1278000,8015,0.143099888710484
"161",109000,1286000,7719,0.149702686262105
"162",109000,1294000,7423,0.15405751401924
"163",109000,1302000,7127,0.150441472207685
"164",109000,1310000,6831,0.142040171128047
"165",109000,1318000,6535,0.131361025889089
"166",109000,1342000,5647,0.0994838758206463
"167",109000,1350000,5351,0.0943530567660676
