"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Hemlock",323,3,141000,1486000,NA,0
"2","Hemlock",324,1,149000,1486000,NA,0
"3","Hemlock",619,7,141000,1478000,NA,0
"4","Hemlock",620,6,149000,1478000,NA,0
"5","Hemlock",898,1,5000,1470000,NA,0
"6","Hemlock",915,5,141000,1470000,NA,0
"7","Hemlock",916,5,149000,1470000,NA,0
"8","Hemlock",1194,1,5000,1462000,NA,0
"9","Hemlock",1195,3,13000,1462000,NA,0
"10","Hemlock",1196,1,21000,1462000,NA,0
"11","Hemlock",1197,1,29000,1462000,NA,0
"12","Hemlock",1198,1,37000,1462000,NA,0
"13","Hemlock",1199,1,45000,1462000,NA,0
"14","Hemlock",1211,1,141000,1462000,NA,0
"15","Hemlock",1491,1,13000,1454000,NA,0
"16","Hemlock",1492,4,21000,1454000,NA,0
"17","Hemlock",1493,2,29000,1454000,NA,0
"18","Hemlock",1494,2,37000,1454000,NA,0
"19","Hemlock",1495,3,45000,1454000,NA,0
"20","Hemlock",1496,1,53000,1454000,NA,0
"21","Hemlock",1498,1,69000,1454000,NA,0
"22","Hemlock",1499,3,77000,1454000,NA,0
"23","Hemlock",1500,2,85000,1454000,NA,0
"24","Hemlock",1502,1,101000,1454000,NA,0
"25","Hemlock",1786,1,5000,1446000,NA,0
"26","Hemlock",1788,2,21000,1446000,NA,0
"27","Hemlock",1789,2,29000,1446000,NA,0
"28","Hemlock",1791,2,45000,1446000,NA,0
"29","Hemlock",1792,1,53000,1446000,NA,0
"30","Hemlock",1794,1,69000,1446000,NA,0
"31","Hemlock",1795,1,77000,1446000,NA,0
"32","Hemlock",1796,3,85000,1446000,NA,0
"33","Hemlock",1797,2,93000,1446000,NA,0
"34","Hemlock",1798,2,101000,1446000,NA,0
"35","Hemlock",1799,2,109000,1446000,NA,0
"36","Hemlock",2083,1,13000,1438000,NA,0
"37","Hemlock",2084,4,21000,1438000,NA,0
"38","Hemlock",2085,1,29000,1438000,NA,0
"39","Hemlock",2087,1,45000,1438000,NA,0
"40","Hemlock",2091,2,77000,1438000,NA,0
"41","Hemlock",2095,2,109000,1438000,NA,0
"42","Hemlock",2096,1,117000,1438000,NA,0
"43","Hemlock",2098,1,133000,1438000,NA,0
"44","Hemlock",2100,1,149000,1438000,NA,0
"45","Hemlock",2379,2,13000,1430000,NA,0
"46","Hemlock",2380,2,21000,1430000,NA,0
"47","Hemlock",2381,3,29000,1430000,NA,0
"48","Hemlock",2382,2,37000,1430000,NA,0
"49","Hemlock",2383,1,45000,1430000,NA,0
"50","Hemlock",2385,2,61000,1430000,NA,0
"51","Hemlock",2386,2,69000,1430000,NA,0
"52","Hemlock",2387,1,77000,1430000,NA,0
"53","Hemlock",2388,2,85000,1430000,NA,0
"54","Hemlock",2389,1,93000,1430000,NA,0
"55","Hemlock",2391,3,109000,1430000,NA,0
"56","Hemlock",2392,2,117000,1430000,NA,0
"57","Hemlock",2393,2,125000,1430000,NA,0
"58","Hemlock",2395,5,141000,1430000,NA,0
"59","Hemlock",2396,1,149000,1430000,NA,0
"60","Hemlock",2397,1,157000,1430000,NA,0
"61","Hemlock",2676,2,21000,1422000,NA,0
"62","Hemlock",2678,1,37000,1422000,NA,0
"63","Hemlock",2679,2,45000,1422000,NA,0
"64","Hemlock",2680,1,53000,1422000,NA,0
"65","Hemlock",2682,1,69000,1422000,NA,0
"66","Hemlock",2683,1,77000,1422000,NA,0
"67","Hemlock",2684,1,85000,1422000,NA,0
"68","Hemlock",2686,1,101000,1422000,NA,0
"69","Hemlock",2687,3,109000,1422000,NA,0
"70","Hemlock",2688,4,117000,1422000,NA,0
"71","Hemlock",2689,3,125000,1422000,NA,0
"72","Hemlock",2690,6,133000,1422000,NA,0
"73","Hemlock",2691,3,141000,1422000,NA,0
"74","Hemlock",2692,2,149000,1422000,NA,0
"75","Hemlock",2693,1,157000,1422000,NA,0
"76","Hemlock",2694,1,165000,1422000,NA,0
"77","Hemlock",2971,1,13000,1414000,NA,0
"78","Hemlock",2973,1,29000,1414000,NA,0
"79","Hemlock",2974,3,37000,1414000,NA,0
"80","Hemlock",2975,2,45000,1414000,NA,0
"81","Hemlock",2977,1,61000,1414000,NA,0
"82","Hemlock",2978,2,69000,1414000,NA,0
"83","Hemlock",2979,2,77000,1414000,NA,0
"84","Hemlock",2981,3,93000,1414000,NA,0
"85","Hemlock",2982,5,101000,1414000,NA,0
"86","Hemlock",2983,5,109000,1414000,NA,0
"87","Hemlock",2984,3,117000,1414000,NA,0
"88","Hemlock",2985,3,125000,1414000,NA,0
"89","Hemlock",2986,4,133000,1414000,NA,0
"90","Hemlock",2987,6,141000,1414000,NA,0
"91","Hemlock",2988,3,149000,1414000,NA,0
"92","Hemlock",2989,3,157000,1414000,NA,0
"93","Hemlock",3270,3,37000,1406000,NA,0
"94","Hemlock",3271,2,45000,1406000,NA,0
"95","Hemlock",3272,1,53000,1406000,NA,0
"96","Hemlock",3273,1,61000,1406000,NA,0
"97","Hemlock",3274,2,69000,1406000,NA,0
"98","Hemlock",3275,2,77000,1406000,NA,0
"99","Hemlock",3276,2,85000,1406000,NA,0
"100","Hemlock",3277,1,93000,1406000,NA,0
"101","Hemlock",3278,4,101000,1406000,NA,0
"102","Hemlock",3279,4,109000,1406000,NA,0
"103","Hemlock",3280,3,117000,1406000,NA,0
"104","Hemlock",3281,5,125000,1406000,NA,0
"105","Hemlock",3282,4,133000,1406000,NA,0
"106","Hemlock",3283,3,141000,1406000,NA,0
"107","Hemlock",3284,3,149000,1406000,NA,0
"108","Hemlock",3285,4,157000,1406000,NA,0
"109","Hemlock",3286,3,165000,1406000,NA,0
"110","Hemlock",3287,2,173000,1406000,NA,0
"111","Hemlock",3289,2,189000,1406000,NA,0
"112","Hemlock",3564,1,21000,1398000,NA,0
"113","Hemlock",3565,3,29000,1398000,NA,0
"114","Hemlock",3566,4,37000,1398000,NA,0
"115","Hemlock",3567,4,45000,1398000,NA,0
"116","Hemlock",3568,3,53000,1398000,NA,0
"117","Hemlock",3569,2,61000,1398000,NA,0
"118","Hemlock",3570,1,69000,1398000,NA,0
"119","Hemlock",3571,1,77000,1398000,NA,0
"120","Hemlock",3572,3,85000,1398000,NA,0
"121","Hemlock",3573,3,93000,1398000,NA,0
"122","Hemlock",3574,4,101000,1398000,NA,0
"123","Hemlock",3575,5,109000,1398000,NA,0
"124","Hemlock",3576,4,117000,1398000,NA,0
"125","Hemlock",3577,3,125000,1398000,NA,0
"126","Hemlock",3578,3,133000,1398000,NA,0
"127","Hemlock",3579,4,141000,1398000,NA,0
"128","Hemlock",3580,4,149000,1398000,NA,0
"129","Hemlock",3581,3,157000,1398000,NA,0
"130","Hemlock",3582,3,165000,1398000,NA,0
"131","Hemlock",3583,3,173000,1398000,NA,0
"132","Hemlock",3584,4,181000,1398000,NA,0
"133","Hemlock",3585,5,189000,1398000,NA,0
"134","Hemlock",3586,1,197000,1398000,NA,0
"135","Hemlock",3587,1,205000,1398000,NA,0
"136","Hemlock",3588,1,213000,1398000,NA,0
"137","Hemlock",3858,1,5000,1390000,NA,0
"138","Hemlock",3860,1,21000,1390000,NA,0
"139","Hemlock",3861,1,29000,1390000,NA,0
"140","Hemlock",3862,2,37000,1390000,NA,0
"141","Hemlock",3863,1,45000,1390000,NA,0
"142","Hemlock",3864,2,53000,1390000,NA,0
"143","Hemlock",3866,1,69000,1390000,NA,0
"144","Hemlock",3867,1,77000,1390000,NA,0
"145","Hemlock",3868,2,85000,1390000,NA,0
"146","Hemlock",3869,3,93000,1390000,NA,0
"147","Hemlock",3870,2,101000,1390000,NA,0
"148","Hemlock",3871,4,109000,1390000,NA,0
"149","Hemlock",3872,5,117000,1390000,NA,0
"150","Hemlock",3873,4,125000,1390000,NA,0
"151","Hemlock",3874,3,133000,1390000,NA,0
"152","Hemlock",3875,5,141000,1390000,NA,0
"153","Hemlock",3876,7,149000,1390000,NA,0
"154","Hemlock",3877,2,157000,1390000,NA,0
"155","Hemlock",3878,3,165000,1390000,NA,0
"156","Hemlock",3879,1,173000,1390000,NA,0
"157","Hemlock",3880,2,181000,1390000,NA,0
"158","Hemlock",3881,4,189000,1390000,NA,0
"159","Hemlock",3882,4,197000,1390000,NA,0
"160","Hemlock",3883,3,205000,1390000,NA,0
"161","Hemlock",3884,5,213000,1390000,NA,0
"162","Hemlock",3885,2,221000,1390000,NA,0
"163","Hemlock",4155,1,13000,1382000,NA,0
"164","Hemlock",4157,2,29000,1382000,NA,0
"165","Hemlock",4162,1,69000,1382000,NA,0
"166","Hemlock",4163,2,77000,1382000,NA,0
"167","Hemlock",4164,1,85000,1382000,NA,0
"168","Hemlock",4165,3,93000,1382000,NA,0
"169","Hemlock",4166,2,101000,1382000,NA,0
"170","Hemlock",4167,2,109000,1382000,NA,0
"171","Hemlock",4168,4,117000,1382000,NA,0
"172","Hemlock",4169,1,125000,1382000,NA,0
"173","Hemlock",4170,5,133000,1382000,NA,0
"174","Hemlock",4171,4,141000,1382000,NA,0
"175","Hemlock",4172,4,149000,1382000,NA,0
"176","Hemlock",4173,5,157000,1382000,NA,0
"177","Hemlock",4174,4,165000,1382000,NA,0
"178","Hemlock",4175,3,173000,1382000,NA,0
"179","Hemlock",4176,4,181000,1382000,NA,0
"180","Hemlock",4177,4,189000,1382000,NA,0
"181","Hemlock",4178,6,197000,1382000,NA,0
"182","Hemlock",4179,3,205000,1382000,NA,0
"183","Hemlock",4180,2,213000,1382000,NA,0
"184","Hemlock",4181,3,221000,1382000,NA,0
"185","Hemlock",4182,1,229000,1382000,NA,0
"186","Hemlock",4184,2,245000,1382000,NA,0
"187","Hemlock",4185,2,253000,1382000,NA,0
"188","Hemlock",4186,1,261000,1382000,NA,0
"189","Hemlock",4188,2,277000,1382000,NA,0
"190","Hemlock",4189,1,285000,1382000,NA,0
"191","Hemlock",4447,1,-19000,1374000,NA,0
"192","Hemlock",4450,1,5000,1374000,NA,0
"193","Hemlock",4452,1,21000,1374000,NA,0
"194","Hemlock",4453,1,29000,1374000,NA,0
"195","Hemlock",4454,1,37000,1374000,NA,0
"196","Hemlock",4456,2,53000,1374000,NA,0
"197","Hemlock",4458,1,69000,1374000,NA,0
"198","Hemlock",4460,4,85000,1374000,NA,0
"199","Hemlock",4461,1,93000,1374000,NA,0
"200","Hemlock",4462,3,101000,1374000,NA,0
"201","Hemlock",4463,2,109000,1374000,NA,0
"202","Hemlock",4464,4,117000,1374000,NA,0
"203","Hemlock",4465,2,125000,1374000,NA,0
"204","Hemlock",4466,2,133000,1374000,NA,0
"205","Hemlock",4467,3,141000,1374000,NA,0
"206","Hemlock",4468,6,149000,1374000,NA,0
"207","Hemlock",4469,3,157000,1374000,NA,0
"208","Hemlock",4470,2,165000,1374000,NA,0
"209","Hemlock",4471,2,173000,1374000,NA,0
"210","Hemlock",4472,2,181000,1374000,NA,0
"211","Hemlock",4473,2,189000,1374000,NA,0
"212","Hemlock",4474,5,197000,1374000,NA,0
"213","Hemlock",4475,6,205000,1374000,NA,0
"214","Hemlock",4476,4,213000,1374000,NA,0
"215","Hemlock",4477,5,221000,1374000,NA,0
"216","Hemlock",4478,4,229000,1374000,NA,0
"217","Hemlock",4479,3,237000,1374000,NA,0
"218","Hemlock",4480,3,245000,1374000,NA,0
"219","Hemlock",4481,3,253000,1374000,NA,0
"220","Hemlock",4482,5,261000,1374000,NA,0
"221","Hemlock",4483,6,269000,1374000,NA,0
"222","Hemlock",4484,2,277000,1374000,NA,0
"223","Hemlock",4485,5,285000,1374000,NA,0
"224","Hemlock",4487,1,301000,1374000,NA,0
"225","Hemlock",4749,1,29000,1366000,NA,0
"226","Hemlock",4756,1,85000,1366000,NA,0
"227","Hemlock",4757,3,93000,1366000,NA,0
"228","Hemlock",4758,2,101000,1366000,NA,0
"229","Hemlock",4759,2,109000,1366000,NA,0
"230","Hemlock",4760,3,117000,1366000,NA,0
"231","Hemlock",4761,3,125000,1366000,NA,0
"232","Hemlock",4764,2,149000,1366000,NA,0
"233","Hemlock",4765,2,157000,1366000,NA,0
"234","Hemlock",4766,3,165000,1366000,NA,0
"235","Hemlock",4767,1,173000,1366000,NA,0
"236","Hemlock",4768,3,181000,1366000,NA,0
"237","Hemlock",4769,5,189000,1366000,NA,0
"238","Hemlock",4770,3,197000,1366000,NA,0
"239","Hemlock",4771,7,205000,1366000,NA,0
"240","Hemlock",4772,3,213000,1366000,NA,0
"241","Hemlock",4773,6,221000,1366000,NA,0
"242","Hemlock",4774,3,229000,1366000,NA,0
"243","Hemlock",4775,3,237000,1366000,NA,0
"244","Hemlock",4776,4,245000,1366000,NA,0
"245","Hemlock",4777,5,253000,1366000,NA,0
"246","Hemlock",4778,4,261000,1366000,NA,0
"247","Hemlock",4779,5,269000,1366000,NA,0
"248","Hemlock",4780,2,277000,1366000,NA,0
"249","Hemlock",4781,4,285000,1366000,NA,0
"250","Hemlock",4782,4,293000,1366000,NA,0
"251","Hemlock",4783,2,301000,1366000,NA,0
"252","Hemlock",4784,1,309000,1366000,NA,0
"253","Hemlock",5038,1,-27000,1358000,NA,0
"254","Hemlock",5045,2,29000,1358000,NA,0
"255","Hemlock",5046,1,37000,1358000,NA,0
"256","Hemlock",5051,1,77000,1358000,NA,0
"257","Hemlock",5052,1,85000,1358000,NA,0
"258","Hemlock",5053,2,93000,1358000,NA,0
"259","Hemlock",5054,4,101000,1358000,NA,0
