"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Hickory",323,3,141000,1486000,NA,0
"2","Hickory",324,1,149000,1486000,NA,0
"3","Hickory",619,7,141000,1478000,NA,0
"4","Hickory",620,6,149000,1478000,NA,0
"5","Hickory",898,1,5000,1470000,NA,0
"6","Hickory",915,5,141000,1470000,NA,0
"7","Hickory",916,5,149000,1470000,NA,0
"8","Hickory",1194,1,5000,1462000,NA,0
"9","Hickory",1195,3,13000,1462000,NA,0
"10","Hickory",1196,1,21000,1462000,NA,0
"11","Hickory",1197,1,29000,1462000,NA,0
"12","Hickory",1198,1,37000,1462000,NA,0
"13","Hickory",1199,1,45000,1462000,NA,0
"14","Hickory",1211,1,141000,1462000,NA,0
"15","Hickory",1491,1,13000,1454000,NA,0
"16","Hickory",1492,4,21000,1454000,NA,0
"17","Hickory",1493,2,29000,1454000,NA,0
"18","Hickory",1494,2,37000,1454000,NA,0
"19","Hickory",1495,3,45000,1454000,NA,0
"20","Hickory",1496,1,53000,1454000,NA,0
"21","Hickory",1498,1,69000,1454000,NA,0
"22","Hickory",1499,3,77000,1454000,NA,0
"23","Hickory",1500,2,85000,1454000,NA,0
"24","Hickory",1502,1,101000,1454000,NA,0
"25","Hickory",1786,1,5000,1446000,NA,0
"26","Hickory",1788,2,21000,1446000,NA,0
"27","Hickory",1789,2,29000,1446000,NA,0
"28","Hickory",1791,2,45000,1446000,NA,0
"29","Hickory",1792,1,53000,1446000,NA,0
"30","Hickory",1794,1,69000,1446000,NA,0
"31","Hickory",1795,1,77000,1446000,NA,0
"32","Hickory",1796,3,85000,1446000,NA,0
"33","Hickory",1797,2,93000,1446000,NA,0
"34","Hickory",1798,2,101000,1446000,NA,0
"35","Hickory",1799,2,109000,1446000,NA,0
"36","Hickory",2083,1,13000,1438000,NA,0
"37","Hickory",2084,4,21000,1438000,NA,0
"38","Hickory",2085,1,29000,1438000,NA,0
"39","Hickory",2087,1,45000,1438000,NA,0
"40","Hickory",2091,2,77000,1438000,NA,0
"41","Hickory",2095,2,109000,1438000,NA,0
"42","Hickory",2096,1,117000,1438000,NA,0
"43","Hickory",2098,1,133000,1438000,NA,0
"44","Hickory",2100,1,149000,1438000,NA,0
"45","Hickory",2379,2,13000,1430000,NA,0
"46","Hickory",2380,2,21000,1430000,NA,0
"47","Hickory",2381,3,29000,1430000,NA,0
"48","Hickory",2382,2,37000,1430000,NA,0
"49","Hickory",2383,1,45000,1430000,NA,0
"50","Hickory",2385,2,61000,1430000,NA,0
"51","Hickory",2386,2,69000,1430000,NA,0
"52","Hickory",2387,1,77000,1430000,NA,0
"53","Hickory",2388,2,85000,1430000,NA,0
"54","Hickory",2389,1,93000,1430000,NA,0
"55","Hickory",2391,3,109000,1430000,NA,0
"56","Hickory",2392,2,117000,1430000,NA,0
"57","Hickory",2393,2,125000,1430000,NA,0
"58","Hickory",2395,5,141000,1430000,NA,0
"59","Hickory",2396,1,149000,1430000,NA,0
"60","Hickory",2397,1,157000,1430000,NA,0
"61","Hickory",2676,2,21000,1422000,NA,0
"62","Hickory",2678,1,37000,1422000,NA,0
"63","Hickory",2679,2,45000,1422000,NA,0
"64","Hickory",2680,1,53000,1422000,NA,0
"65","Hickory",2682,1,69000,1422000,NA,0
"66","Hickory",2683,1,77000,1422000,NA,0
"67","Hickory",2684,1,85000,1422000,NA,0
"68","Hickory",2686,1,101000,1422000,NA,0
"69","Hickory",2687,3,109000,1422000,NA,0
"70","Hickory",2688,4,117000,1422000,NA,0
"71","Hickory",2689,3,125000,1422000,NA,0
"72","Hickory",2690,6,133000,1422000,NA,0
"73","Hickory",2691,3,141000,1422000,NA,0
"74","Hickory",2692,2,149000,1422000,NA,0
"75","Hickory",2693,1,157000,1422000,NA,0
"76","Hickory",2694,1,165000,1422000,NA,0
"77","Hickory",2971,1,13000,1414000,NA,0
"78","Hickory",2973,1,29000,1414000,NA,0
"79","Hickory",2974,3,37000,1414000,NA,0
"80","Hickory",2975,2,45000,1414000,NA,0
"81","Hickory",2977,1,61000,1414000,NA,0
"82","Hickory",2978,2,69000,1414000,NA,0
"83","Hickory",2979,2,77000,1414000,NA,0
"84","Hickory",2981,3,93000,1414000,NA,0
"85","Hickory",2982,5,101000,1414000,NA,0
"86","Hickory",2983,5,109000,1414000,NA,0
"87","Hickory",2984,3,117000,1414000,NA,0
"88","Hickory",2985,3,125000,1414000,NA,0
"89","Hickory",2986,4,133000,1414000,NA,0
"90","Hickory",2987,6,141000,1414000,NA,0
"91","Hickory",2988,3,149000,1414000,NA,0
"92","Hickory",2989,3,157000,1414000,NA,0
"93","Hickory",3270,3,37000,1406000,NA,0
"94","Hickory",3271,2,45000,1406000,NA,0
"95","Hickory",3272,1,53000,1406000,NA,0
"96","Hickory",3273,1,61000,1406000,NA,0
"97","Hickory",3274,2,69000,1406000,NA,0
"98","Hickory",3275,2,77000,1406000,NA,0
"99","Hickory",3276,2,85000,1406000,NA,0
"100","Hickory",3277,1,93000,1406000,NA,0
"101","Hickory",3278,4,101000,1406000,NA,0
"102","Hickory",3279,4,109000,1406000,NA,0
"103","Hickory",3280,3,117000,1406000,NA,0
"104","Hickory",3281,5,125000,1406000,NA,0
"105","Hickory",3282,4,133000,1406000,NA,0
"106","Hickory",3283,3,141000,1406000,NA,0
"107","Hickory",3284,3,149000,1406000,NA,0
"108","Hickory",3285,4,157000,1406000,NA,0
"109","Hickory",3286,3,165000,1406000,NA,0
"110","Hickory",3287,2,173000,1406000,NA,0
"111","Hickory",3289,2,189000,1406000,NA,0
"112","Hickory",3564,1,21000,1398000,NA,0
"113","Hickory",3565,3,29000,1398000,NA,0
"114","Hickory",3566,4,37000,1398000,NA,0
