"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Maple",323,3,141000,1486000,NA,0
"2","Maple",324,1,149000,1486000,NA,0
"3","Maple",619,7,141000,1478000,NA,0
"4","Maple",620,6,149000,1478000,NA,0
"5","Maple",898,1,5000,1470000,NA,0
"6","Maple",915,5,141000,1470000,NA,0
"7","Maple",916,5,149000,1470000,NA,0
"8","Maple",1194,1,5000,1462000,NA,0
"9","Maple",1195,3,13000,1462000,NA,0
"10","Maple",1196,1,21000,1462000,NA,0
"11","Maple",1197,1,29000,1462000,NA,0
"12","Maple",1198,1,37000,1462000,NA,0
"13","Maple",1199,1,45000,1462000,NA,0
"14","Maple",1211,1,141000,1462000,NA,0
"15","Maple",1491,1,13000,1454000,NA,0
"16","Maple",1492,4,21000,1454000,NA,0
"17","Maple",1493,2,29000,1454000,NA,0
"18","Maple",1494,2,37000,1454000,NA,0
"19","Maple",1495,3,45000,1454000,NA,0
"20","Maple",1496,1,53000,1454000,NA,0
"21","Maple",1498,1,69000,1454000,NA,0
"22","Maple",1499,3,77000,1454000,NA,0
"23","Maple",1500,2,85000,1454000,NA,0
"24","Maple",1502,1,101000,1454000,NA,0
"25","Maple",1786,1,5000,1446000,NA,0
"26","Maple",1788,2,21000,1446000,NA,0
"27","Maple",1789,2,29000,1446000,NA,0
"28","Maple",1791,2,45000,1446000,NA,0
"29","Maple",1792,1,53000,1446000,NA,0
"30","Maple",1794,1,69000,1446000,NA,0
"31","Maple",1795,1,77000,1446000,NA,0
"32","Maple",1796,3,85000,1446000,NA,0
"33","Maple",1797,2,93000,1446000,NA,0
"34","Maple",1798,2,101000,1446000,NA,0
"35","Maple",1799,2,109000,1446000,NA,0
"36","Maple",2083,1,13000,1438000,NA,0
"37","Maple",2084,4,21000,1438000,NA,0
"38","Maple",2085,1,29000,1438000,NA,0
"39","Maple",2087,1,45000,1438000,NA,0
"40","Maple",2091,2,77000,1438000,NA,0
"41","Maple",2095,2,109000,1438000,NA,0
"42","Maple",2096,1,117000,1438000,NA,0
"43","Maple",2098,1,133000,1438000,36.2318699569135,1
"44","Maple",2100,1,149000,1438000,NA,0
"45","Maple",2379,2,13000,1430000,NA,0
"46","Maple",2380,2,21000,1430000,NA,0
"47","Maple",2381,3,29000,1430000,NA,0
"48","Maple",2382,2,37000,1430000,NA,0
"49","Maple",2383,1,45000,1430000,NA,0
"50","Maple",2385,2,61000,1430000,NA,0
"51","Maple",2386,2,69000,1430000,NA,0
"52","Maple",2387,1,77000,1430000,NA,0
"53","Maple",2388,2,85000,1430000,5.34030466518928,2
"54","Maple",2389,1,93000,1430000,NA,0
"55","Maple",2391,3,109000,1430000,NA,0
"56","Maple",2392,2,117000,1430000,NA,0
"57","Maple",2393,2,125000,1430000,NA,0
"58","Maple",2395,5,141000,1430000,NA,0
"59","Maple",2396,1,149000,1430000,NA,0
"60","Maple",2397,1,157000,1430000,NA,0
"61","Maple",2676,2,21000,1422000,NA,0
"62","Maple",2678,1,37000,1422000,NA,0
"63","Maple",2679,2,45000,1422000,NA,0
"64","Maple",2680,1,53000,1422000,NA,0
"65","Maple",2682,1,69000,1422000,NA,0
"66","Maple",2683,1,77000,1422000,NA,0
"67","Maple",2684,1,85000,1422000,NA,0
"68","Maple",2686,1,101000,1422000,NA,0
"69","Maple",2687,3,109000,1422000,NA,0
"70","Maple",2688,4,117000,1422000,NA,0
"71","Maple",2689,3,125000,1422000,NA,0
"72","Maple",2690,6,133000,1422000,NA,0
"73","Maple",2691,3,141000,1422000,NA,0
"74","Maple",2692,2,149000,1422000,NA,0
"75","Maple",2693,1,157000,1422000,NA,0
"76","Maple",2694,1,165000,1422000,NA,0
"77","Maple",2971,1,13000,1414000,3.03718216264594,1
"78","Maple",2973,1,29000,1414000,NA,0
"79","Maple",2974,3,37000,1414000,NA,0
"80","Maple",2975,2,45000,1414000,NA,0
"81","Maple",2977,1,61000,1414000,NA,0
"82","Maple",2978,2,69000,1414000,NA,0
"83","Maple",2979,2,77000,1414000,NA,0
"84","Maple",2981,3,93000,1414000,NA,0
"85","Maple",2982,5,101000,1414000,NA,0
"86","Maple",2983,5,109000,1414000,NA,0
"87","Maple",2984,3,117000,1414000,NA,0
"88","Maple",2985,3,125000,1414000,NA,0
"89","Maple",2986,4,133000,1414000,NA,0
"90","Maple",2987,6,141000,1414000,NA,0
"91","Maple",2988,3,149000,1414000,NA,0
"92","Maple",2989,3,157000,1414000,NA,0
"93","Maple",3270,3,37000,1406000,NA,0
"94","Maple",3271,2,45000,1406000,NA,0
"95","Maple",3272,1,53000,1406000,NA,0
"96","Maple",3273,1,61000,1406000,NA,0
"97","Maple",3274,2,69000,1406000,NA,0
"98","Maple",3275,2,77000,1406000,NA,0
"99","Maple",3276,2,85000,1406000,NA,0
"100","Maple",3277,1,93000,1406000,NA,0
"101","Maple",3278,4,101000,1406000,NA,0
"102","Maple",3279,4,109000,1406000,NA,0
"103","Maple",3280,3,117000,1406000,NA,0
"104","Maple",3281,5,125000,1406000,NA,0
"105","Maple",3282,4,133000,1406000,NA,0
"106","Maple",3283,3,141000,1406000,NA,0
"107","Maple",3284,3,149000,1406000,NA,0
"108","Maple",3285,4,157000,1406000,NA,0
"109","Maple",3286,3,165000,1406000,NA,0
"110","Maple",3287,2,173000,1406000,NA,0
"111","Maple",3289,2,189000,1406000,NA,0
"112","Maple",3564,1,21000,1398000,NA,0
"113","Maple",3565,3,29000,1398000,NA,0
"114","Maple",3566,4,37000,1398000,NA,0
"115","Maple",3567,4,45000,1398000,NA,0
"116","Maple",3568,3,53000,1398000,NA,0
"117","Maple",3569,2,61000,1398000,NA,0
"118","Maple",3570,1,69000,1398000,NA,0
"119","Maple",3571,1,77000,1398000,NA,0
"120","Maple",3572,3,85000,1398000,NA,0
"121","Maple",3573,3,93000,1398000,NA,0
"122","Maple",3574,4,101000,1398000,NA,0
"123","Maple",3575,5,109000,1398000,NA,0
"124","Maple",3576,4,117000,1398000,NA,0
"125","Maple",3577,3,125000,1398000,NA,0
"126","Maple",3578,3,133000,1398000,NA,0
"127","Maple",3579,4,141000,1398000,NA,0
"128","Maple",3580,4,149000,1398000,NA,0
"129","Maple",3581,3,157000,1398000,NA,0
"130","Maple",3582,3,165000,1398000,NA,0
"131","Maple",3583,3,173000,1398000,NA,0
"132","Maple",3584,4,181000,1398000,NA,0
"133","Maple",3585,5,189000,1398000,NA,0
"134","Maple",3586,1,197000,1398000,NA,0
"135","Maple",3587,1,205000,1398000,NA,0
"136","Maple",3588,1,213000,1398000,NA,0
"137","Maple",3858,1,5000,1390000,NA,0
