"","x","y","cell","sd"
"1",-11000,1070000,15696,3.72891249153963
"2",-11000,1238000,9480,4.11879182113411
"3",-11000,1278000,8000,3.68673455963866
"4",-11000,998000,18360,4.48996653570512
"5",-19000,1038000,16879,4.41912208342481
"6",-19000,1062000,15991,4.19576346409344
"7",-19000,1086000,15103,3.89408531789142
"8",-19000,1222000,10071,4.61494612350729
"9",-19000,1270000,8295,4.25495695256377
"10",-19000,1278000,7999,4.1846701104839
"11",-19000,1334000,5927,3.56647190918496
"12",-19000,1350000,5335,3.17058790886303
"13",-19000,1374000,4447,2.66108265004457
"14",-27000,1038000,16878,4.751250611341
"15",-27000,1046000,16582,4.68943918494041
"16",-27000,1062000,15990,4.56728769528382
"17",-3000,1006000,18065,4.11861741489215
"18",-3000,1038000,16881,3.89215726356781
"19",-3000,1230000,9777,3.62944014593801
"20",-35000,950000,20133,6.74132647544112
"21",1005000,622000,32399,3.84871719869802
"22",1005000,678000,30327,2.83644468906657
"23",1005000,686000,30031,2.78179175630058
"24",1005000,694000,29735,2.72860805859433
"25",1005000,710000,29143,2.52060258845206
"26",1005000,718000,28847,2.45390959700493
"27",1005000,726000,28551,2.38196487787301
"28",1005000,734000,28255,2.34447499500076
"29",1005000,742000,27959,2.3420378700757
"30",1005000,758000,27367,2.36153190441083
"31",1005000,766000,27071,2.38745480684662
"32",1005000,774000,26775,2.3959790375796
"33",1005000,790000,26183,2.39657188580795
"34",1005000,798000,25887,2.3354417525602
"35",1005000,814000,25295,2.21770257333237
"36",101000,1078000,15414,1.12128612023021
"37",101000,1086000,15118,1.06252791388209
"38",101000,1102000,14526,0.838360989964295
"39",101000,1110000,14230,0.759047417660274
"40",101000,1118000,13934,0.670209864512172
"41",101000,1126000,13638,0.611079888829879
"42",101000,1134000,13342,0.57320559527239
"43",101000,1142000,13046,0.524684680262605
"44",101000,1166000,12158,0.434726560105514
"45",101000,1174000,11862,0.411716904953473
"46",101000,1182000,11566,0.404339819464816
"47",101000,1190000,11270,0.41580656224807
"48",101000,1198000,10974,0.43804709373786
"49",101000,1206000,10678,0.443374816572193
"50",101000,1214000,10382,0.441178158028768
"51",101000,1222000,10086,0.459162040727134
"52",101000,1230000,9790,0.475355698546102
"53",101000,1238000,9494,0.495131057846377
"54",101000,1246000,9198,0.51637474182504
"55",101000,1254000,8902,0.51063010847508
"56",101000,1262000,8606,0.517624077717847
"57",101000,1270000,8310,0.529387138148118
"58",101000,1278000,8014,0.531181225976039
"59",101000,1286000,7718,0.538035336698246
"60",101000,1294000,7422,0.544771577709168
"61",101000,1302000,7126,0.535190709384237
"62",101000,1310000,6830,0.50131956927028
"63",101000,1318000,6534,0.442697190613589
"64",101000,1326000,6238,0.38193845352347
"65",101000,1334000,5942,0.323960269953282
"66",101000,1342000,5646,0.271163200210466
"67",101000,1350000,5350,0.227233768963198
"68",101000,1358000,5054,0.188265258642242
"69",101000,1366000,4758,0.157544069749425
"70",101000,1374000,4462,0.135295227772736
"71",101000,1382000,4166,0.120056912967906
"72",101000,1390000,3870,0.110968793446062
"73",101000,1398000,3574,0.106302730830876
"74",101000,1406000,3278,0.103981999472866
"75",101000,1414000,2982,0.104169577922694
"76",101000,1422000,2686,0.107386053131506
"77",101000,1446000,1798,0.128885441890727
"78",101000,894000,22222,3.25271218196581
"79",101000,926000,21038,2.81184842069599
"80",101000,934000,20742,2.75948782941685
"81",1013000,694000,29736,2.90275487429815
"82",1013000,702000,29440,2.80459490533019
"83",1013000,710000,29144,2.63102949215849
"84",1013000,726000,28552,2.49233656320645
"85",1013000,734000,28256,2.42042916142745
"86",1013000,742000,27960,2.40576088580089
"87",1013000,758000,27368,2.49027034606363
"88",1013000,774000,26776,2.46436855269963
"89",1013000,782000,26480,2.46413923271254
"90",1013000,798000,25888,2.44768950031371
"91",1021000,686000,30033,3.17398880551002
"92",1021000,694000,29737,3.05085066746174
"93",1021000,702000,29441,2.90909801682088
"94",1021000,718000,28849,2.63659840103442
"95",1021000,782000,26481,2.59341170705281
"96",1021000,790000,26185,2.59928884697043
"97",1021000,798000,25889,2.57949647174062
"98",1021000,814000,25297,2.64734934868605
"99",1021000,822000,25001,2.60672234899078
"100",1029000,686000,30034,3.41956756587413
"101",1029000,694000,29738,3.2381480029837
"102",1029000,758000,27370,2.7024603773759
"103",1029000,782000,26482,2.76266584754693
"104",1029000,790000,26186,2.74959699105172
"105",1029000,798000,25890,2.73792583999895
"106",1029000,806000,25594,2.76816886327648
"107",1029000,830000,24706,2.79832881223473
"108",1037000,686000,30035,3.73060987318625
"109",1037000,718000,28851,3.03031707756284
"110",1037000,726000,28555,2.97773407362624
"111",1037000,734000,28259,2.96178675508169
"112",1037000,742000,27963,2.98149175837919
"113",1037000,782000,26483,2.93979521043034
"114",1037000,798000,25891,2.95108533415249
"115",1045000,694000,29740,3.85543679412276
"116",1045000,702000,29444,3.64040866767178
"117",1045000,726000,28556,3.28894545581722
"118",1045000,742000,27964,3.21706681223244
"119",1045000,758000,27372,3.22031754994317
"120",1045000,774000,26780,3.17825978531811
"121",1045000,782000,26484,3.19891687134161
"122",1045000,790000,26188,3.23663723138445
"123",1053000,678000,30333,4.66089610317913
"124",1053000,686000,30037,4.39548089705915
"125",1053000,694000,29741,4.16935024757716
"126",1053000,702000,29445,3.98229173263719
"127",1053000,710000,29149,3.82908901695538
"128",1053000,718000,28853,3.69405787480063
"129",1053000,734000,28261,3.58778522547077
"130",1053000,742000,27965,3.53941575033462
"131",1053000,758000,27373,3.58920916671997
"132",1053000,774000,26781,3.49413300057147
"133",1061000,686000,30038,4.72277118939268
"134",1061000,710000,29150,4.23723894294154
"135",1061000,718000,28854,4.13339845706696
"136",1061000,726000,28558,4.01783974485583
"137",109000,1014000,17783,1.63242598327548
"138",109000,1038000,16895,1.34707709539266
"139",109000,1070000,15711,1.06466488043141
"140",109000,1110000,14231,0.697325107106198
"141",109000,1118000,13935,0.618331787293748
"142",109000,1134000,13343,0.525585555248251
"143",109000,1142000,13047,0.482176294614431
"144",109000,1150000,12751,0.450873586738484
"145",109000,1158000,12455,0.430195637415548
"146",109000,1166000,12159,0.406484543541639
"147",109000,1174000,11863,0.381657852834301
"148",109000,1182000,11567,0.372044789625128
"149",109000,1190000,11271,0.376508818958389
"150",109000,1198000,10975,0.381734024705726
"151",109000,1206000,10679,0.386959028970514
"152",109000,1214000,10383,0.401003818873441
"153",109000,1222000,10087,0.428768907888854
"154",109000,1230000,9791,0.442728656875134
"155",109000,1238000,9495,0.457169298137737
"156",109000,1246000,9199,0.475401531212787
"157",109000,1254000,8903,0.487255097100429
"158",109000,1262000,8607,0.503658537030365
"159",109000,1270000,8311,0.506135238525459
"160",109000,1278000,8015,0.502894016499765
"161",109000,1286000,7719,0.508260244888876
"162",109000,1294000,7423,0.511149811202189
"163",109000,1302000,7127,0.493814008675302
"164",109000,1310000,6831,0.46330473524174
"165",109000,1318000,6535,0.419684609560442
"166",109000,1342000,5647,0.251892987105852
"167",109000,1350000,5351,0.212204075676959
"168",109000,1358000,5055,0.176083179052796
"169",109000,1366000,4759,0.14454615908655
"170",109000,1374000,4463,0.122171917337298
"171",109000,1382000,4167,0.10779256705384
"172",109000,1390000,3871,0.0993791179212209
"173",109000,1398000,3575,0.0952664765577187
"174",109000,1406000,3279,0.0937911865772233
"175",109000,1414000,2983,0.0939352147424283
"176",109000,1422000,2687,0.096672130589541
"177",109000,1430000,2391,0.102219296262485
"178",109000,1438000,2095,0.110110373001184
"179",109000,1446000,1799,0.118925313696776
"180",109000,838000,24295,4.12889142993964
"181",109000,926000,21039,2.74598857911007
"182",117000,1006000,18080,1.74523781595395
"183",117000,1030000,17192,1.41287352391858
"184",117000,1086000,15120,0.841218575354121
"185",117000,1094000,14824,0.765710596752013
"186",117000,1102000,14528,0.703444166064263
"187",117000,1110000,14232,0.648384145276346
"188",117000,1118000,13936,0.584857054129418
"189",117000,1126000,13640,0.543228905449997
"190",117000,1134000,13344,0.50214286436231
"191",117000,1150000,12752,0.441717068530077
"192",117000,1158000,12456,0.424747016810951
"193",117000,1166000,12160,0.401409191733193
"194",117000,1174000,11864,0.371353343032013
"195",117000,1182000,11568,0.360477889210015
"196",117000,1190000,11272,0.365694177124618
"197",117000,1198000,10976,0.357790556239598
"198",117000,1206000,10680,0.359104224167501
"199",117000,1214000,10384,0.378292269310953
"200",117000,1222000,10088,0.407245594661014
"201",117000,1230000,9792,0.428474497227609
"202",117000,1238000,9496,0.445280435281049
"203",117000,1246000,9200,0.46611326313481
"204",117000,1254000,8904,0.486503845931125
"205",117000,1262000,8608,0.502520674678165
"206",117000,1270000,8312,0.503846196643444
"207",117000,1278000,8016,0.492768727424473
"208",117000,1286000,7720,0.494983813826561
"209",117000,1294000,7424,0.498528454035894
"210",117000,1302000,7128,0.47005641820853
"211",117000,1310000,6832,0.439695919408492
"212",117000,1318000,6536,0.404084650141214
"213",117000,1326000,6240,0.352908950405355
"214",117000,1342000,5648,0.237405199707155
"215",117000,1350000,5352,0.197557411525087
"216",117000,1358000,5056,0.163392969555339
"217",117000,1366000,4760,0.134310032345335
"218",117000,1374000,4464,0.113209155868404
"219",117000,1382000,4168,0.0997201005899942
"220",117000,1390000,3872,0.0917179673054826
"221",117000,1398000,3576,0.0878893440344314
"222",117000,1406000,3280,0.0871654145864033
"223",117000,1414000,2984,0.0871115295938644
"224",117000,1422000,2688,0.0896287366890391
"225",117000,1430000,2392,0.0945664854876069
"226",117000,1438000,2096,0.101515335308899
"227",117000,862000,23408,3.61839876625737
"228",117000,918000,21336,2.73006066562726
"229",125000,1006000,18081,1.75294847119828
"230",125000,1014000,17785,1.63293255287145
"231",125000,1030000,17193,1.40093390853772
"232",125000,1046000,16601,1.20765221961522
"233",125000,1054000,16305,1.13347739122057
"234",125000,1062000,16009,1.02658208372592
"235",125000,1070000,15713,0.931362406321477
"236",125000,1094000,14825,0.710881480301091
"237",125000,1102000,14529,0.660591020764226
"238",125000,1110000,14233,0.620522735984225
"239",125000,1118000,13937,0.564512128416905
"240",125000,1126000,13641,0.523248501048042
"241",125000,1134000,13345,0.497944253187258
"242",125000,1142000,13049,0.481496347180058
"243",125000,1150000,12753,0.451849301043858
"244",125000,1158000,12457,0.42298521594158
"245",125000,1166000,12161,0.400437403220913
"246",125000,1174000,11865,0.37394756946001
"247",125000,1182000,11569,0.360386799841092
"248",125000,1198000,10977,0.355815547154421
"249",125000,1206000,10681,0.360395778344557
"250",125000,1214000,10385,0.38359904006745
"251",125000,1222000,10089,0.418738896100607
"252",125000,1230000,9793,0.449279370176011
"253",125000,1238000,9497,0.46858739580278
"254",125000,1246000,9201,0.492736439464307
"255",125000,1254000,8905,0.513105947015037
"256",125000,1262000,8609,0.503859040169046
"257",125000,1270000,8313,0.494008885467061
"258",125000,1278000,8017,0.482364018497378
"259",125000,1286000,7721,0.47507376699804
"260",125000,1294000,7425,0.467618256685314
"261",125000,1302000,7129,0.447799199321018
"262",125000,1310000,6833,0.41275030100818
"263",125000,1318000,6537,0.371273458641457
"264",125000,1342000,5649,0.22529415047095
"265",125000,1350000,5353,0.186645612661178
"266",125000,1358000,5057,0.154613520937186
"267",125000,1366000,4761,0.12716755706629
"268",125000,1374000,4465,0.107311724667769
"269",125000,1382000,4169,0.0948504395159293
"270",125000,1390000,3873,0.0871278459577538
"271",125000,1398000,3577,0.0824694942494596
"272",125000,1406000,3281,0.0813176054459533
"273",125000,1414000,2985,0.0827518175459742
"274",125000,1422000,2689,0.0858352732875254
"275",125000,1430000,2393,0.0900171083917999
"276",125000,854000,23705,3.6379359356502
"277",125000,934000,20745,2.66679933413203
"278",125000,942000,20449,2.65807143376352
"279",125000,958000,19857,2.50937868378682
"280",125000,998000,18377,1.86705880692674
"281",13000,1006000,18067,3.62191358519758
"282",13000,1014000,17771,3.55784054064419
"283",13000,1038000,16883,3.48872062281125
"284",13000,1158000,12443,2.45387142430089
"285",13000,1166000,12147,2.50752940057215
"286",13000,1190000,11259,2.59622345062043
"287",13000,1198000,10963,2.65699035831819
"288",13000,1206000,10667,2.6878928207485
"289",13000,1230000,9779,2.68611701121242
"290",13000,1254000,8891,2.42774578172947
"291",13000,1270000,8299,2.322858388881
"292",13000,1350000,5339,1.50718317824374
"293",13000,1382000,4155,0.985827141337505
"294",13000,1414000,2971,0.697849797812083
"295",13000,1430000,2379,0.615030881938138
"296",13000,1438000,2083,0.592103727920589
"297",13000,1454000,1491,0.586002072651217
"298",13000,1462000,1195,0
"299",13000,910000,21619,5.02040120150556
"300",13000,982000,18955,3.81458467254134
"301",133000,1006000,18082,1.74906612650874
"302",133000,1014000,17786,1.62662422253796
"303",133000,1022000,17490,1.47296011406033
"304",133000,1030000,17194,1.35332791857137
"305",133000,1038000,16898,1.23065484756115
"306",133000,1054000,16306,1.04375038425781
"307",133000,1062000,16010,0.961054128783639
"308",133000,1070000,15714,0.886672984521264
"309",133000,1078000,15418,0.81450971611841
"310",133000,1094000,14826,0.678572601061275
"311",133000,1110000,14234,0.587448542205538
"312",133000,1126000,13642,0.515890527677547
"313",133000,1134000,13346,0.504475468089124
"314",133000,1142000,13050,0.498384508976151
"315",133000,1150000,12754,0.47036319947762
"316",133000,1158000,12458,0.444187335413755
"317",133000,1166000,12162,0.427132076590877
"318",133000,1174000,11866,0.399176407618308
"319",133000,1182000,11570,0.385050408821594
"320",133000,1190000,11274,0.380056955607254
"321",133000,1198000,10978,0.376549948084163
"322",133000,1206000,10682,0.386343505049118
"323",133000,1214000,10386,0.417528136930208
"324",133000,1222000,10090,0.462480432355152
"325",133000,1230000,9794,0.501897757040452
"326",133000,1238000,9498,0.515531198868943
