"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Oak",323,3,141000,1486000,NA,0
"2","Oak",324,1,149000,1486000,NA,0
"3","Oak",619,7,141000,1478000,NA,0
"4","Oak",620,6,149000,1478000,NA,0
"5","Oak",898,1,5000,1470000,NA,0
"6","Oak",915,5,141000,1470000,NA,0
"7","Oak",916,5,149000,1470000,NA,0
"8","Oak",1194,1,5000,1462000,31.1243672900426,1
"9","Oak",1195,3,13000,1462000,NA,0
"10","Oak",1196,1,21000,1462000,NA,0
"11","Oak",1197,1,29000,1462000,NA,0
"12","Oak",1198,1,37000,1462000,16.0779001805294,1
"13","Oak",1199,1,45000,1462000,NA,0
"14","Oak",1211,1,141000,1462000,NA,0
"15","Oak",1491,1,13000,1454000,NA,0
"16","Oak",1492,4,21000,1454000,7.2422744600408,1
"17","Oak",1493,2,29000,1454000,3.41632901986676,1
"18","Oak",1494,2,37000,1454000,NA,0
"19","Oak",1495,3,45000,1454000,NA,0
"20","Oak",1496,1,53000,1454000,NA,0
"21","Oak",1498,1,69000,1454000,NA,0
"22","Oak",1499,3,77000,1454000,NA,0
"23","Oak",1500,2,85000,1454000,NA,0
"24","Oak",1502,1,101000,1454000,NA,0
"25","Oak",1786,1,5000,1446000,NA,0
"26","Oak",1788,2,21000,1446000,NA,0
"27","Oak",1789,2,29000,1446000,NA,0
"28","Oak",1791,2,45000,1446000,NA,0
"29","Oak",1792,1,53000,1446000,NA,0
"30","Oak",1794,1,69000,1446000,NA,0
"31","Oak",1795,1,77000,1446000,NA,0
"32","Oak",1796,3,85000,1446000,NA,0
"33","Oak",1797,2,93000,1446000,NA,0
"34","Oak",1798,2,101000,1446000,NA,0
"35","Oak",1799,2,109000,1446000,NA,0
"36","Oak",2083,1,13000,1438000,14.8752081848635,1
"37","Oak",2084,4,21000,1438000,NA,0
"38","Oak",2085,1,29000,1438000,NA,0
"39","Oak",2087,1,45000,1438000,NA,0
"40","Oak",2091,2,77000,1438000,NA,0
"41","Oak",2095,2,109000,1438000,NA,0
"42","Oak",2096,1,117000,1438000,NA,0
"43","Oak",2098,1,133000,1438000,8.81629508897849,1
"44","Oak",2100,1,149000,1438000,NA,0
"45","Oak",2379,2,13000,1430000,NA,0
"46","Oak",2380,2,21000,1430000,NA,0
"47","Oak",2381,3,29000,1430000,NA,0
"48","Oak",2382,2,37000,1430000,NA,0
"49","Oak",2383,1,45000,1430000,NA,0
"50","Oak",2385,2,61000,1430000,NA,0
"51","Oak",2386,2,69000,1430000,NA,0
"52","Oak",2387,1,77000,1430000,NA,0
"53","Oak",2388,2,85000,1430000,47.8029742243134,2
"54","Oak",2389,1,93000,1430000,NA,0
"55","Oak",2391,3,109000,1430000,NA,0
"56","Oak",2392,2,117000,1430000,NA,0
"57","Oak",2393,2,125000,1430000,NA,0
"58","Oak",2395,5,141000,1430000,NA,0
"59","Oak",2396,1,149000,1430000,NA,0
"60","Oak",2397,1,157000,1430000,NA,0
"61","Oak",2676,2,21000,1422000,NA,0
"62","Oak",2678,1,37000,1422000,NA,0
"63","Oak",2679,2,45000,1422000,56.404974426402,2
"64","Oak",2680,1,53000,1422000,NA,0
"65","Oak",2682,1,69000,1422000,NA,0
"66","Oak",2683,1,77000,1422000,NA,0
"67","Oak",2684,1,85000,1422000,NA,0
"68","Oak",2686,1,101000,1422000,NA,0
"69","Oak",2687,3,109000,1422000,NA,0
"70","Oak",2688,4,117000,1422000,NA,0
"71","Oak",2689,3,125000,1422000,NA,0
"72","Oak",2690,6,133000,1422000,NA,0
"73","Oak",2691,3,141000,1422000,NA,0
"74","Oak",2692,2,149000,1422000,NA,0
"75","Oak",2693,1,157000,1422000,NA,0
"76","Oak",2694,1,165000,1422000,NA,0
"77","Oak",2971,1,13000,1414000,NA,0
"78","Oak",2973,1,29000,1414000,NA,0
"79","Oak",2974,3,37000,1414000,13.1203908753066,1
"80","Oak",2975,2,45000,1414000,NA,0
"81","Oak",2977,1,61000,1414000,NA,0
"82","Oak",2978,2,69000,1414000,NA,0
"83","Oak",2979,2,77000,1414000,NA,0
