"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Other hardwood",323,3,141000,1486000,NA,0
"2","Other hardwood",324,1,149000,1486000,NA,0
"3","Other hardwood",619,7,141000,1478000,NA,0
"4","Other hardwood",620,6,149000,1478000,NA,0
"5","Other hardwood",898,1,5000,1470000,NA,0
"6","Other hardwood",915,5,141000,1470000,NA,0
"7","Other hardwood",916,5,149000,1470000,NA,0
"8","Other hardwood",1194,1,5000,1462000,NA,0
"9","Other hardwood",1195,3,13000,1462000,NA,0
"10","Other hardwood",1196,1,21000,1462000,NA,0
"11","Other hardwood",1197,1,29000,1462000,NA,0
"12","Other hardwood",1198,1,37000,1462000,NA,0
"13","Other hardwood",1199,1,45000,1462000,NA,0
"14","Other hardwood",1211,1,141000,1462000,NA,0
"15","Other hardwood",1491,1,13000,1454000,NA,0
"16","Other hardwood",1492,4,21000,1454000,NA,0
"17","Other hardwood",1493,2,29000,1454000,NA,0
"18","Other hardwood",1494,2,37000,1454000,NA,0
"19","Other hardwood",1495,3,45000,1454000,NA,0
"20","Other hardwood",1496,1,53000,1454000,NA,0
"21","Other hardwood",1498,1,69000,1454000,NA,0
"22","Other hardwood",1499,3,77000,1454000,NA,0
"23","Other hardwood",1500,2,85000,1454000,NA,0
"24","Other hardwood",1502,1,101000,1454000,NA,0
"25","Other hardwood",1786,1,5000,1446000,NA,0
"26","Other hardwood",1788,2,21000,1446000,NA,0
"27","Other hardwood",1789,2,29000,1446000,NA,0
"28","Other hardwood",1791,2,45000,1446000,NA,0
"29","Other hardwood",1792,1,53000,1446000,NA,0
"30","Other hardwood",1794,1,69000,1446000,NA,0
"31","Other hardwood",1795,1,77000,1446000,NA,0
"32","Other hardwood",1796,3,85000,1446000,NA,0
"33","Other hardwood",1797,2,93000,1446000,NA,0
"34","Other hardwood",1798,2,101000,1446000,NA,0
"35","Other hardwood",1799,2,109000,1446000,NA,0
"36","Other hardwood",2083,1,13000,1438000,NA,0
"37","Other hardwood",2084,4,21000,1438000,NA,0
"38","Other hardwood",2085,1,29000,1438000,NA,0
"39","Other hardwood",2087,1,45000,1438000,NA,0
"40","Other hardwood",2091,2,77000,1438000,NA,0
"41","Other hardwood",2095,2,109000,1438000,NA,0
"42","Other hardwood",2096,1,117000,1438000,NA,0
"43","Other hardwood",2098,1,133000,1438000,NA,0
"44","Other hardwood",2100,1,149000,1438000,NA,0
"45","Other hardwood",2379,2,13000,1430000,NA,0
"46","Other hardwood",2380,2,21000,1430000,NA,0
"47","Other hardwood",2381,3,29000,1430000,NA,0
"48","Other hardwood",2382,2,37000,1430000,NA,0
"49","Other hardwood",2383,1,45000,1430000,NA,0
"50","Other hardwood",2385,2,61000,1430000,NA,0
"51","Other hardwood",2386,2,69000,1430000,NA,0
"52","Other hardwood",2387,1,77000,1430000,NA,0
"53","Other hardwood",2388,2,85000,1430000,NA,0
"54","Other hardwood",2389,1,93000,1430000,NA,0
"55","Other hardwood",2391,3,109000,1430000,NA,0
"56","Other hardwood",2392,2,117000,1430000,NA,0
"57","Other hardwood",2393,2,125000,1430000,NA,0
"58","Other hardwood",2395,5,141000,1430000,NA,0
"59","Other hardwood",2396,1,149000,1430000,NA,0
"60","Other hardwood",2397,1,157000,1430000,NA,0
"61","Other hardwood",2676,2,21000,1422000,NA,0
"62","Other hardwood",2678,1,37000,1422000,NA,0
"63","Other hardwood",2679,2,45000,1422000,NA,0
"64","Other hardwood",2680,1,53000,1422000,NA,0
"65","Other hardwood",2682,1,69000,1422000,NA,0
"66","Other hardwood",2683,1,77000,1422000,NA,0
"67","Other hardwood",2684,1,85000,1422000,NA,0
"68","Other hardwood",2686,1,101000,1422000,NA,0
"69","Other hardwood",2687,3,109000,1422000,NA,0
"70","Other hardwood",2688,4,117000,1422000,NA,0
"71","Other hardwood",2689,3,125000,1422000,NA,0
"72","Other hardwood",2690,6,133000,1422000,NA,0
"73","Other hardwood",2691,3,141000,1422000,NA,0
"74","Other hardwood",2692,2,149000,1422000,NA,0
"75","Other hardwood",2693,1,157000,1422000,NA,0
"76","Other hardwood",2694,1,165000,1422000,NA,0
"77","Other hardwood",2971,1,13000,1414000,NA,0
"78","Other hardwood",2973,1,29000,1414000,NA,0
"79","Other hardwood",2974,3,37000,1414000,NA,0
"80","Other hardwood",2975,2,45000,1414000,NA,0
"81","Other hardwood",2977,1,61000,1414000,NA,0
"82","Other hardwood",2978,2,69000,1414000,NA,0
"83","Other hardwood",2979,2,77000,1414000,NA,0
"84","Other hardwood",2981,3,93000,1414000,NA,0
"85","Other hardwood",2982,5,101000,1414000,NA,0
"86","Other hardwood",2983,5,109000,1414000,NA,0
"87","Other hardwood",2984,3,117000,1414000,NA,0
"88","Other hardwood",2985,3,125000,1414000,NA,0
"89","Other hardwood",2986,4,133000,1414000,NA,0
"90","Other hardwood",2987,6,141000,1414000,NA,0
"91","Other hardwood",2988,3,149000,1414000,NA,0
"92","Other hardwood",2989,3,157000,1414000,NA,0
"93","Other hardwood",3270,3,37000,1406000,NA,0
"94","Other hardwood",3271,2,45000,1406000,NA,0
"95","Other hardwood",3272,1,53000,1406000,NA,0
"96","Other hardwood",3273,1,61000,1406000,NA,0
"97","Other hardwood",3274,2,69000,1406000,NA,0
"98","Other hardwood",3275,2,77000,1406000,NA,0
"99","Other hardwood",3276,2,85000,1406000,NA,0
"100","Other hardwood",3277,1,93000,1406000,NA,0
"101","Other hardwood",3278,4,101000,1406000,NA,0
"102","Other hardwood",3279,4,109000,1406000,NA,0
"103","Other hardwood",3280,3,117000,1406000,NA,0
"104","Other hardwood",3281,5,125000,1406000,NA,0
"105","Other hardwood",3282,4,133000,1406000,NA,0
"106","Other hardwood",3283,3,141000,1406000,NA,0
"107","Other hardwood",3284,3,149000,1406000,NA,0
"108","Other hardwood",3285,4,157000,1406000,NA,0
"109","Other hardwood",3286,3,165000,1406000,NA,0
"110","Other hardwood",3287,2,173000,1406000,NA,0
"111","Other hardwood",3289,2,189000,1406000,NA,0
"112","Other hardwood",3564,1,21000,1398000,NA,0
"113","Other hardwood",3565,3,29000,1398000,NA,0
"114","Other hardwood",3566,4,37000,1398000,NA,0
"115","Other hardwood",3567,4,45000,1398000,NA,0
"116","Other hardwood",3568,3,53000,1398000,NA,0
"117","Other hardwood",3569,2,61000,1398000,NA,0
"118","Other hardwood",3570,1,69000,1398000,NA,0
"119","Other hardwood",3571,1,77000,1398000,NA,0
"120","Other hardwood",3572,3,85000,1398000,NA,0
"121","Other hardwood",3573,3,93000,1398000,NA,0
"122","Other hardwood",3574,4,101000,1398000,NA,0
"123","Other hardwood",3575,5,109000,1398000,NA,0
"124","Other hardwood",3576,4,117000,1398000,NA,0
"125","Other hardwood",3577,3,125000,1398000,NA,0
"126","Other hardwood",3578,3,133000,1398000,NA,0
"127","Other hardwood",3579,4,141000,1398000,NA,0
"128","Other hardwood",3580,4,149000,1398000,NA,0
"129","Other hardwood",3581,3,157000,1398000,NA,0
"130","Other hardwood",3582,3,165000,1398000,NA,0
"131","Other hardwood",3583,3,173000,1398000,NA,0
"132","Other hardwood",3584,4,181000,1398000,NA,0
"133","Other hardwood",3585,5,189000,1398000,NA,0
"134","Other hardwood",3586,1,197000,1398000,NA,0
"135","Other hardwood",3587,1,205000,1398000,NA,0
"136","Other hardwood",3588,1,213000,1398000,NA,0
"137","Other hardwood",3858,1,5000,1390000,NA,0
"138","Other hardwood",3860,1,21000,1390000,NA,0
"139","Other hardwood",3861,1,29000,1390000,NA,0
"140","Other hardwood",3862,2,37000,1390000,NA,0
"141","Other hardwood",3863,1,45000,1390000,NA,0
"142","Other hardwood",3864,2,53000,1390000,NA,0
"143","Other hardwood",3866,1,69000,1390000,NA,0
"144","Other hardwood",3867,1,77000,1390000,NA,0
"145","Other hardwood",3868,2,85000,1390000,NA,0
"146","Other hardwood",3869,3,93000,1390000,NA,0
"147","Other hardwood",3870,2,101000,1390000,NA,0
"148","Other hardwood",3871,4,109000,1390000,NA,0
"149","Other hardwood",3872,5,117000,1390000,NA,0
"150","Other hardwood",3873,4,125000,1390000,NA,0
"151","Other hardwood",3874,3,133000,1390000,NA,0
"152","Other hardwood",3875,5,141000,1390000,NA,0
"153","Other hardwood",3876,7,149000,1390000,NA,0
"154","Other hardwood",3877,2,157000,1390000,NA,0
"155","Other hardwood",3878,3,165000,1390000,NA,0
"156","Other hardwood",3879,1,173000,1390000,NA,0
"157","Other hardwood",3880,2,181000,1390000,NA,0
"158","Other hardwood",3881,4,189000,1390000,NA,0
"159","Other hardwood",3882,4,197000,1390000,NA,0
"160","Other hardwood",3883,3,205000,1390000,NA,0
"161","Other hardwood",3884,5,213000,1390000,NA,0
"162","Other hardwood",3885,2,221000,1390000,NA,0
"163","Other hardwood",4155,1,13000,1382000,NA,0
"164","Other hardwood",4157,2,29000,1382000,NA,0
"165","Other hardwood",4162,1,69000,1382000,NA,0
"166","Other hardwood",4163,2,77000,1382000,NA,0
"167","Other hardwood",4164,1,85000,1382000,NA,0
"168","Other hardwood",4165,3,93000,1382000,NA,0
"169","Other hardwood",4166,2,101000,1382000,NA,0
"170","Other hardwood",4167,2,109000,1382000,NA,0
"171","Other hardwood",4168,4,117000,1382000,NA,0
"172","Other hardwood",4169,1,125000,1382000,NA,0
"173","Other hardwood",4170,5,133000,1382000,NA,0
"174","Other hardwood",4171,4,141000,1382000,NA,0
"175","Other hardwood",4172,4,149000,1382000,NA,0
"176","Other hardwood",4173,5,157000,1382000,NA,0
"177","Other hardwood",4174,4,165000,1382000,NA,0
"178","Other hardwood",4175,3,173000,1382000,NA,0
"179","Other hardwood",4176,4,181000,1382000,NA,0
"180","Other hardwood",4177,4,189000,1382000,NA,0
"181","Other hardwood",4178,6,197000,1382000,NA,0
"182","Other hardwood",4179,3,205000,1382000,NA,0
"183","Other hardwood",4180,2,213000,1382000,NA,0
"184","Other hardwood",4181,3,221000,1382000,NA,0
"185","Other hardwood",4182,1,229000,1382000,NA,0
"186","Other hardwood",4184,2,245000,1382000,NA,0
"187","Other hardwood",4185,2,253000,1382000,NA,0
"188","Other hardwood",4186,1,261000,1382000,NA,0
"189","Other hardwood",4188,2,277000,1382000,NA,0
"190","Other hardwood",4189,1,285000,1382000,NA,0
"191","Other hardwood",4447,1,-19000,1374000,NA,0
"192","Other hardwood",4450,1,5000,1374000,NA,0
"193","Other hardwood",4452,1,21000,1374000,NA,0
"194","Other hardwood",4453,1,29000,1374000,NA,0
"195","Other hardwood",4454,1,37000,1374000,NA,0
"196","Other hardwood",4456,2,53000,1374000,NA,0
"197","Other hardwood",4458,1,69000,1374000,NA,0
"198","Other hardwood",4460,4,85000,1374000,NA,0
"199","Other hardwood",4461,1,93000,1374000,NA,0
"200","Other hardwood",4462,3,101000,1374000,NA,0
"201","Other hardwood",4463,2,109000,1374000,NA,0
"202","Other hardwood",4464,4,117000,1374000,NA,0
"203","Other hardwood",4465,2,125000,1374000,NA,0
"204","Other hardwood",4466,2,133000,1374000,NA,0
"205","Other hardwood",4467,3,141000,1374000,NA,0
"206","Other hardwood",4468,6,149000,1374000,NA,0
"207","Other hardwood",4469,3,157000,1374000,NA,0
"208","Other hardwood",4470,2,165000,1374000,NA,0
"209","Other hardwood",4471,2,173000,1374000,NA,0
"210","Other hardwood",4472,2,181000,1374000,NA,0
"211","Other hardwood",4473,2,189000,1374000,NA,0
"212","Other hardwood",4474,5,197000,1374000,NA,0
"213","Other hardwood",4475,6,205000,1374000,NA,0
"214","Other hardwood",4476,4,213000,1374000,NA,0
"215","Other hardwood",4477,5,221000,1374000,NA,0
"216","Other hardwood",4478,4,229000,1374000,NA,0
"217","Other hardwood",4479,3,237000,1374000,NA,0
"218","Other hardwood",4480,3,245000,1374000,NA,0
"219","Other hardwood",4481,3,253000,1374000,NA,0
"220","Other hardwood",4482,5,261000,1374000,NA,0
"221","Other hardwood",4483,6,269000,1374000,NA,0
"222","Other hardwood",4484,2,277000,1374000,NA,0
"223","Other hardwood",4485,5,285000,1374000,NA,0
"224","Other hardwood",4487,1,301000,1374000,NA,0
"225","Other hardwood",4749,1,29000,1366000,NA,0
"226","Other hardwood",4756,1,85000,1366000,NA,0
"227","Other hardwood",4757,3,93000,1366000,NA,0
"228","Other hardwood",4758,2,101000,1366000,NA,0
"229","Other hardwood",4759,2,109000,1366000,NA,0
"230","Other hardwood",4760,3,117000,1366000,NA,0
"231","Other hardwood",4761,3,125000,1366000,NA,0
"232","Other hardwood",4764,2,149000,1366000,NA,0
"233","Other hardwood",4765,2,157000,1366000,NA,0
"234","Other hardwood",4766,3,165000,1366000,NA,0
"235","Other hardwood",4767,1,173000,1366000,NA,0
"236","Other hardwood",4768,3,181000,1366000,NA,0
"237","Other hardwood",4769,5,189000,1366000,NA,0
"238","Other hardwood",4770,3,197000,1366000,NA,0
"239","Other hardwood",4771,7,205000,1366000,NA,0
"240","Other hardwood",4772,3,213000,1366000,NA,0
"241","Other hardwood",4773,6,221000,1366000,NA,0
"242","Other hardwood",4774,3,229000,1366000,NA,0
"243","Other hardwood",4775,3,237000,1366000,NA,0
"244","Other hardwood",4776,4,245000,1366000,NA,0
"245","Other hardwood",4777,5,253000,1366000,NA,0
"246","Other hardwood",4778,4,261000,1366000,NA,0
"247","Other hardwood",4779,5,269000,1366000,NA,0
"248","Other hardwood",4780,2,277000,1366000,NA,0
"249","Other hardwood",4781,4,285000,1366000,NA,0
"250","Other hardwood",4782,4,293000,1366000,NA,0
"251","Other hardwood",4783,2,301000,1366000,NA,0
"252","Other hardwood",4784,1,309000,1366000,NA,0
"253","Other hardwood",5038,1,-27000,1358000,NA,0
"254","Other hardwood",5045,2,29000,1358000,NA,0
"255","Other hardwood",5046,1,37000,1358000,NA,0
"256","Other hardwood",5051,1,77000,1358000,NA,0
"257","Other hardwood",5052,1,85000,1358000,NA,0
"258","Other hardwood",5053,2,93000,1358000,NA,0
"259","Other hardwood",5054,4,101000,1358000,NA,0
"260","Other hardwood",5055,4,109000,1358000,NA,0
"261","Other hardwood",5056,5,117000,1358000,NA,0
"262","Other hardwood",5057,5,125000,1358000,NA,0
"263","Other hardwood",5058,5,133000,1358000,NA,0
"264","Other hardwood",5059,2,141000,1358000,NA,0
"265","Other hardwood",5060,3,149000,1358000,NA,0
"266","Other hardwood",5061,1,157000,1358000,NA,0
"267","Other hardwood",5062,3,165000,1358000,NA,0
"268","Other hardwood",5063,3,173000,1358000,NA,0
"269","Other hardwood",5064,5,181000,1358000,NA,0
"270","Other hardwood",5065,5,189000,1358000,NA,0
"271","Other hardwood",5066,5,197000,1358000,NA,0
"272","Other hardwood",5067,6,205000,1358000,NA,0
"273","Other hardwood",5068,5,213000,1358000,NA,0
"274","Other hardwood",5069,6,221000,1358000,NA,0
"275","Other hardwood",5070,4,229000,1358000,NA,0
"276","Other hardwood",5071,5,237000,1358000,NA,0
"277","Other hardwood",5072,3,245000,1358000,NA,0
"278","Other hardwood",5073,4,253000,1358000,NA,0
"279","Other hardwood",5074,5,261000,1358000,NA,0
"280","Other hardwood",5075,3,269000,1358000,NA,0
"281","Other hardwood",5076,3,277000,1358000,NA,0
"282","Other hardwood",5077,5,285000,1358000,NA,0
"283","Other hardwood",5078,5,293000,1358000,NA,0
"284","Other hardwood",5079,3,301000,1358000,NA,0
"285","Other hardwood",5080,3,309000,1358000,NA,0
"286","Other hardwood",5081,2,317000,1358000,NA,0
"287","Other hardwood",5335,1,-19000,1350000,NA,0
"288","Other hardwood",5339,1,13000,1350000,NA,0
"289","Other hardwood",5340,3,21000,1350000,NA,0
"290","Other hardwood",5341,2,29000,1350000,NA,0
"291","Other hardwood",5344,1,53000,1350000,NA,0
"292","Other hardwood",5346,2,69000,1350000,NA,0
"293","Other hardwood",5347,1,77000,1350000,NA,0
"294","Other hardwood",5349,4,93000,1350000,NA,0
"295","Other hardwood",5350,4,101000,1350000,NA,0
"296","Other hardwood",5351,2,109000,1350000,NA,0
"297","Other hardwood",5352,6,117000,1350000,NA,0
"298","Other hardwood",5353,2,125000,1350000,NA,0
"299","Other hardwood",5354,2,133000,1350000,NA,0
"300","Other hardwood",5358,1,165000,1350000,NA,0
"301","Other hardwood",5359,2,173000,1350000,NA,0
"302","Other hardwood",5360,2,181000,1350000,NA,0
"303","Other hardwood",5361,3,189000,1350000,NA,0
"304","Other hardwood",5362,6,197000,1350000,NA,0
"305","Other hardwood",5363,5,205000,1350000,NA,0
"306","Other hardwood",5364,4,213000,1350000,NA,0
"307","Other hardwood",5365,5,221000,1350000,NA,0
"308","Other hardwood",5366,3,229000,1350000,NA,0
"309","Other hardwood",5367,5,237000,1350000,NA,0
"310","Other hardwood",5368,4,245000,1350000,NA,0
"311","Other hardwood",5369,6,253000,1350000,NA,0
"312","Other hardwood",5370,4,261000,1350000,NA,0
"313","Other hardwood",5371,6,269000,1350000,NA,0
"314","Other hardwood",5372,5,277000,1350000,NA,0
"315","Other hardwood",5373,6,285000,1350000,NA,0
"316","Other hardwood",5374,5,293000,1350000,NA,0
"317","Other hardwood",5375,4,301000,1350000,NA,0
"318","Other hardwood",5376,3,309000,1350000,NA,0
"319","Other hardwood",5377,4,317000,1350000,NA,0
"320","Other hardwood",5379,1,333000,1350000,NA,0
"321","Other hardwood",5636,3,21000,1342000,NA,0
"322","Other hardwood",5637,1,29000,1342000,NA,0
"323","Other hardwood",5643,1,77000,1342000,NA,0
"324","Other hardwood",5645,1,93000,1342000,NA,0
"325","Other hardwood",5646,1,101000,1342000,NA,0
"326","Other hardwood",5647,4,109000,1342000,NA,0
"327","Other hardwood",5648,2,117000,1342000,NA,0
"328","Other hardwood",5649,1,125000,1342000,NA,0
"329","Other hardwood",5650,2,133000,1342000,NA,0
"330","Other hardwood",5651,2,141000,1342000,NA,0
"331","Other hardwood",5653,1,157000,1342000,NA,0
"332","Other hardwood",5654,4,165000,1342000,NA,0
"333","Other hardwood",5655,4,173000,1342000,NA,0
"334","Other hardwood",5656,5,181000,1342000,NA,0
"335","Other hardwood",5657,5,189000,1342000,NA,0
"336","Other hardwood",5658,4,197000,1342000,NA,0
"337","Other hardwood",5659,5,205000,1342000,NA,0
"338","Other hardwood",5660,3,213000,1342000,NA,0
"339","Other hardwood",5661,5,221000,1342000,NA,0
"340","Other hardwood",5662,5,229000,1342000,NA,0
"341","Other hardwood",5663,4,237000,1342000,NA,0
"342","Other hardwood",5664,7,245000,1342000,NA,0
"343","Other hardwood",5665,5,253000,1342000,NA,0
"344","Other hardwood",5666,5,261000,1342000,NA,0
"345","Other hardwood",5667,5,269000,1342000,NA,0
"346","Other hardwood",5668,5,277000,1342000,NA,0
"347","Other hardwood",5669,5,285000,1342000,NA,0
"348","Other hardwood",5670,6,293000,1342000,NA,0
"349","Other hardwood",5671,5,301000,1342000,NA,0
"350","Other hardwood",5672,6,309000,1342000,NA,0
"351","Other hardwood",5673,6,317000,1342000,NA,0
"352","Other hardwood",5677,1,349000,1342000,NA,0
"353","Other hardwood",5927,1,-19000,1334000,NA,0
"354","Other hardwood",5932,1,21000,1334000,NA,0
"355","Other hardwood",5934,1,37000,1334000,NA,0
"356","Other hardwood",5936,1,53000,1334000,NA,0
"357","Other hardwood",5940,1,85000,1334000,NA,0
"358","Other hardwood",5941,4,93000,1334000,NA,0
"359","Other hardwood",5942,2,101000,1334000,NA,0
"360","Other hardwood",5946,1,133000,1334000,NA,0
"361","Other hardwood",5947,1,141000,1334000,NA,0
"362","Other hardwood",5948,5,149000,1334000,NA,0
"363","Other hardwood",5949,6,157000,1334000,NA,0
"364","Other hardwood",5950,5,165000,1334000,NA,0
"365","Other hardwood",5951,4,173000,1334000,NA,0
"366","Other hardwood",5952,4,181000,1334000,NA,0
"367","Other hardwood",5953,3,189000,1334000,NA,0
"368","Other hardwood",5954,5,197000,1334000,NA,0
"369","Other hardwood",5955,4,205000,1334000,NA,0
"370","Other hardwood",5956,4,213000,1334000,NA,0
"371","Other hardwood",5957,5,221000,1334000,NA,0
"372","Other hardwood",5958,6,229000,1334000,NA,0
"373","Other hardwood",5959,3,237000,1334000,NA,0
"374","Other hardwood",5960,4,245000,1334000,NA,0
"375","Other hardwood",5961,6,253000,1334000,NA,0
"376","Other hardwood",5962,5,261000,1334000,NA,0
"377","Other hardwood",5963,4,269000,1334000,NA,0
"378","Other hardwood",5964,7,277000,1334000,NA,0
"379","Other hardwood",5965,4,285000,1334000,NA,0
"380","Other hardwood",5966,3,293000,1334000,NA,0
"381","Other hardwood",5967,6,301000,1334000,NA,0
"382","Other hardwood",5968,4,309000,1334000,NA,0
"383","Other hardwood",5969,4,317000,1334000,NA,0
"384","Other hardwood",5970,3,325000,1334000,NA,0
"385","Other hardwood",5971,2,333000,1334000,NA,0
"386","Other hardwood",5972,2,341000,1334000,NA,0
"387","Other hardwood",5973,2,349000,1334000,NA,0
"388","Other hardwood",6229,3,29000,1326000,NA,0
"389","Other hardwood",6232,1,53000,1326000,NA,0
"390","Other hardwood",6233,2,61000,1326000,NA,0
"391","Other hardwood",6234,1,69000,1326000,NA,0
"392","Other hardwood",6236,1,85000,1326000,NA,0
"393","Other hardwood",6237,1,93000,1326000,NA,0
"394","Other hardwood",6238,3,101000,1326000,NA,0
"395","Other hardwood",6240,1,117000,1326000,NA,0
"396","Other hardwood",6244,4,149000,1326000,NA,0
"397","Other hardwood",6245,4,157000,1326000,NA,0
"398","Other hardwood",6246,5,165000,1326000,NA,0
"399","Other hardwood",6247,3,173000,1326000,NA,0
"400","Other hardwood",6248,5,181000,1326000,NA,0
"401","Other hardwood",6249,4,189000,1326000,NA,0
"402","Other hardwood",6250,4,197000,1326000,NA,0
"403","Other hardwood",6251,4,205000,1326000,NA,0
"404","Other hardwood",6252,1,213000,1326000,NA,0
"405","Other hardwood",6253,6,221000,1326000,NA,0
"406","Other hardwood",6254,6,229000,1326000,NA,0
"407","Other hardwood",6255,3,237000,1326000,NA,0
"408","Other hardwood",6256,3,245000,1326000,NA,0
"409","Other hardwood",6257,3,253000,1326000,NA,0
"410","Other hardwood",6258,5,261000,1326000,NA,0
"411","Other hardwood",6259,4,269000,1326000,NA,0
"412","Other hardwood",6260,4,277000,1326000,NA,0
"413","Other hardwood",6261,5,285000,1326000,NA,0
"414","Other hardwood",6262,7,293000,1326000,NA,0
"415","Other hardwood",6263,6,301000,1326000,NA,0
"416","Other hardwood",6264,7,309000,1326000,NA,0
"417","Other hardwood",6265,2,317000,1326000,NA,0
"418","Other hardwood",6266,6,325000,1326000,NA,0
"419","Other hardwood",6267,2,333000,1326000,NA,0
"420","Other hardwood",6268,2,341000,1326000,NA,0
"421","Other hardwood",6269,3,349000,1326000,NA,0
"422","Other hardwood",6270,1,357000,1326000,NA,0
"423","Other hardwood",6271,1,365000,1326000,NA,0
"424","Other hardwood",6272,1,373000,1326000,NA,0
"425","Other hardwood",6280,1,437000,1326000,NA,0
"426","Other hardwood",6528,1,53000,1318000,NA,0
"427","Other hardwood",6529,1,61000,1318000,NA,0
"428","Other hardwood",6531,4,77000,1318000,NA,0
"429","Other hardwood",6532,1,85000,1318000,NA,0
"430","Other hardwood",6533,2,93000,1318000,NA,0
"431","Other hardwood",6534,2,101000,1318000,NA,0
"432","Other hardwood",6535,7,109000,1318000,NA,0
"433","Other hardwood",6536,3,117000,1318000,NA,0
"434","Other hardwood",6537,6,125000,1318000,NA,0
"435","Other hardwood",6538,4,133000,1318000,NA,0
"436","Other hardwood",6539,1,141000,1318000,NA,0
"437","Other hardwood",6540,6,149000,1318000,NA,0
"438","Other hardwood",6541,5,157000,1318000,NA,0
"439","Other hardwood",6542,4,165000,1318000,NA,0
"440","Other hardwood",6543,5,173000,1318000,NA,0
"441","Other hardwood",6544,4,181000,1318000,NA,0
"442","Other hardwood",6545,3,189000,1318000,NA,0
"443","Other hardwood",6546,6,197000,1318000,NA,0
"444","Other hardwood",6547,5,205000,1318000,NA,0
"445","Other hardwood",6548,4,213000,1318000,NA,0
"446","Other hardwood",6549,6,221000,1318000,NA,0
"447","Other hardwood",6550,5,229000,1318000,NA,0
"448","Other hardwood",6551,5,237000,1318000,NA,0
"449","Other hardwood",6552,3,245000,1318000,NA,0
"450","Other hardwood",6553,6,253000,1318000,NA,0
"451","Other hardwood",6554,4,261000,1318000,NA,0
"452","Other hardwood",6555,4,269000,1318000,NA,0
"453","Other hardwood",6556,3,277000,1318000,NA,0
"454","Other hardwood",6557,3,285000,1318000,NA,0
"455","Other hardwood",6558,4,293000,1318000,NA,0
"456","Other hardwood",6559,3,301000,1318000,NA,0
"457","Other hardwood",6560,3,309000,1318000,NA,0
"458","Other hardwood",6561,6,317000,1318000,NA,0
"459","Other hardwood",6562,5,325000,1318000,NA,0
"460","Other hardwood",6563,4,333000,1318000,NA,0
"461","Other hardwood",6564,6,341000,1318000,NA,0
"462","Other hardwood",6565,3,349000,1318000,NA,0
"463","Other hardwood",6566,4,357000,1318000,NA,0
"464","Other hardwood",6567,2,365000,1318000,NA,0
"465","Other hardwood",6568,1,373000,1318000,NA,0
"466","Other hardwood",6574,1,421000,1318000,NA,0
"467","Other hardwood",6575,2,429000,1318000,NA,0
"468","Other hardwood",6576,1,437000,1318000,NA,0
"469","Other hardwood",6821,1,29000,1310000,NA,0
"470","Other hardwood",6825,2,61000,1310000,NA,0
"471","Other hardwood",6827,2,77000,1310000,NA,0
"472","Other hardwood",6828,1,85000,1310000,NA,0
"473","Other hardwood",6829,3,93000,1310000,NA,0
"474","Other hardwood",6830,3,101000,1310000,NA,0
"475","Other hardwood",6831,1,109000,1310000,NA,0
"476","Other hardwood",6832,4,117000,1310000,NA,0
