"","x","y","cell","sd"
"1",-11000,1070000,15696,0
"2",-11000,1238000,9480,0
"3",-11000,1278000,8000,0
"4",-11000,998000,18360,0
"5",-19000,1038000,16879,0
"6",-19000,1062000,15991,0
"7",-19000,1086000,15103,0
"8",-19000,1222000,10071,0
"9",-19000,1270000,8295,0
"10",-19000,1278000,7999,0
"11",-19000,1334000,5927,0
"12",-19000,1350000,5335,0
"13",-19000,1374000,4447,0
"14",-27000,1038000,16878,0
"15",-27000,1046000,16582,0
"16",-27000,1062000,15990,0
"17",-3000,1006000,18065,0
"18",-3000,1038000,16881,0
"19",-3000,1230000,9777,0
"20",-35000,950000,20133,0
"21",1005000,622000,32399,0.389439750583834
"22",1005000,678000,30327,0.237081069518387
"23",1005000,686000,30031,0.220114797415232
"24",1005000,694000,29735,0.203992979963926
"25",1005000,710000,29143,0.172495236593825
"26",1005000,718000,28847,0.158805300812243
"27",1005000,726000,28551,0.146247908948707
"28",1005000,734000,28255,0.135008214538414
"29",1005000,742000,27959,0.124790841047504
"30",1005000,758000,27367,0.106421055314493
"31",1005000,766000,27071,0.0982327030219774
"32",1005000,774000,26775,0.0904189786766549
"33",1005000,790000,26183,0.0763326945919016
"34",1005000,798000,25887,0.0696813495479767
"35",1005000,814000,25295,0.0581223202660378
"36",101000,1078000,15414,0.0115405555785734
"37",101000,1086000,15118,0.0107190902436051
"38",101000,1102000,14526,0.00925104252897198
"39",101000,1110000,14230,0.00861548942314748
"40",101000,1118000,13934,0.00801821728896882
"41",101000,1126000,13638,0.00747521458888873
"42",101000,1134000,13342,0.00697140897779025
"43",101000,1142000,13046,0.00648251313141059
"44",101000,1166000,12158,0.0052931708786752
"45",101000,1174000,11862,0.00497215145128444
"46",101000,1182000,11566,0.00468694380834928
"47",101000,1190000,11270,0.0044354112942902
"48",101000,1198000,10974,0.00421122420667314
"49",101000,1206000,10678,0.00400515718398321
"50",101000,1214000,10382,0.00382123352275682
"51",101000,1222000,10086,0
