"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Pine",323,3,141000,1486000,NA,0
"2","Pine",324,1,149000,1486000,NA,0
"3","Pine",619,7,141000,1478000,NA,0
"4","Pine",620,6,149000,1478000,NA,0
"5","Pine",898,1,5000,1470000,NA,0
"6","Pine",915,5,141000,1470000,NA,0
"7","Pine",916,5,149000,1470000,NA,0
"8","Pine",1194,1,5000,1462000,NA,0
"9","Pine",1195,3,13000,1462000,NA,0
"10","Pine",1196,1,21000,1462000,NA,0
"11","Pine",1197,1,29000,1462000,NA,0
"12","Pine",1198,1,37000,1462000,NA,0
"13","Pine",1199,1,45000,1462000,NA,0
"14","Pine",1211,1,141000,1462000,NA,0
"15","Pine",1491,1,13000,1454000,NA,0
"16","Pine",1492,4,21000,1454000,NA,0
"17","Pine",1493,2,29000,1454000,NA,0
"18","Pine",1494,2,37000,1454000,NA,0
"19","Pine",1495,3,45000,1454000,NA,0
"20","Pine",1496,1,53000,1454000,NA,0
"21","Pine",1498,1,69000,1454000,NA,0
"22","Pine",1499,3,77000,1454000,NA,0
"23","Pine",1500,2,85000,1454000,NA,0
"24","Pine",1502,1,101000,1454000,NA,0
"25","Pine",1786,1,5000,1446000,NA,0
"26","Pine",1788,2,21000,1446000,NA,0
"27","Pine",1789,2,29000,1446000,NA,0
"28","Pine",1791,2,45000,1446000,NA,0
"29","Pine",1792,1,53000,1446000,NA,0
"30","Pine",1794,1,69000,1446000,NA,0
"31","Pine",1795,1,77000,1446000,NA,0
"32","Pine",1796,3,85000,1446000,NA,0
"33","Pine",1797,2,93000,1446000,NA,0
"34","Pine",1798,2,101000,1446000,NA,0
"35","Pine",1799,2,109000,1446000,NA,0
"36","Pine",2083,1,13000,1438000,NA,0
"37","Pine",2084,4,21000,1438000,NA,0
"38","Pine",2085,1,29000,1438000,NA,0
"39","Pine",2087,1,45000,1438000,NA,0
"40","Pine",2091,2,77000,1438000,NA,0
"41","Pine",2095,2,109000,1438000,NA,0
"42","Pine",2096,1,117000,1438000,12.8068315163692,1
"43","Pine",2098,1,133000,1438000,NA,0
"44","Pine",2100,1,149000,1438000,NA,0
"45","Pine",2379,2,13000,1430000,NA,0
