"","x","y","cell","sd"
"1",-11000,1070000,15696,0
"2",-11000,1238000,9480,0
"3",-11000,1278000,8000,0
"4",-11000,998000,18360,0
"5",-19000,1038000,16879,0
"6",-19000,1062000,15991,0
"7",-19000,1086000,15103,0
"8",-19000,1222000,10071,0
"9",-19000,1270000,8295,0
"10",-19000,1278000,7999,0
"11",-19000,1334000,5927,0
"12",-19000,1350000,5335,0
"13",-19000,1374000,4447,0
"14",-27000,1038000,16878,0
"15",-27000,1046000,16582,0
"16",-27000,1062000,15990,0
"17",-3000,1006000,18065,0
"18",-3000,1038000,16881,0
"19",-3000,1230000,9777,0
"20",-35000,950000,20133,0
"21",1005000,622000,32399,0.8149976445943
"22",1005000,678000,30327,0.600343469228941
"23",1005000,686000,30031,0.632051806920883
"24",1005000,694000,29735,0.676221357481869
"25",1005000,710000,29143,0.709911091396572
"26",1005000,718000,28847,0.737534439675045
"27",1005000,726000,28551,0.744301634888651
"28",1005000,734000,28255,0.761239590673091
"29",1005000,742000,27959,0.791726581442098
"30",1005000,758000,27367,0.836507851407932
"31",1005000,766000,27071,0.873689454029402
"32",1005000,774000,26775,0.916733718649805
"33",1005000,790000,26183,1.14437017565779
"34",1005000,798000,25887,1.2800417151791
"35",1005000,814000,25295,1.73591796054544
"36",101000,1078000,15414,0.398971035022995
"37",101000,1086000,15118,0.421637059247583
"38",101000,1102000,14526,0.42484499184608
"39",101000,1110000,14230,0.458997039284071
"40",101000,1118000,13934,0.4790159066517
"41",101000,1126000,13638,0.532412963527271
"42",101000,1134000,13342,0.625762533209955
"43",101000,1142000,13046,0.702583708863113
"44",101000,1166000,12158,0.939485113649587
"45",101000,1174000,11862,0.959306336990034
"46",101000,1182000,11566,1.01137187058891
"47",101000,1190000,11270,1.13916769124956
"48",101000,1198000,10974,1.31448781358216
"49",101000,1206000,10678,1.38325243332697
"50",101000,1214000,10382,1.38205856031735
"51",101000,1222000,10086,1.43581939714107
"52",101000,1230000,9790,1.30239372635159
