"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Poplar",323,3,141000,1486000,9.55635336051832,1
"2","Poplar",324,1,149000,1486000,15.4363535767676,1
"3","Poplar",619,7,141000,1478000,NA,0
"4","Poplar",620,6,149000,1478000,NA,0
"5","Poplar",898,1,5000,1470000,31.7087387028322,1
"6","Poplar",915,5,141000,1470000,28.4084727695545,1
"7","Poplar",916,5,149000,1470000,5.02965891506571,1
"8","Poplar",1194,1,5000,1462000,NA,0
"9","Poplar",1195,3,13000,1462000,3.74648766617505,2
"10","Poplar",1196,1,21000,1462000,NA,0
"11","Poplar",1197,1,29000,1462000,NA,0
"12","Poplar",1198,1,37000,1462000,4.92275011400862,1
"13","Poplar",1199,1,45000,1462000,26.1418229619442,1
"14","Poplar",1211,1,141000,1462000,NA,0
"15","Poplar",1491,1,13000,1454000,48.5845585827192,1
"16","Poplar",1492,4,21000,1454000,32.837435201838,1
"17","Poplar",1493,2,29000,1454000,20.040041718316,2
"18","Poplar",1494,2,37000,1454000,10.2950886535679,1
"19","Poplar",1495,3,45000,1454000,NA,0
"20","Poplar",1496,1,53000,1454000,60.3793707324116,1
"21","Poplar",1498,1,69000,1454000,NA,0
"22","Poplar",1499,3,77000,1454000,6.03483823471863,1
"23","Poplar",1500,2,85000,1454000,NA,0
"24","Poplar",1502,1,101000,1454000,NA,0
"25","Poplar",1786,1,5000,1446000,NA,0
"26","Poplar",1788,2,21000,1446000,NA,0
"27","Poplar",1789,2,29000,1446000,23.4885422880865,1
"28","Poplar",1791,2,45000,1446000,NA,0
"29","Poplar",1792,1,53000,1446000,NA,0
"30","Poplar",1794,1,69000,1446000,NA,0
"31","Poplar",1795,1,77000,1446000,NA,0
"32","Poplar",1796,3,85000,1446000,11.0724231916932,1
"33","Poplar",1797,2,93000,1446000,4.82161334541893,1
"34","Poplar",1798,2,101000,1446000,19.5252219721053,1
"35","Poplar",1799,2,109000,1446000,45.7315129340904,1
"36","Poplar",2083,1,13000,1438000,NA,0
"37","Poplar",2084,4,21000,1438000,16.3993882454057,4
"38","Poplar",2085,1,29000,1438000,2.63860466565197,1
"39","Poplar",2087,1,45000,1438000,6.5530541435712,1
"40","Poplar",2091,2,77000,1438000,19.8732311054424,1
"41","Poplar",2095,2,109000,1438000,NA,0
"42","Poplar",2096,1,117000,1438000,22.9419459905203,1
"43","Poplar",2098,1,133000,1438000,NA,0
"44","Poplar",2100,1,149000,1438000,44.6861870609436,1
"45","Poplar",2379,2,13000,1430000,21.0373549106755,2
"46","Poplar",2380,2,21000,1430000,NA,0
"47","Poplar",2381,3,29000,1430000,15.8845210504071,2
"48","Poplar",2382,2,37000,1430000,NA,0
"49","Poplar",2383,1,45000,1430000,2.56679496901845,1
"50","Poplar",2385,2,61000,1430000,15.8167312396015,2
"51","Poplar",2386,2,69000,1430000,NA,0
"52","Poplar",2387,1,77000,1430000,27.7293953338151,1
"53","Poplar",2388,2,85000,1430000,NA,0
"54","Poplar",2389,1,93000,1430000,NA,0
"55","Poplar",2391,3,109000,1430000,NA,0
"56","Poplar",2392,2,117000,1430000,11.8398472954411,1
"57","Poplar",2393,2,125000,1430000,21.5245126922395,1
"58","Poplar",2395,5,141000,1430000,42.6541726636075,2
"59","Poplar",2396,1,149000,1430000,NA,0
"60","Poplar",2397,1,157000,1430000,NA,0
"61","Poplar",2676,2,21000,1422000,NA,0
"62","Poplar",2678,1,37000,1422000,NA,0
"63","Poplar",2679,2,45000,1422000,NA,0
"64","Poplar",2680,1,53000,1422000,NA,0
"65","Poplar",2682,1,69000,1422000,2.22487143596474,1
"66","Poplar",2683,1,77000,1422000,NA,0
"67","Poplar",2684,1,85000,1422000,NA,0
"68","Poplar",2686,1,101000,1422000,NA,0
"69","Poplar",2687,3,109000,1422000,11.6174697275504,2
"70","Poplar",2688,4,117000,1422000,9.28555637646384,2
"71","Poplar",2689,3,125000,1422000,44.7677895542754,1
"72","Poplar",2690,6,133000,1422000,38.3450229483232,3
"73","Poplar",2691,3,141000,1422000,NA,0
"74","Poplar",2692,2,149000,1422000,4.45086518474742,1
"75","Poplar",2693,1,157000,1422000,2.22487143596474,1
"76","Poplar",2694,1,165000,1422000,8.35343277592257,1
"77","Poplar",2971,1,13000,1414000,NA,0
"78","Poplar",2973,1,29000,1414000,12.4628507262628,1
"79","Poplar",2974,3,37000,1414000,7.53880946845667,2
"80","Poplar",2975,2,45000,1414000,22.1014828886207,2
"81","Poplar",2977,1,61000,1414000,NA,0
"82","Poplar",2978,2,69000,1414000,NA,0
"83","Poplar",2979,2,77000,1414000,NA,0
"84","Poplar",2981,3,93000,1414000,NA,0
"85","Poplar",2982,5,101000,1414000,30.1408316116745,1
"86","Poplar",2983,5,109000,1414000,NA,0
"87","Poplar",2984,3,117000,1414000,20.1855645688138,1
"88","Poplar",2985,3,125000,1414000,25.1984957615224,1
"89","Poplar",2986,4,133000,1414000,2.63860466565197,1
"90","Poplar",2987,6,141000,1414000,18.201710119935,2
"91","Poplar",2988,3,149000,1414000,53.0606591565695,2
"92","Poplar",2989,3,157000,1414000,37.3812528898427,1
"93","Poplar",3270,3,37000,1406000,15.9019445246585,2
"94","Poplar",3271,2,45000,1406000,14.7438620772934,2
"95","Poplar",3272,1,53000,1406000,4.99341119833585,1
"96","Poplar",3273,1,61000,1406000,NA,0
"97","Poplar",3274,2,69000,1406000,14.9777568598758,1
"98","Poplar",3275,2,77000,1406000,72.8174375617722,1
"99","Poplar",3276,2,85000,1406000,10.7963617084659,1
"100","Poplar",3277,1,93000,1406000,31.5998770397974,1
"101","Poplar",3278,4,101000,1406000,3.76736369781836,1
"102","Poplar",3279,4,109000,1406000,59.248355468527,2
"103","Poplar",3280,3,117000,1406000,4.32368442150736,1
"104","Poplar",3281,5,125000,1406000,2.4266162293174,1
"105","Poplar",3282,4,133000,1406000,NA,0
"106","Poplar",3283,3,141000,1406000,NA,0
"107","Poplar",3284,3,149000,1406000,2.22487143596474,1
"108","Poplar",3285,4,157000,1406000,57.7642906031336,1
"109","Poplar",3286,3,165000,1406000,16.9501260725389,1
"110","Poplar",3287,2,173000,1406000,15.5619341048204,2
"111","Poplar",3289,2,189000,1406000,25.0041145590165,1
"112","Poplar",3564,1,21000,1398000,11.0225756802199,1
"113","Poplar",3565,3,29000,1398000,NA,0
"114","Poplar",3566,4,37000,1398000,12.1872953996055,2
"115","Poplar",3567,4,45000,1398000,19.9769477824085,2
"116","Poplar",3568,3,53000,1398000,44.1062957753383,1
"117","Poplar",3569,2,61000,1398000,37.2838710572567,2
"118","Poplar",3570,1,69000,1398000,NA,0
"119","Poplar",3571,1,77000,1398000,NA,0
"120","Poplar",3572,3,85000,1398000,2.93743196722059,1
