"","x","y","cell","sd"
"1",-11000,1070000,15696,1.01180797680537
"2",-11000,1238000,9480,1.07990086144139
"3",-11000,1278000,8000,1.21847826729503
"4",-11000,998000,18360,1.16029359918762
"5",-19000,1038000,16879,1.1244477701891
"6",-19000,1062000,15991,1.11342760708804
"7",-19000,1086000,15103,1.01296245218467
"8",-19000,1222000,10071,1.04575625744143
"9",-19000,1270000,8295,1.19928080924556
"10",-19000,1278000,7999,1.24807488293026
"11",-19000,1334000,5927,1.6685060932757
"12",-19000,1350000,5335,1.74554993506523
"13",-19000,1374000,4447,1.90991133525301
"14",-27000,1038000,16878,1.18508210240082
"15",-27000,1046000,16582,1.18311748825679
"16",-27000,1062000,15990,1.17332896400319
"17",-3000,1006000,18065,1.08172854830696
"18",-3000,1038000,16881,1.0182885496473
"19",-3000,1230000,9777,1.03023506980417
"20",-35000,950000,20133,1.71709554803839
"21",1005000,622000,32399,1.13151076610628
"22",1005000,678000,30327,0.889658061753946
"23",1005000,686000,30031,0.889210286310719
"24",1005000,694000,29735,0.899799257945794
"25",1005000,710000,29143,0.912379064992968
"26",1005000,718000,28847,0.937388981423501
"27",1005000,726000,28551,0.964854275142469
"28",1005000,734000,28255,1.00699326326443
"29",1005000,742000,27959,1.06127101900937
"30",1005000,758000,27367,1.17877048953729
"31",1005000,766000,27071,1.25042148204297
"32",1005000,774000,26775,1.31372137993458
"33",1005000,790000,26183,1.41065600941987
"34",1005000,798000,25887,1.41134053332009
"35",1005000,814000,25295,1.40851280938279
"36",101000,1078000,15414,0.787758993582199
"37",101000,1086000,15118,0.82553418895539
"38",101000,1102000,14526,0.825297859097976
"39",101000,1110000,14230,0.838772989249303
"40",101000,1118000,13934,0.825918508972998
"41",101000,1126000,13638,0.829495056721559
"42",101000,1134000,13342,0.849297309149644
"43",101000,1142000,13046,0.846194375979023
"44",101000,1166000,12158,0.829964205471195
"45",101000,1174000,11862,0.80719766029219
"46",101000,1182000,11566,0.802917689834944
"47",101000,1190000,11270,0.827222121958871
"48",101000,1198000,10974,0.86543662193454
"49",101000,1206000,10678,0.870258857710284
"50",101000,1214000,10382,0.863284413912606
"51",101000,1222000,10086,0.88423926035199
"52",101000,1230000,9790,0.874658735372055
"53",101000,1238000,9494,0.863981525729614
"54",101000,1246000,9198,0.86948871758724
"55",101000,1254000,8902,0.843532995337076
"56",101000,1262000,8606,0.844047600225777
"57",101000,1270000,8310,0.852635409427484
"58",101000,1278000,8014,0.844349309977505
"59",101000,1286000,7718,0.851086946160385
"60",101000,1294000,7422,0.87224137337058
"61",101000,1302000,7126,0.887927106123374
"62",101000,1310000,6830,0.888647569509083
"63",101000,1318000,6534,0.866490274677428
"64",101000,1326000,6238,0.855128516367704
"65",101000,1334000,5942,0.851661616705506
"66",101000,1342000,5646,0.846723322399383
"67",101000,1350000,5350,0.847361998626745
"68",101000,1358000,5054,0.827232541575039
"69",101000,1366000,4758,0.805888178408915
"70",101000,1374000,4462,0.793153027719172
"71",101000,1382000,4166,0.786941420455625
"72",101000,1390000,3870,0.797615717578267
"73",101000,1398000,3574,0.818714227022427
"74",101000,1406000,3278,0.821868716235026
"75",101000,1414000,2982,0.818937459690587
"76",101000,1422000,2686,0.837327506425311
"77",101000,1446000,1798,1.02379951292646
"78",101000,894000,22222,0.937671819423825
"79",101000,926000,21038,0.806539266907911
"80",101000,934000,20742,0.790794346715891
"81",1013000,694000,29736,0.928212523994765
"82",1013000,702000,29440,0.938800160816569
"83",1013000,710000,29144,0.931208949833789
"84",1013000,726000,28552,0.988709481302391
"85",1013000,734000,28256,1.01745623694033
"86",1013000,742000,27960,1.06508020596559
"87",1013000,758000,27368,1.2078991445721
"88",1013000,774000,26776,1.31069885088279
"89",1013000,782000,26480,1.3621529029981
"90",1013000,798000,25888,1.43551540542074
"91",1021000,686000,30033,0.95572938301625
"92",1021000,694000,29737,0.952030489242055
"93",1021000,702000,29441,0.952645831219635
"94",1021000,718000,28849,0.971262778746289
"95",1021000,782000,26481,1.39031647765967
"96",1021000,790000,26185,1.44215370913288
"97",1021000,798000,25889,1.47250347409502
"98",1021000,814000,25297,1.59115191815683
"99",1021000,822000,25001,1.60900494504587
"100",1029000,686000,30034,1.01138490520171
"101",1029000,694000,29738,0.994361339473993
"102",1029000,758000,27370,1.24743416804808
"103",1029000,782000,26482,1.44185152849922
"104",1029000,790000,26186,1.48847688952962
"105",1029000,798000,25890,1.52800840870963
"106",1029000,806000,25594,1.58610991529237
"107",1029000,830000,24706,1.7399250319349
"108",1037000,686000,30035,1.09347765191838
"109",1037000,718000,28851,1.08894418527918
"110",1037000,726000,28555,1.12930089327539
"111",1037000,734000,28259,1.17839140645246
"112",1037000,742000,27963,1.23873489927322
"113",1037000,782000,26483,1.50301049167339
"114",1037000,798000,25891,1.61910409129008
"115",1045000,694000,29740,1.17504432327379
"116",1045000,702000,29444,1.16728703987582
"117",1045000,726000,28556,1.23973134805958
"118",1045000,742000,27964,1.32267131499742
"119",1045000,758000,27372,1.42844472831803
"120",1045000,774000,26780,1.53103552005006
"121",1045000,782000,26484,1.60941844445493
"122",1045000,790000,26188,1.69588024592645
"123",1053000,678000,30333,1.33158070572943
"124",1053000,686000,30037,1.2964953877691
"125",1053000,694000,29741,1.28129035833541
"126",1053000,702000,29445,1.28706134034704
"127",1053000,710000,29149,1.30709247251374
"128",1053000,718000,28853,1.32760516235715
"129",1053000,734000,28261,1.40836196066084
"130",1053000,742000,27965,1.44449299142231
"131",1053000,758000,27373,1.57430911571821
"132",1053000,774000,26781,1.66199319371371
"133",1061000,686000,30038,1.4087302612502
"134",1061000,710000,29150,1.45571932481828
"135",1061000,718000,28854,1.49133313640471
"136",1061000,726000,28558,1.51228544777357
"137",109000,1014000,17783,0.591762643240161
"138",109000,1038000,16895,0.632183191673901
"139",109000,1070000,15711,0.723731890698632
"140",109000,1110000,14231,0.84931465191671
"141",109000,1118000,13935,0.835479638078769
"142",109000,1134000,13343,0.837623357138649
"143",109000,1142000,13047,0.827325276896718
"144",109000,1150000,12751,0.827758672461682
"145",109000,1158000,12455,0.837672547517677
"146",109000,1166000,12159,0.831154915469435
"147",109000,1174000,11863,0.809676735243171
"148",109000,1182000,11567,0.809621943639695
