"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Spruce",323,3,141000,1486000,68.6146991728484,1
"2","Spruce",324,1,149000,1486000,NA,0
"3","Spruce",619,7,141000,1478000,5.84160160204518,3
"4","Spruce",620,6,149000,1478000,14.0698585834027,1
"5","Spruce",898,1,5000,1470000,NA,0
"6","Spruce",915,5,141000,1470000,11.6324880492475,1
"7","Spruce",916,5,149000,1470000,10.5703145340124,2
"8","Spruce",1194,1,5000,1462000,NA,0
"9","Spruce",1195,3,13000,1462000,NA,0
"10","Spruce",1196,1,21000,1462000,NA,0
"11","Spruce",1197,1,29000,1462000,NA,0
"12","Spruce",1198,1,37000,1462000,NA,0
"13","Spruce",1199,1,45000,1462000,NA,0
"14","Spruce",1211,1,141000,1462000,NA,0
"15","Spruce",1491,1,13000,1454000,NA,0
"16","Spruce",1492,4,21000,1454000,NA,0
"17","Spruce",1493,2,29000,1454000,NA,0
"18","Spruce",1494,2,37000,1454000,NA,0
"19","Spruce",1495,3,45000,1454000,NA,0
"20","Spruce",1496,1,53000,1454000,NA,0
"21","Spruce",1498,1,69000,1454000,NA,0
"22","Spruce",1499,3,77000,1454000,NA,0
"23","Spruce",1500,2,85000,1454000,NA,0
"24","Spruce",1502,1,101000,1454000,NA,0
"25","Spruce",1786,1,5000,1446000,NA,0
"26","Spruce",1788,2,21000,1446000,NA,0
"27","Spruce",1789,2,29000,1446000,NA,0
"28","Spruce",1791,2,45000,1446000,NA,0
"29","Spruce",1792,1,53000,1446000,NA,0
"30","Spruce",1794,1,69000,1446000,NA,0
"31","Spruce",1795,1,77000,1446000,NA,0
"32","Spruce",1796,3,85000,1446000,NA,0
"33","Spruce",1797,2,93000,1446000,4.56105004451156,1
"34","Spruce",1798,2,101000,1446000,NA,0
"35","Spruce",1799,2,109000,1446000,NA,0
"36","Spruce",2083,1,13000,1438000,NA,0
"37","Spruce",2084,4,21000,1438000,NA,0
"38","Spruce",2085,1,29000,1438000,NA,0
"39","Spruce",2087,1,45000,1438000,NA,0
"40","Spruce",2091,2,77000,1438000,NA,0
"41","Spruce",2095,2,109000,1438000,NA,0
"42","Spruce",2096,1,117000,1438000,NA,0
"43","Spruce",2098,1,133000,1438000,NA,0
"44","Spruce",2100,1,149000,1438000,NA,0
"45","Spruce",2379,2,13000,1430000,NA,0
"46","Spruce",2380,2,21000,1430000,NA,0
"47","Spruce",2381,3,29000,1430000,NA,0
"48","Spruce",2382,2,37000,1430000,NA,0
"49","Spruce",2383,1,45000,1430000,NA,0
"50","Spruce",2385,2,61000,1430000,NA,0
"51","Spruce",2386,2,69000,1430000,NA,0
"52","Spruce",2387,1,77000,1430000,NA,0
"53","Spruce",2388,2,85000,1430000,NA,0
"54","Spruce",2389,1,93000,1430000,NA,0
"55","Spruce",2391,3,109000,1430000,NA,0
"56","Spruce",2392,2,117000,1430000,NA,0
"57","Spruce",2393,2,125000,1430000,NA,0
"58","Spruce",2395,5,141000,1430000,NA,0
"59","Spruce",2396,1,149000,1430000,NA,0
"60","Spruce",2397,1,157000,1430000,NA,0
"61","Spruce",2676,2,21000,1422000,NA,0
"62","Spruce",2678,1,37000,1422000,NA,0
"63","Spruce",2679,2,45000,1422000,NA,0
"64","Spruce",2680,1,53000,1422000,NA,0
"65","Spruce",2682,1,69000,1422000,NA,0
"66","Spruce",2683,1,77000,1422000,NA,0
"67","Spruce",2684,1,85000,1422000,NA,0
"68","Spruce",2686,1,101000,1422000,NA,0
"69","Spruce",2687,3,109000,1422000,NA,0
"70","Spruce",2688,4,117000,1422000,NA,0
"71","Spruce",2689,3,125000,1422000,NA,0
"72","Spruce",2690,6,133000,1422000,10.7585080759074,1
"73","Spruce",2691,3,141000,1422000,NA,0
"74","Spruce",2692,2,149000,1422000,NA,0
"75","Spruce",2693,1,157000,1422000,NA,0
"76","Spruce",2694,1,165000,1422000,NA,0
"77","Spruce",2971,1,13000,1414000,NA,0
"78","Spruce",2973,1,29000,1414000,NA,0
"79","Spruce",2974,3,37000,1414000,NA,0
"80","Spruce",2975,2,45000,1414000,NA,0
"81","Spruce",2977,1,61000,1414000,NA,0
"82","Spruce",2978,2,69000,1414000,NA,0
"83","Spruce",2979,2,77000,1414000,NA,0
"84","Spruce",2981,3,93000,1414000,55.7726933557651,1
"85","Spruce",2982,5,101000,1414000,4.97744466899982,1
"86","Spruce",2983,5,109000,1414000,NA,0
"87","Spruce",2984,3,117000,1414000,NA,0
"88","Spruce",2985,3,125000,1414000,27.0569253363423,1
"89","Spruce",2986,4,133000,1414000,NA,0
"90","Spruce",2987,6,141000,1414000,NA,0
"91","Spruce",2988,3,149000,1414000,NA,0
"92","Spruce",2989,3,157000,1414000,NA,0
"93","Spruce",3270,3,37000,1406000,NA,0
"94","Spruce",3271,2,45000,1406000,2.09241511866904,1
"95","Spruce",3272,1,53000,1406000,NA,0
"96","Spruce",3273,1,61000,1406000,NA,0
"97","Spruce",3274,2,69000,1406000,NA,0
"98","Spruce",3275,2,77000,1406000,NA,0
"99","Spruce",3276,2,85000,1406000,NA,0
"100","Spruce",3277,1,93000,1406000,NA,0
"101","Spruce",3278,4,101000,1406000,NA,0
"102","Spruce",3279,4,109000,1406000,8.93806231159829,2
"103","Spruce",3280,3,117000,1406000,11.7644550513926,1
"104","Spruce",3281,5,125000,1406000,5.28286181308649,1
"105","Spruce",3282,4,133000,1406000,14.699133488942,1
"106","Spruce",3283,3,141000,1406000,NA,0
"107","Spruce",3284,3,149000,1406000,NA,0
"108","Spruce",3285,4,157000,1406000,NA,0
"109","Spruce",3286,3,165000,1406000,NA,0
"110","Spruce",3287,2,173000,1406000,2.898767759588,1
"111","Spruce",3289,2,189000,1406000,4.43835993901252,2
"112","Spruce",3564,1,21000,1398000,NA,0
"113","Spruce",3565,3,29000,1398000,NA,0
"114","Spruce",3566,4,37000,1398000,NA,0
"115","Spruce",3567,4,45000,1398000,NA,0
"116","Spruce",3568,3,53000,1398000,8.92469548102595,1
"117","Spruce",3569,2,61000,1398000,NA,0
"118","Spruce",3570,1,69000,1398000,NA,0
"119","Spruce",3571,1,77000,1398000,NA,0
"120","Spruce",3572,3,85000,1398000,6.03350141642936,1
"121","Spruce",3573,3,93000,1398000,NA,0
"122","Spruce",3574,4,101000,1398000,NA,0
"123","Spruce",3575,5,109000,1398000,NA,0
"124","Spruce",3576,4,117000,1398000,12.3457008545051,1
"125","Spruce",3577,3,125000,1398000,NA,0
"126","Spruce",3578,3,133000,1398000,21.2121276688024,2
"127","Spruce",3579,4,141000,1398000,NA,0
