"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Tamarack",323,3,141000,1486000,NA,0
"2","Tamarack",324,1,149000,1486000,NA,0
"3","Tamarack",619,7,141000,1478000,7.74850868297961,3
"4","Tamarack",620,6,149000,1478000,14.8473768796946,3
"5","Tamarack",898,1,5000,1470000,NA,0
"6","Tamarack",915,5,141000,1470000,31.8350046461455,2
"7","Tamarack",916,5,149000,1470000,24.4958215233829,3
"8","Tamarack",1194,1,5000,1462000,NA,0
"9","Tamarack",1195,3,13000,1462000,NA,0
"10","Tamarack",1196,1,21000,1462000,NA,0
"11","Tamarack",1197,1,29000,1462000,NA,0
"12","Tamarack",1198,1,37000,1462000,NA,0
"13","Tamarack",1199,1,45000,1462000,NA,0
"14","Tamarack",1211,1,141000,1462000,15.3103735323174,1
"15","Tamarack",1491,1,13000,1454000,NA,0
"16","Tamarack",1492,4,21000,1454000,NA,0
"17","Tamarack",1493,2,29000,1454000,NA,0
"18","Tamarack",1494,2,37000,1454000,NA,0
"19","Tamarack",1495,3,45000,1454000,NA,0
"20","Tamarack",1496,1,53000,1454000,NA,0
"21","Tamarack",1498,1,69000,1454000,NA,0
"22","Tamarack",1499,3,77000,1454000,NA,0
"23","Tamarack",1500,2,85000,1454000,4.98275763455095,1
"24","Tamarack",1502,1,101000,1454000,NA,0
"25","Tamarack",1786,1,5000,1446000,NA,0
"26","Tamarack",1788,2,21000,1446000,NA,0
"27","Tamarack",1789,2,29000,1446000,NA,0
"28","Tamarack",1791,2,45000,1446000,NA,0
"29","Tamarack",1792,1,53000,1446000,NA,0
"30","Tamarack",1794,1,69000,1446000,NA,0
"31","Tamarack",1795,1,77000,1446000,NA,0
"32","Tamarack",1796,3,85000,1446000,NA,0
"33","Tamarack",1797,2,93000,1446000,NA,0
"34","Tamarack",1798,2,101000,1446000,NA,0
"35","Tamarack",1799,2,109000,1446000,NA,0
"36","Tamarack",2083,1,13000,1438000,NA,0
"37","Tamarack",2084,4,21000,1438000,NA,0
"38","Tamarack",2085,1,29000,1438000,NA,0
"39","Tamarack",2087,1,45000,1438000,NA,0
"40","Tamarack",2091,2,77000,1438000,NA,0
"41","Tamarack",2095,2,109000,1438000,NA,0
"42","Tamarack",2096,1,117000,1438000,NA,0
"43","Tamarack",2098,1,133000,1438000,NA,0
"44","Tamarack",2100,1,149000,1438000,NA,0
"45","Tamarack",2379,2,13000,1430000,NA,0
"46","Tamarack",2380,2,21000,1430000,NA,0
"47","Tamarack",2381,3,29000,1430000,NA,0
"48","Tamarack",2382,2,37000,1430000,NA,0
"49","Tamarack",2383,1,45000,1430000,NA,0
"50","Tamarack",2385,2,61000,1430000,NA,0
"51","Tamarack",2386,2,69000,1430000,NA,0
"52","Tamarack",2387,1,77000,1430000,NA,0
"53","Tamarack",2388,2,85000,1430000,NA,0
"54","Tamarack",2389,1,93000,1430000,NA,0
"55","Tamarack",2391,3,109000,1430000,NA,0
"56","Tamarack",2392,2,117000,1430000,NA,0
"57","Tamarack",2393,2,125000,1430000,1.80387214156466,1
"58","Tamarack",2395,5,141000,1430000,NA,0
"59","Tamarack",2396,1,149000,1430000,NA,0
"60","Tamarack",2397,1,157000,1430000,NA,0
"61","Tamarack",2676,2,21000,1422000,NA,0
"62","Tamarack",2678,1,37000,1422000,NA,0
"63","Tamarack",2679,2,45000,1422000,NA,0
"64","Tamarack",2680,1,53000,1422000,NA,0
"65","Tamarack",2682,1,69000,1422000,NA,0
"66","Tamarack",2683,1,77000,1422000,NA,0
"67","Tamarack",2684,1,85000,1422000,NA,0
"68","Tamarack",2686,1,101000,1422000,NA,0
"69","Tamarack",2687,3,109000,1422000,NA,0
"70","Tamarack",2688,4,117000,1422000,NA,0
"71","Tamarack",2689,3,125000,1422000,2.23161000526304,1
"72","Tamarack",2690,6,133000,1422000,2.83854267922336,1
"73","Tamarack",2691,3,141000,1422000,NA,0
"74","Tamarack",2692,2,149000,1422000,1.80387214156466,1
"75","Tamarack",2693,1,157000,1422000,NA,0
"76","Tamarack",2694,1,165000,1422000,NA,0
"77","Tamarack",2971,1,13000,1414000,NA,0
"78","Tamarack",2973,1,29000,1414000,NA,0
"79","Tamarack",2974,3,37000,1414000,NA,0
"80","Tamarack",2975,2,45000,1414000,NA,0
"81","Tamarack",2977,1,61000,1414000,NA,0
"82","Tamarack",2978,2,69000,1414000,NA,0
"83","Tamarack",2979,2,77000,1414000,NA,0
"84","Tamarack",2981,3,93000,1414000,NA,0
"85","Tamarack",2982,5,101000,1414000,NA,0
"86","Tamarack",2983,5,109000,1414000,NA,0
"87","Tamarack",2984,3,117000,1414000,NA,0
"88","Tamarack",2985,3,125000,1414000,NA,0
"89","Tamarack",2986,4,133000,1414000,NA,0
"90","Tamarack",2987,6,141000,1414000,13.2006961156854,1
"91","Tamarack",2988,3,149000,1414000,NA,0
"92","Tamarack",2989,3,157000,1414000,NA,0
"93","Tamarack",3270,3,37000,1406000,NA,0
"94","Tamarack",3271,2,45000,1406000,NA,0
"95","Tamarack",3272,1,53000,1406000,NA,0
"96","Tamarack",3273,1,61000,1406000,NA,0
"97","Tamarack",3274,2,69000,1406000,NA,0
"98","Tamarack",3275,2,77000,1406000,NA,0
"99","Tamarack",3276,2,85000,1406000,NA,0
"100","Tamarack",3277,1,93000,1406000,NA,0
"101","Tamarack",3278,4,101000,1406000,NA,0
"102","Tamarack",3279,4,109000,1406000,6.11385809175683,1
"103","Tamarack",3280,3,117000,1406000,NA,0
"104","Tamarack",3281,5,125000,1406000,NA,0
"105","Tamarack",3282,4,133000,1406000,6.41218766732855,1
"106","Tamarack",3283,3,141000,1406000,NA,0
"107","Tamarack",3284,3,149000,1406000,NA,0
"108","Tamarack",3285,4,157000,1406000,NA,0
"109","Tamarack",3286,3,165000,1406000,NA,0
"110","Tamarack",3287,2,173000,1406000,NA,0
"111","Tamarack",3289,2,189000,1406000,NA,0
"112","Tamarack",3564,1,21000,1398000,NA,0
"113","Tamarack",3565,3,29000,1398000,NA,0
"114","Tamarack",3566,4,37000,1398000,NA,0
"115","Tamarack",3567,4,45000,1398000,NA,0
"116","Tamarack",3568,3,53000,1398000,NA,0
"117","Tamarack",3569,2,61000,1398000,NA,0
"118","Tamarack",3570,1,69000,1398000,NA,0
"119","Tamarack",3571,1,77000,1398000,NA,0
"120","Tamarack",3572,3,85000,1398000,9.33728016889499,1
"121","Tamarack",3573,3,93000,1398000,NA,0
"122","Tamarack",3574,4,101000,1398000,2.17536256064421,1
"123","Tamarack",3575,5,109000,1398000,13.5890446085226,1
"124","Tamarack",3576,4,117000,1398000,10.5340108617032,2
"125","Tamarack",3577,3,125000,1398000,NA,0
"126","Tamarack",3578,3,133000,1398000,41.3386466964711,1
"127","Tamarack",3579,4,141000,1398000,NA,0
