"","x","y","cell","sd"
"1",-11000,1070000,15696,0
"2",-11000,1238000,9480,0
"3",-11000,1278000,8000,0
"4",-11000,998000,18360,0
"5",-19000,1038000,16879,0
"6",-19000,1062000,15991,0
"7",-19000,1086000,15103,0
"8",-19000,1222000,10071,0
"9",-19000,1270000,8295,0
"10",-19000,1278000,7999,0
"11",-19000,1334000,5927,0
"12",-19000,1350000,5335,0
"13",-19000,1374000,4447,0
"14",-27000,1038000,16878,0
"15",-27000,1046000,16582,0
"16",-27000,1062000,15990,0
"17",-3000,1006000,18065,0
"18",-3000,1038000,16881,0
"19",-3000,1230000,9777,0.130700658048355
"20",-35000,950000,20133,0
"21",1005000,622000,32399,0
"22",1005000,678000,30327,0
"23",1005000,686000,30031,0
"24",1005000,694000,29735,0
"25",1005000,710000,29143,0
"26",1005000,718000,28847,0
"27",1005000,726000,28551,0
"28",1005000,734000,28255,0
"29",1005000,742000,27959,0
"30",1005000,758000,27367,0
"31",1005000,766000,27071,0
"32",1005000,774000,26775,0
"33",1005000,790000,26183,0.0434028413649437
"34",1005000,798000,25887,0.0456722417584394
"35",1005000,814000,25295,0.052084774102499
"36",101000,1078000,15414,0.101862867954117
"37",101000,1086000,15118,0.106446586200968
"38",101000,1102000,14526,0.109169401913059
"39",101000,1110000,14230,0.11153841471354
"40",101000,1118000,13934,0.110796700290402
"41",101000,1126000,13638,0.111738001552653
"42",101000,1134000,13342,0.11488385972676
"43",101000,1142000,13046,0.117229518993753
"44",101000,1166000,12158,0.126278125874173
"45",101000,1174000,11862,0.125995518701516
"46",101000,1182000,11566,0.127332239995828
"47",101000,1190000,11270,0.131071528737577
"48",101000,1198000,10974,0.134734601146601
"49",101000,1206000,10678,0.132072839053085
"50",101000,1214000,10382,0.12661650317579
"51",101000,1222000,10086,0.124254055405297
"52",101000,1230000,9790,0.119745819466696
"53",101000,1238000,9494,0.11702818396555
"54",101000,1246000,9198,0.118110881683663
"55",101000,1254000,8902,0.118199583871766
