"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Tulip poplar",323,3,141000,1486000,NA,0
"2","Tulip poplar",324,1,149000,1486000,NA,0
"3","Tulip poplar",619,7,141000,1478000,NA,0
"4","Tulip poplar",620,6,149000,1478000,NA,0
"5","Tulip poplar",898,1,5000,1470000,NA,0
"6","Tulip poplar",915,5,141000,1470000,NA,0
"7","Tulip poplar",916,5,149000,1470000,NA,0
"8","Tulip poplar",1194,1,5000,1462000,NA,0
"9","Tulip poplar",1195,3,13000,1462000,NA,0
"10","Tulip poplar",1196,1,21000,1462000,NA,0
"11","Tulip poplar",1197,1,29000,1462000,NA,0
"12","Tulip poplar",1198,1,37000,1462000,NA,0
"13","Tulip poplar",1199,1,45000,1462000,NA,0
"14","Tulip poplar",1211,1,141000,1462000,NA,0
"15","Tulip poplar",1491,1,13000,1454000,NA,0
"16","Tulip poplar",1492,4,21000,1454000,NA,0
"17","Tulip poplar",1493,2,29000,1454000,NA,0
"18","Tulip poplar",1494,2,37000,1454000,NA,0
"19","Tulip poplar",1495,3,45000,1454000,NA,0
"20","Tulip poplar",1496,1,53000,1454000,NA,0
"21","Tulip poplar",1498,1,69000,1454000,NA,0
"22","Tulip poplar",1499,3,77000,1454000,NA,0
"23","Tulip poplar",1500,2,85000,1454000,NA,0
"24","Tulip poplar",1502,1,101000,1454000,NA,0
"25","Tulip poplar",1786,1,5000,1446000,NA,0
"26","Tulip poplar",1788,2,21000,1446000,NA,0
"27","Tulip poplar",1789,2,29000,1446000,NA,0
"28","Tulip poplar",1791,2,45000,1446000,NA,0
"29","Tulip poplar",1792,1,53000,1446000,NA,0
"30","Tulip poplar",1794,1,69000,1446000,NA,0
"31","Tulip poplar",1795,1,77000,1446000,NA,0
"32","Tulip poplar",1796,3,85000,1446000,NA,0
"33","Tulip poplar",1797,2,93000,1446000,NA,0
"34","Tulip poplar",1798,2,101000,1446000,NA,0
"35","Tulip poplar",1799,2,109000,1446000,NA,0
"36","Tulip poplar",2083,1,13000,1438000,NA,0
"37","Tulip poplar",2084,4,21000,1438000,NA,0
"38","Tulip poplar",2085,1,29000,1438000,NA,0
"39","Tulip poplar",2087,1,45000,1438000,NA,0
"40","Tulip poplar",2091,2,77000,1438000,NA,0
"41","Tulip poplar",2095,2,109000,1438000,NA,0
"42","Tulip poplar",2096,1,117000,1438000,NA,0
"43","Tulip poplar",2098,1,133000,1438000,NA,0
"44","Tulip poplar",2100,1,149000,1438000,NA,0
"45","Tulip poplar",2379,2,13000,1430000,NA,0
"46","Tulip poplar",2380,2,21000,1430000,NA,0
"47","Tulip poplar",2381,3,29000,1430000,NA,0
"48","Tulip poplar",2382,2,37000,1430000,NA,0
"49","Tulip poplar",2383,1,45000,1430000,NA,0
"50","Tulip poplar",2385,2,61000,1430000,NA,0
"51","Tulip poplar",2386,2,69000,1430000,NA,0
"52","Tulip poplar",2387,1,77000,1430000,NA,0
"53","Tulip poplar",2388,2,85000,1430000,NA,0
"54","Tulip poplar",2389,1,93000,1430000,NA,0
"55","Tulip poplar",2391,3,109000,1430000,NA,0
