"","PalEON","cell","total","x","y","biomass_avg","count"
"1","Walnut",323,3,141000,1486000,NA,0
"2","Walnut",324,1,149000,1486000,NA,0
"3","Walnut",619,7,141000,1478000,NA,0
"4","Walnut",620,6,149000,1478000,NA,0
"5","Walnut",898,1,5000,1470000,NA,0
"6","Walnut",915,5,141000,1470000,NA,0
"7","Walnut",916,5,149000,1470000,NA,0
"8","Walnut",1194,1,5000,1462000,NA,0
"9","Walnut",1195,3,13000,1462000,NA,0
"10","Walnut",1196,1,21000,1462000,NA,0
"11","Walnut",1197,1,29000,1462000,NA,0
"12","Walnut",1198,1,37000,1462000,NA,0
"13","Walnut",1199,1,45000,1462000,NA,0
"14","Walnut",1211,1,141000,1462000,NA,0
"15","Walnut",1491,1,13000,1454000,NA,0
"16","Walnut",1492,4,21000,1454000,NA,0
"17","Walnut",1493,2,29000,1454000,NA,0
"18","Walnut",1494,2,37000,1454000,NA,0
"19","Walnut",1495,3,45000,1454000,NA,0
"20","Walnut",1496,1,53000,1454000,NA,0
"21","Walnut",1498,1,69000,1454000,NA,0
"22","Walnut",1499,3,77000,1454000,NA,0
"23","Walnut",1500,2,85000,1454000,NA,0
"24","Walnut",1502,1,101000,1454000,NA,0
"25","Walnut",1786,1,5000,1446000,NA,0
"26","Walnut",1788,2,21000,1446000,NA,0
"27","Walnut",1789,2,29000,1446000,NA,0
"28","Walnut",1791,2,45000,1446000,NA,0
"29","Walnut",1792,1,53000,1446000,NA,0
"30","Walnut",1794,1,69000,1446000,NA,0
"31","Walnut",1795,1,77000,1446000,NA,0
"32","Walnut",1796,3,85000,1446000,NA,0
"33","Walnut",1797,2,93000,1446000,NA,0
"34","Walnut",1798,2,101000,1446000,NA,0
"35","Walnut",1799,2,109000,1446000,NA,0
"36","Walnut",2083,1,13000,1438000,NA,0
"37","Walnut",2084,4,21000,1438000,NA,0
"38","Walnut",2085,1,29000,1438000,NA,0
"39","Walnut",2087,1,45000,1438000,NA,0
"40","Walnut",2091,2,77000,1438000,NA,0
"41","Walnut",2095,2,109000,1438000,NA,0
"42","Walnut",2096,1,117000,1438000,NA,0
"43","Walnut",2098,1,133000,1438000,NA,0
"44","Walnut",2100,1,149000,1438000,NA,0
"45","Walnut",2379,2,13000,1430000,NA,0
"46","Walnut",2380,2,21000,1430000,NA,0
"47","Walnut",2381,3,29000,1430000,NA,0
"48","Walnut",2382,2,37000,1430000,NA,0
"49","Walnut",2383,1,45000,1430000,NA,0
"50","Walnut",2385,2,61000,1430000,NA,0
"51","Walnut",2386,2,69000,1430000,NA,0
"52","Walnut",2387,1,77000,1430000,NA,0
"53","Walnut",2388,2,85000,1430000,NA,0
"54","Walnut",2389,1,93000,1430000,NA,0
"55","Walnut",2391,3,109000,1430000,NA,0
"56","Walnut",2392,2,117000,1430000,NA,0
"57","Walnut",2393,2,125000,1430000,NA,0
"58","Walnut",2395,5,141000,1430000,NA,0
"59","Walnut",2396,1,149000,1430000,NA,0
"60","Walnut",2397,1,157000,1430000,NA,0
"61","Walnut",2676,2,21000,1422000,NA,0
"62","Walnut",2678,1,37000,1422000,NA,0
"63","Walnut",2679,2,45000,1422000,NA,0
"64","Walnut",2680,1,53000,1422000,NA,0
"65","Walnut",2682,1,69000,1422000,NA,0
"66","Walnut",2683,1,77000,1422000,NA,0
"67","Walnut",2684,1,85000,1422000,NA,0
"68","Walnut",2686,1,101000,1422000,NA,0
"69","Walnut",2687,3,109000,1422000,NA,0
"70","Walnut",2688,4,117000,1422000,NA,0
"71","Walnut",2689,3,125000,1422000,NA,0
"72","Walnut",2690,6,133000,1422000,NA,0
"73","Walnut",2691,3,141000,1422000,NA,0
"74","Walnut",2692,2,149000,1422000,NA,0
"75","Walnut",2693,1,157000,1422000,NA,0
"76","Walnut",2694,1,165000,1422000,NA,0
"77","Walnut",2971,1,13000,1414000,NA,0
"78","Walnut",2973,1,29000,1414000,NA,0
"79","Walnut",2974,3,37000,1414000,NA,0
"80","Walnut",2975,2,45000,1414000,NA,0
"81","Walnut",2977,1,61000,1414000,NA,0
"82","Walnut",2978,2,69000,1414000,NA,0
"83","Walnut",2979,2,77000,1414000,NA,0
"84","Walnut",2981,3,93000,1414000,NA,0
