cell,x,y,Ash,Basswood,Beech,Birch,Cedar.juniper,Cherry,Elm,Fir,Hemlock,Hickory,Maple,Oak,Other.hardwoods,Pine,Poplar,Spruce,Tamarack,Tulip.poplar,Walnut,Total
323,141000,1486000,0.930884348,0,0,0.26130661,2.529726496,0,0.023100861,0.310006507,0,0,0,0,0,0,1.343700237,0.853307974,0.924002761,0,0,2.005203033
619,141000,1478000,0.80708538,0,0,0.238174384,2.116299453,0,0.022312375,0.27817485,0,0,0,0,0,0,1.245090163,0.735173454,0.810745124,0,0,1.901786858
620,149000,1478000,0.881000573,0,0,0.251247661,2.385714287,0,0.021465076,0.296160487,0,0,0,0,0,0,1.298418268,0.802912092,0.862377255,0,0,1.920460314
915,141000,1470000,0.70019525,0,0,0.217982878,1.825392643,0,0.021574029,0.249742853,0,0,0.109407014,0.177511836,0,0,1.172888343,0.628711791,0.725584912,0,0,1.788680756
916,149000,1470000,0.74304877,0,0,0.224205504,1.972893684,0,0.02044217,0.26110866,0,0,0.109251304,0.164314474,0,0,1.202215556,0.677374862,0.746025323,0,0,1.809608622
1194,5000,1462000,0.642969436,0,0,0,0,0,0.120671741,0,0,0,0,2.133543403,0,0,1.805273449,0.208962076,0,0,0,2.708612646
1195,13000,1462000,0.561649832,0,0,0,0,0,0.10132319,0,0,0,0.46040487,1.78116455,0,0,1.667363354,0.206567092,0,0,0,2.562661156
1196,21000,1462000,0.506518268,0,0,0,0,0,0.086001278,0,0,0,0.374607038,1.502930176,0,0,1.550082011,0.20689405,0,0,0,2.40917361
1197,29000,1462000,0.479469826,0,0,0,0,0,0.074533766,0.140323093,0,0,0.311773572,1.305554899,0,0,1.46820476,0.211597365,0.205588145,0,0,2.25606392
1211,141000,1462000,0.611893792,0,0,0.201654808,1.604458302,0,0.020962919,0.226297713,0,0,0.099063454,0.15777644,0,0.61369873,1.128315279,0.537701645,0.660119934,0,0,1.668469651
1491,13000,1454000,0.495522916,0,0,0,0,0,0.102108825,0,0,0,0.446906935,1.656882752,0,0,1.549978793,0.17741326,0,0,0,2.453810847
