"","x","y","cell","sd"
"1",-11000,1070000,15696,4.21073411613121
"2",-11000,1238000,9480,2.78599571324249
"3",-11000,1278000,8000,2.64048721687396
"4",-11000,998000,18360,4.66856462114502
"5",-19000,1038000,16879,4.66235689080713
"6",-19000,1062000,15991,4.47705196327002
"7",-19000,1086000,15103,4.26190963610999
"8",-19000,1222000,10071,3.09080020686995
"9",-19000,1270000,8295,2.86202750878733
"10",-19000,1278000,7999,2.83421927997436
"11",-19000,1334000,5927,2.59856076378148
"12",-19000,1350000,5335,2.53228840424514
"13",-19000,1374000,4447,2.44949799415956
"14",-27000,1038000,16878,4.88152429074453
"15",-27000,1046000,16582,4.81933082892594
"16",-27000,1062000,15990,4.68083433624841
"17",-3000,1006000,18065,4.36738515943969
"18",-3000,1038000,16881,4.19978414788939
"19",-3000,1230000,9777,2.60476479379277
"20",-35000,950000,20133,5.97777356436506
"21",1005000,622000,32399,2.94604144035568
"22",1005000,678000,30327,1.906094835892
"23",1005000,686000,30031,1.79635249031579
"24",1005000,694000,29735,1.69151314534029
"25",1005000,710000,29143,1.49466119248648
"26",1005000,718000,28847,1.41191597121398
"27",1005000,726000,28551,1.34635002280026
"28",1005000,734000,28255,1.30221075474214
"29",1005000,742000,27959,1.28186311904091
"30",1005000,758000,27367,1.30912922582809
"31",1005000,766000,27071,1.34783586513817
"32",1005000,774000,26775,1.39333008689529
"33",1005000,790000,26183,1.48053495026603
"34",1005000,798000,25887,1.51538245350058
"35",1005000,814000,25295,1.5661339803751
"36",101000,1078000,15414,1.87555164703738
"37",101000,1086000,15118,1.86035081269643
"38",101000,1102000,14526,1.82038433198703
"39",101000,1110000,14230,1.78742697785991
"40",101000,1118000,13934,1.74425645102858
"41",101000,1126000,13638,1.6917371277525
"42",101000,1134000,13342,1.62994417092318
"43",101000,1142000,13046,1.56317500450595
"44",101000,1166000,12158,1.36382543061012
"45",101000,1174000,11862,1.30132731288439
"46",101000,1182000,11566,1.23922983841335
"47",101000,1190000,11270,1.178648824038
"48",101000,1198000,10974,1.12167071316264
"49",101000,1206000,10678,1.07122403653969
"50",101000,1214000,10382,1.02869755845349
"51",101000,1222000,10086,0.995662133251455
"52",101000,1230000,9790,0.970322095132576
"53",101000,1238000,9494,0.949421686522174
"54",101000,1246000,9198,0.933924538644376
"55",101000,1254000,8902,0.924354256763382
"56",101000,1262000,8606,0.920386122801266
"57",101000,1270000,8310,0.92186777054816
"58",101000,1278000,8014,0.928745123553962
"59",101000,1286000,7718,0.940533704077609
"60",101000,1294000,7422,0.956478698183586
"61",101000,1302000,7126,0.972481680157326
"62",101000,1310000,6830,0.983321803504124
"63",101000,1318000,6534,0.98583091546002
"64",101000,1326000,6238,0.981104908190321
"65",101000,1334000,5942,0.975074434387046
"66",101000,1342000,5646,0.974417534930969
"67",101000,1350000,5350,0.982546546239282
"68",101000,1358000,5054,0.998891494727786
"69",101000,1366000,4758,1.01971253302405
"70",101000,1374000,4462,1.04232135235984
"71",101000,1382000,4166,1.06405158766682
"72",101000,1390000,3870,1.0822156135009
"73",101000,1398000,3574,1.09732147919211
"74",101000,1406000,3278,1.11109636440237
"75",101000,1414000,2982,1.1291835735412
"76",101000,1422000,2686,1.15673252096701
"77",101000,1446000,1798,1.34214738876766
"78",101000,894000,22222,3.133339240978
"79",101000,926000,21038,2.52922766095458
"80",101000,934000,20742,2.44781106619432
"81",1013000,694000,29736,1.78102486043485
"82",1013000,702000,29440,1.66817489004223
"83",1013000,710000,29144,1.56261562317754
"84",1013000,726000,28552,1.39734464620597
"85",1013000,734000,28256,1.34906522758219
"86",1013000,742000,27960,1.32830316143301
"87",1013000,758000,27368,1.36326476935499
"88",1013000,774000,26776,1.46320653182622
"89",1013000,782000,26480,1.51709125530375
"90",1013000,798000,25888,1.60624474870731
"91",1021000,686000,30033,2.03822865700703
"92",1021000,694000,29737,1.91454641613368
"93",1021000,702000,29441,1.79243071663666
"94",1021000,718000,28849,1.57358694245001
"95",1021000,782000,26481,1.60138091051182
"96",1021000,790000,26185,1.65429720933626
"97",1021000,798000,25889,1.69897278841819
"98",1021000,814000,25297,1.76248389325455
"99",1021000,822000,25001,1.78015160811145
"100",1029000,686000,30034,2.21074647737608
"101",1029000,694000,29738,2.08275830694364
"102",1029000,758000,27370,1.52981844284928
"103",1029000,782000,26482,1.68828304873981
"104",1029000,790000,26186,1.74262817854063
"105",1029000,798000,25890,1.78875798945069
"106",1029000,806000,25594,1.82705516369557
"107",1029000,830000,24706,1.88788518274387
"108",1037000,686000,30035,2.4000978894777
"109",1037000,718000,28851,1.88343108298432
"110",1037000,726000,28555,1.77742966779076
"111",1037000,734000,28259,1.69550342225067
"112",1037000,742000,27963,1.64442103351849
"113",1037000,782000,26483,1.77608587879627
"114",1037000,798000,25891,1.87273311394161
"115",1045000,694000,29740,2.46147835006399
"116",1045000,702000,29444,2.32372181573545
"117",1045000,726000,28556,1.94706651908659
"118",1045000,742000,27964,1.79097470230604
"119",1045000,758000,27372,1.75803864392489
"120",1045000,774000,26780,1.82004592375986
"121",1045000,782000,26484,1.86570968296452
"122",1045000,790000,26188,1.91078812441432
"123",1053000,678000,30333,2.87290016737351
"124",1053000,686000,30037,2.7603470239055
"125",1053000,694000,29741,2.63646772572313
"126",1053000,702000,29445,2.4999545057347
"127",1053000,710000,29149,2.3628540540102
"128",1053000,718000,28853,2.23355497295898
"129",1053000,734000,28261,2.01774347626253
"130",1053000,742000,27965,1.94419332887333
"131",1053000,758000,27373,1.88549892646054
"132",1053000,774000,26781,1.9210082850081
"133",1061000,686000,30038,2.91044080981108
"134",1061000,710000,29150,2.52508470899632
"135",1061000,718000,28854,2.39754159080791
"136",1061000,726000,28558,2.28063639800089
"137",109000,1014000,17783,2.06685909565084
"138",109000,1038000,16895,1.95934034241395
"139",109000,1070000,15711,1.82757101250955
"140",109000,1110000,14231,1.71642810676708
"141",109000,1118000,13935,1.67611267219453
"142",109000,1134000,13343,1.57425590110638
"143",109000,1142000,13047,1.51621917807283
"144",109000,1150000,12751,1.45593443856207
"145",109000,1158000,12455,1.39748945708292
"146",109000,1166000,12159,1.34142158641219
"147",109000,1174000,11863,1.28547294767466
"148",109000,1182000,11567,1.22698860105578
"149",109000,1190000,11271,1.16925017360766
"150",109000,1198000,10975,1.11499383630524
"151",109000,1206000,10679,1.06676634228615
"152",109000,1214000,10383,1.02651100030902
"153",109000,1222000,10087,0.994206112770876
"154",109000,1230000,9791,0.967242618306193
"155",109000,1238000,9495,0.94367786936297
"156",109000,1246000,9199,0.923886438186823
"157",109000,1254000,8903,0.908429575941513
"158",109000,1262000,8607,0.897647537036574
"159",109000,1270000,8311,0.893583203408704
"160",109000,1278000,8015,0.897687102918073
"161",109000,1286000,7719,0.910726739932948
"162",109000,1294000,7423,0.930509260437284
"163",109000,1302000,7127,0.951438880569597
"164",109000,1310000,6831,0.965973890512443
"165",109000,1318000,6535,0.969115653583894
"166",109000,1342000,5647,0.94454317593061
"167",109000,1350000,5351,0.946706998654862
"168",109000,1358000,5055,0.957758291933189
"169",109000,1366000,4759,0.975222104136489
"170",109000,1374000,4463,0.99576240872937
"171",109000,1382000,4167,1.01765619475055
"172",109000,1390000,3871,1.03858805752278
"173",109000,1398000,3575,1.05753418936467
"174",109000,1406000,3279,1.07793853160764
"175",109000,1414000,2983,1.10455948327303
"176",109000,1422000,2687,1.14190693793421
"177",109000,1430000,2391,1.19336280854157
"178",109000,1438000,2095,1.26167372596612
"179",109000,1446000,1799,1.34699257519637
"180",109000,838000,24295,4.60010150298441
"181",109000,926000,21039,2.40424611028104
"182",117000,1006000,18080,2.05715115498882
"183",117000,1030000,17192,1.96819390596818
"184",117000,1086000,15120,1.7259658513254
"185",117000,1094000,14824,1.7057978319223
"186",117000,1102000,14528,1.68140890573404
"187",117000,1110000,14232,1.65034906933112
"188",117000,1118000,13936,1.61060325161638
"189",117000,1126000,13640,1.56601910837469
"190",117000,1134000,13344,1.51840666096193
"191",117000,1150000,12752,1.41632066793733
"192",117000,1158000,12456,1.3667510169423
"193",117000,1166000,12160,1.31860650171757
"194",117000,1174000,11864,1.268528036669
"195",117000,1182000,11568,1.21404299247823
"196",117000,1190000,11272,1.15993679187876
"197",117000,1198000,10976,1.1089363302935
"198",117000,1206000,10680,1.06377383682037
"199",117000,1214000,10384,1.02689269613859
"200",117000,1222000,10088,0.996971864740569
"201",117000,1230000,9792,0.969667481659059
"202",117000,1238000,9496,0.943536034578253
"203",117000,1246000,9200,0.919142840390286
"204",117000,1254000,8904,0.896959405985627
"205",117000,1262000,8608,0.879315738328158
"206",117000,1270000,8312,0.870212907291583
"207",117000,1278000,8016,0.871860951901251
"208",117000,1286000,7720,0.884947425970711
"209",117000,1294000,7424,0.906569821208571
"210",117000,1302000,7128,0.929468122052476
"211",117000,1310000,6832,0.94652668338704
"212",117000,1318000,6536,0.950626803438753
"213",117000,1326000,6240,0.942062061037305
