"x","y","cell","avg_biomass_by_plot","count"
141000,1486000,323,60.7585468580408,3
149000,1486000,324,15.4363535767676,1
141000,1478000,619,21.703881121193,4
149000,1478000,620,24.4145446585566,4
5000,1470000,898,31.7087387028322,1
141000,1470000,915,42.058373278352,3
149000,1470000,916,36.5759182275223,4
5000,1462000,1194,31.1243672900426,1
13000,1462000,1195,3.74648766617505,2
21000,1462000,1196,NA,0
29000,1462000,1197,NA,0
37000,1462000,1198,21.000650294538,1
45000,1462000,1199,28.7813033925241,1
141000,1462000,1211,24.2032772866046,1
13000,1454000,1491,48.5845585827192,1
21000,1454000,1492,40.0797096618788,1
29000,1454000,1493,21.7482062282494,2
37000,1454000,1494,10.2950886535679,1
45000,1454000,1495,NA,0
53000,1454000,1496,60.3793707324116,1
69000,1454000,1498,NA,0
77000,1454000,1499,6.03483823471863,1
85000,1454000,1500,4.98275763455095,1
101000,1454000,1502,NA,0
5000,1446000,1786,NA,0
21000,1446000,1788,NA,0
29000,1446000,1789,23.4885422880865,1
45000,1446000,1791,NA,0
53000,1446000,1792,NA,0
69000,1446000,1794,NA,0
77000,1446000,1795,NA,0
85000,1446000,1796,11.0724231916932,1
93000,1446000,1797,9.38266338993049,1
101000,1446000,1798,19.5252219721053,1
109000,1446000,1799,45.7315129340904,1
13000,1438000,2083,14.8752081848635,1
21000,1438000,2084,16.3993882454057,4
29000,1438000,2085,2.63860466565197,1
45000,1438000,2087,6.5530541435712,1
77000,1438000,2091,19.8732311054424,1
109000,1438000,2095,NA,0
117000,1438000,2096,35.7487775068895,1
133000,1438000,2098,174.196523041873,1
149000,1438000,2100,44.6861870609436,1
13000,1430000,2379,24.055973009776,2
21000,1430000,2380,2.34502914765798,1
29000,1430000,2381,15.8845210504071,2
37000,1430000,2382,NA,0
45000,1430000,2383,2.56679496901845,1
61000,1430000,2385,30.2284974074205,2
69000,1430000,2386,NA,0
77000,1430000,2387,27.7293953338151,1
85000,1430000,2388,93.5171703130913,2
93000,1430000,2389,NA,0
109000,1430000,2391,NA,0
117000,1430000,2392,11.8398472954411,1
125000,1430000,2393,33.9404592889142,1
141000,1430000,2395,42.6541726636075,2
149000,1430000,2396,NA,0
157000,1430000,2397,NA,0
21000,1422000,2676,NA,0
37000,1422000,2678,NA,0
45000,1422000,2679,56.404974426402,2
53000,1422000,2680,NA,0
69000,1422000,2682,6.87215785522546,1
77000,1422000,2683,NA,0
85000,1422000,2684,NA,0
101000,1422000,2686,NA,0
109000,1422000,2687,25.0315720364263,2
117000,1422000,2688,12.290999281097,2
125000,1422000,2689,23.4996997797692,2
133000,1422000,2690,33.3866809490866,5
141000,1422000,2691,NA,0
149000,1422000,2692,8.43520406010225,2
157000,1422000,2693,2.22487143596474,1
165000,1422000,2694,8.35343277592257,1
13000,1414000,2971,3.03718216264594,1
29000,1414000,2973,12.4628507262628,1
37000,1414000,2974,14.09900490611,2
45000,1414000,2975,22.1014828886207,2
61000,1414000,2977,NA,0
69000,1414000,2978,NA,0
77000,1414000,2979,NA,0
93000,1414000,2981,67.540846990697,1
101000,1414000,2982,80.9745567326018,1
109000,1414000,2983,7.53429788806696,1
117000,1414000,2984,67.3526931352033,1
125000,1414000,2985,67.9235666063022,1
133000,1414000,2986,21.0485582778402,1
141000,1414000,2987,17.469777062039,3
149000,1414000,2988,64.8897071818713,2
157000,1414000,2989,37.3812528898427,1
37000,1406000,3270,51.0918478072718,2
45000,1406000,3271,24.9190077886229,2
53000,1406000,3272,4.99341119833585,1
61000,1406000,3273,NA,0
69000,1406000,3274,41.4354616138358,1
77000,1406000,3275,75.1624667094302,1
85000,1406000,3276,40.4635585713611,1
93000,1406000,3277,31.5998770397974,1
101000,1406000,3278,42.0198361668043,2
109000,1406000,3279,47.4955645506691,3
117000,1406000,3280,54.180850527796,2
125000,1406000,3281,6.8001227437927,2
133000,1406000,3282,24.7977143124044,1
141000,1406000,3283,23.7448457450899,1
149000,1406000,3284,2.22487143596474,1
157000,1406000,3285,63.7833929401437,1
165000,1406000,3286,16.9501260725389,1
173000,1406000,3287,17.0113179846144,2
189000,1406000,3289,54.3883576559847,2
21000,1398000,3564,18.1093320444133,1
29000,1398000,3565,6.29852935164826,1
37000,1398000,3566,27.230519298567,2
45000,1398000,3567,28.6219431394454,3
53000,1398000,3568,38.5248359799061,2
61000,1398000,3569,99.2694466299815,2
69000,1398000,3570,NA,0
77000,1398000,3571,NA,0
85000,1398000,3572,18.3082135525449,1
93000,1398000,3573,30.5980827893669,2
101000,1398000,3574,2.17536256064421,1
109000,1398000,3575,10.7702726877212,2
117000,1398000,3576,15.2993172447755,3
125000,1398000,3577,9.23029902993613,1
133000,1398000,3578,33.4317592548276,3
141000,1398000,3579,43.3722769425205,2
149000,1398000,3580,4.55051474889815,1
157000,1398000,3581,25.1790372898376,2
165000,1398000,3582,12.5021772628172,2
173000,1398000,3583,23.7922228956963,2
181000,1398000,3584,4.43700913113259,1
189000,1398000,3585,29.4981469154439,2
197000,1398000,3586,18.2852859928775,1
205000,1398000,3587,61.2640294694954,1
213000,1398000,3588,81.3727087508966,1
5000,1390000,3858,NA,0
21000,1390000,3860,NA,0
29000,1390000,3861,NA,0
37000,1390000,3862,12.0354390193171,2
45000,1390000,3863,77.7847779773448,1
53000,1390000,3864,8.12259222899406,2
69000,1390000,3866,59.6447384542074,1
77000,1390000,3867,2.22487143596474,1
85000,1390000,3868,5.41491733498078,1
93000,1390000,3869,11.951654374037,2
101000,1390000,3870,28.512015518509,2
109000,1390000,3871,16.7042029138937,2
117000,1390000,3872,13.4153068881348,1
125000,1390000,3873,48.3010764845364,3
133000,1390000,3874,22.9676905178358,3
141000,1390000,3875,110.110031259778,2
149000,1390000,3876,38.7152266055153,3
157000,1390000,3877,57.7627138402983,1
165000,1390000,3878,61.2229552874224,3
173000,1390000,3879,NA,0
181000,1390000,3880,NA,0
189000,1390000,3881,4.59017815583944,1
197000,1390000,3882,27.2510016800478,3
205000,1390000,3883,62.8553963502427,2
213000,1390000,3884,61.5009116009976,3
221000,1390000,3885,NA,0
13000,1382000,4155,19.3799780242122,1
29000,1382000,4157,35.5274958664288,1
69000,1382000,4162,3.17386152026721,1
77000,1382000,4163,12.9822962693903,2
85000,1382000,4164,NA,0
93000,1382000,4165,15.598116431792,1
101000,1382000,4166,52.9345846669481,1
109000,1382000,4167,33.2554724324246,1
117000,1382000,4168,21.7792403340695,3
125000,1382000,4169,NA,0
