"x","y","cell","avg_biomass_by_plot","count","mean","sd"
141000,1486000,323,60.7585468580408,3,26.1657531691589,4.2718808213029
149000,1486000,324,15.4363535767676,1,NA,NA
141000,1478000,619,21.703881121193,4,26.2228894097773,4.00897251218221
149000,1478000,620,24.4145446585566,4,26.8905443557233,4.17281693161502
5000,1470000,898,31.7087387028322,1,NA,NA
141000,1470000,915,42.058373278352,3,26.1666822675664,3.70953518355382
149000,1470000,916,36.5759182275223,4,26.8186742858474,3.86925365178876
5000,1462000,1194,31.1243672900426,1,16.3554190064171,2.89238986533015
13000,1462000,1195,3.74648766617505,2,16.51695528423,2.80333491341566
21000,1462000,1196,NA,0,16.7458415257275,2.71646413217803
29000,1462000,1197,NA,0,17.0409608907377,2.63533417428793
37000,1462000,1198,21.000650294538,1,NA,NA
45000,1462000,1199,28.7813033925241,1,NA,NA
141000,1462000,1211,24.2032772866046,1,26.0414749873972,3.40018659939699
13000,1454000,1491,48.5845585827192,1,16.7344926942372,2.70457499805428
21000,1454000,1492,40.0797096618788,1,16.9368334021598,2.60703898154174
29000,1454000,1493,21.7482062282494,2,17.2095712923585,2.51497980171759
37000,1454000,1494,10.2950886535679,1,17.5521553407111,2.43157211452995
45000,1454000,1495,NA,0,17.9629437874558,2.36004532976949
53000,1454000,1496,60.3793707324116,1,18.4396939302119,2.30367803205762
69000,1454000,1498,NA,0,19.5727793715782,2.24987857030217
77000,1454000,1499,6.03483823471863,1,20.2156275651438,2.25745671596924
85000,1454000,1500,4.98275763455095,1,NA,NA
101000,1454000,1502,NA,0,NA,NA
5000,1446000,1786,NA,0,16.9023445390265,2.72836216438109
21000,1446000,1788,NA,0,17.1835498254098,2.50684198512932
29000,1446000,1789,23.4885422880865,1,17.4309639081833,2.40451894929553
45000,1446000,1791,NA,0,18.1419223153786,2.23055325068778
53000,1446000,1792,NA,0,18.6006131125562,2.16545004697583
69000,1446000,1794,NA,0,19.6990811098725,2.09648973002237
77000,1446000,1795,NA,0,20.3223816400837,2.09645282972887
85000,1446000,1796,11.0724231916932,1,20.9818883150425,2.11956943630896
93000,1446000,1797,9.38266338993049,1,21.669335869925,2.1668058567388
101000,1446000,1798,19.5252219721053,1,22.3726963558058,2.23727334823812
109000,1446000,1799,45.7315129340904,1,23.0714826682195,2.32603893608446
13000,1438000,2083,14.8752081848635,1,17.3578527251324,2.53847656041049
21000,1438000,2084,16.3993882454057,4,17.4986012063463,2.41970233732533
29000,1438000,2085,2.63860466565197,1,17.7198379371499,2.30730903342305
45000,1438000,2087,6.5530541435712,1,18.37912932603,2.11778793682196
77000,1438000,2091,19.8732311054424,1,20.4614674023759,1.9647676398767
109000,1438000,2095,NA,0,23.0653378279655,2.15168482071053
117000,1438000,2096,35.7487775068895,1,23.7182953797627,2.24224177897362
133000,1438000,2098,174.196523041873,1,24.9611563862932,2.45907818881793
149000,1438000,2100,44.6861870609436,1,26.0864756689817,2.70799642305964
13000,1430000,2379,24.055973009776,2,17.7940316725016,2.47873401104804
21000,1430000,2380,2.34502914765798,1,17.9051000819361,2.34872433015274
29000,1430000,2381,15.8845210504071,2,18.0950777118308,2.22735551402367
37000,1430000,2382,NA,0,18.3582146105954,2.11850486943684
45000,1430000,2383,2.56679496901845,1,18.6918433154295,2.02573985102931
61000,1430000,2385,30.2284974074205,2,19.5611463056175,1.90054036389778
69000,1430000,2386,NA,0,20.0810294527052,1.8726811075366
77000,1430000,2387,27.7293953338151,1,20.642697202877,1.86665732058287
85000,1430000,2388,93.5171703130913,2,21.2317716221152,1.8790551519244
93000,1430000,2389,NA,0,21.8407273361884,1.91046083036918
109000,1430000,2391,NA,0,23.079040637881,2.02109285854906
117000,1430000,2392,11.8398472954411,1,23.6892178741764,2.09421004180041
125000,1430000,2393,33.9404592889142,1,24.2814659146488,2.17699171722322
141000,1430000,2395,42.6541726636075,2,25.3808753217706,2.37085742002021
149000,1430000,2396,NA,0,25.8973238421073,2.48512033903709
157000,1430000,2397,NA,0,26.3936520418112,2.60564502658903
21000,1422000,2676,NA,0,18.4168699179443,2.30016493417952
37000,1422000,2678,NA,0,18.7945372260762,2.05701583358156
45000,1422000,2679,56.404974426402,2,19.0905927720793,1.96164195498051
53000,1422000,2680,NA,0,19.4564010618443,1.8877686429998
69000,1422000,2682,6.87215785522546,1,20.3653642377673,1.81158405720798
77000,1422000,2683,NA,0,20.8848620675671,1.8059516835412
85000,1422000,2684,NA,0,21.4304555574145,1.81873796039514
101000,1422000,2686,NA,0,22.5628820763046,1.88931992156155
109000,1422000,2687,25.0315720364263,2,23.1323332542878,1.93828279136083
117000,1422000,2688,12.290999281097,2,23.691982498875,1.99140323912925
125000,1422000,2689,23.4996997797692,2,24.2324508774909,2.04852832495868
133000,1422000,2690,33.3866809490866,5,24.7494219932133,2.11415612138609
141000,1422000,2691,NA,0,25.2479814306043,2.19506887239754
149000,1422000,2692,8.43520406010225,2,25.7324432732289,2.293641262467
157000,1422000,2693,2.22487143596474,1,26.2017666266712,2.40417518375963
165000,1422000,2694,8.35343277592257,1,NA,NA
13000,1414000,2971,3.03718216264594,1,18.9790404392448,2.43385799574069
29000,1414000,2973,12.4628507262628,1,19.1529998086564,2.14521209551496
37000,1414000,2974,14.09900490611,2,19.3356937831819,2.02728323579707
45000,1414000,2975,22.1014828886207,2,19.5903338887252,1.9307737610844
61000,1414000,2977,NA,0,20.3036454651416,1.81014133207978
69000,1414000,2978,NA,0,20.7401751488041,1.78658020832444
