"x","y","cell","sd"
-11000,1070000,15696,9.70150624203249
-11000,1238000,9480,9.7355360931615
-11000,1278000,8000,8.70030740415042
-11000,998000,18360,10.3064321293164
-19000,1038000,16879,10.3395641638985
-19000,1062000,15991,10.1730841121976
-19000,1086000,15103,9.87982633964143
-19000,1222000,10071,10.3430014191877
-19000,1270000,8295,9.69376705658902
-19000,1278000,7999,9.29196334282885
-19000,1334000,5927,5.83160354236521
-19000,1350000,5335,5.00441664140134
-19000,1374000,4447,3.98872650508112
-27000,1038000,16878,10.7228762627926
-27000,1046000,16582,10.6686909247199
-27000,1062000,15990,10.5461082328302
-3000,1006000,18065,9.80219075768995
-3000,1038000,16881,9.53650718668066
-3000,1230000,9777,8.9989141391931
-35000,950000,20133,12.1370413241779
1005000,622000,32399,9.9109260108047
1005000,678000,30327,6.97810531209185
1005000,686000,30031,6.51541573923508
1005000,694000,29735,6.05977918174391
1005000,710000,29143,5.26501801150113
1005000,718000,28847,4.98032867460301
1005000,726000,28551,4.78247451961661
1005000,734000,28255,4.66900656444955
1005000,742000,27959,4.62669004098751
1005000,758000,27367,4.67909433777932
1005000,766000,27071,4.74173855733277
1005000,774000,26775,4.80965392017445
1005000,790000,26183,4.94725198078096
1005000,798000,25887,5.01154462547646
1005000,814000,25295,5.14516960927884
101000,1078000,15414,5.55616736158608
101000,1086000,15118,5.51703136769781
101000,1102000,14526,5.41473623476189
101000,1110000,14230,5.33280822396501
101000,1118000,13934,5.21311576195667
101000,1126000,13638,5.03988874547624
101000,1134000,13342,4.82447518104579
101000,1142000,13046,4.58734598822529
101000,1166000,12158,3.93068458938486
101000,1174000,11862,3.776364616337
101000,1182000,11566,3.65501247979843
101000,1190000,11270,3.55508628795983
101000,1198000,10974,3.46841272065874
101000,1206000,10678,3.3841606517397
101000,1214000,10382,3.30487777532593
101000,1222000,10086,3.24131412769313
101000,1230000,9790,3.19874835641415
101000,1238000,9494,3.18051244097322
101000,1246000,9198,3.18059375027821
101000,1254000,8902,3.18887328588116
101000,1262000,8606,3.1984691442082
101000,1270000,8310,3.2078649057852
101000,1278000,8014,3.21279979782286
101000,1286000,7718,3.20367861838642
101000,1294000,7422,3.16743591261886
101000,1302000,7126,3.09019766978223
101000,1310000,6830,2.96891267329318
101000,1318000,6534,2.81332084707161
101000,1326000,6238,2.63962021927315
101000,1334000,5942,2.46461869460754
101000,1342000,5646,2.30934360827361
101000,1350000,5350,2.18249959074245
101000,1358000,5054,2.08963322456604
101000,1366000,4758,2.02607640480347
101000,1374000,4462,1.9803205299667
101000,1382000,4166,1.9430249051411
101000,1390000,3870,1.91174157475793
101000,1398000,3574,1.8869883695973
101000,1406000,3278,1.86808088571003
101000,1414000,2982,1.86316346954088
101000,1422000,2686,1.88931992156155
101000,1446000,1798,2.23727334823812
101000,894000,22222,8.30249520008819
101000,926000,21038,6.70083976694806
101000,934000,20742,6.4308745640531
1013000,694000,29736,6.38047644717818
1013000,702000,29440,5.88633090085961
1013000,710000,29144,5.45250442868881
1013000,726000,28552,4.8757163807597
1013000,734000,28256,4.74671040510625
1013000,742000,27960,4.70816993094955
1013000,758000,27368,4.80143986653226
1013000,774000,26776,4.99155807938255
1013000,782000,26480,5.0906619925431
1013000,798000,25888,5.26047458583029
1021000,686000,30033,7.36260360850696
1021000,694000,29737,6.82055175036506
1021000,702000,29441,6.28173691695805
1021000,718000,28849,5.40492045392736
1021000,782000,26481,5.32571969946205
1021000,790000,26185,5.43164574335835
1021000,798000,25889,5.52799371672152
1021000,814000,25297,5.69297120074035
1021000,822000,25001,5.78280217090154
1029000,686000,30034,7.9031061816579
1029000,694000,29738,7.3622576119066
1029000,758000,27370,5.28770480595259
1029000,782000,26482,5.60071788215502
1029000,790000,26186,5.70894427640908
1029000,798000,25890,5.80883049395245
1029000,806000,25594,5.89954502334021
1029000,830000,24706,6.18643355663572
1037000,686000,30035,8.48180081742867
1037000,718000,28851,6.47771444898953
1037000,726000,28555,6.1216830728199
1037000,734000,28259,5.86937526033641
1037000,742000,27963,5.72092136614007
1037000,782000,26483,5.92390005415145
1037000,798000,25891,6.11547735421087
1045000,694000,29740,8.60704127274247
1045000,702000,29444,8.1030369099639
1045000,726000,28556,6.79106394156223
1045000,742000,27964,6.29565748380493
1045000,758000,27372,6.15183900146252
1045000,774000,26780,6.2249197612297
1045000,782000,26484,6.29344670428884
1045000,790000,26188,6.37072364977869
1053000,678000,30333,10.0981124901867
1053000,686000,30037,9.6861783631024
1053000,694000,29741,9.24514475968166
1053000,702000,29445,8.78516035907278
1053000,710000,29149,8.32944914206567
1053000,718000,28853,7.89596821398468
1053000,734000,28261,7.16982409082853
1053000,742000,27965,6.92554171651193
1053000,758000,27373,6.68063448388585
1053000,774000,26781,6.6639588426693
1061000,686000,30038,10.2712120202063
1061000,710000,29150,9.01958077642186
1061000,718000,28854,8.59904116298084
1061000,726000,28558,8.19889659250635
109000,1014000,17783,5.45608317231327
109000,1038000,16895,5.55573848224133
109000,1070000,15711,5.46868455263134
109000,1110000,14231,5.2279332921462
109000,1118000,13935,5.10774328369446
109000,1134000,13343,4.73380564348012
109000,1142000,13047,4.50281945407535
109000,1150000,12751,4.26801728525341
109000,1158000,12455,4.04502432013893
109000,1166000,12159,3.85569679405421
109000,1174000,11863,3.70657410479034
109000,1182000,11567,3.58821653012645
109000,1190000,11271,3.49368101740198
109000,1198000,10975,3.41112767712667
109000,1206000,10679,3.32853927447962
109000,1214000,10383,3.24883175783365
109000,1222000,10087,3.18330588261148
109000,1230000,9791,3.13677086764155
109000,1238000,9495,3.1088275693266
109000,1246000,9199,3.09286408683043
109000,1254000,8903,3.08078808842167
109000,1262000,8607,3.07320651594585
109000,1270000,8311,3.07161480371708
109000,1278000,8015,3.07162446918923
109000,1286000,7719,3.06264771456928
109000,1294000,7423,3.03383203447815
109000,1302000,7127,2.97005926832848
109000,1310000,6831,2.86303935400853
109000,1318000,6535,2.72019674119056
109000,1342000,5647,2.25057253425064
109000,1350000,5351,2.13023184087881
109000,1358000,5055,2.04241222740811
109000,1366000,4759,1.98376900234476
109000,1374000,4463,1.94555668024883
109000,1382000,4167,1.91863179366317
109000,1390000,3871,1.90012258234412
109000,1398000,3575,1.89095354302752
109000,1406000,3279,1.88853714371209
109000,1414000,2983,1.89866582487788
109000,1422000,2687,1.93828279136083
109000,1430000,2391,2.02109285854906
109000,1438000,2095,2.15168482071053
109000,1446000,1799,2.32603893608446
109000,838000,24295,11.6141931989125
109000,926000,21039,6.44871457899883
117000,1006000,18080,5.32775594951325
117000,1030000,17192,5.41525595712982
117000,1086000,15120,5.27001381427366
117000,1094000,14824,5.24159170684927
117000,1102000,14528,5.19531972029964
117000,1110000,14232,5.12217501371385
117000,1118000,13936,5.0093854081457
117000,1126000,13640,4.85215639388395
117000,1134000,13344,4.65676847870482
117000,1150000,12752,4.19726715988994
117000,1158000,12456,3.97427789573223
117000,1166000,12160,3.78362101232489
117000,1174000,11864,3.63406904854308
117000,1182000,11568,3.51785468179754
117000,1190000,11272,3.42894757618431
117000,1198000,10976,3.35178281062259
117000,1206000,10680,3.2756079891736
117000,1214000,10384,3.20567908891014
117000,1222000,10088,3.14966709991918
117000,1230000,9792,3.1090457948647
117000,1238000,9496,3.07951437346374
117000,1246000,9200,3.05065390612493
117000,1254000,8904,3.01833758111756
117000,1262000,8608,2.99054135833209
117000,1270000,8312,2.9727588734819
117000,1278000,8016,2.96278417557598
117000,1286000,7720,2.95105457555871
